Afghanistan,0.63
Albania,0.6714
Algeria,0.71006
American Samoa,0
Andorra,1
Angola,0.438
Antigua and Barbuda,1
Argentina,0.6768
Armenia,0.7
Aruba,1
Australia,1
Austria,1
Azerbaijan,0.302
"Bahamas, The",1
Bahrain,1
Bangladesh,0.195
Barbados,1
Belarus,0.6714
Belgium,1
Belize,0.6768
Benin,0.764
Bermuda,1
Bhutan,0.68933
Bolivia,0.815
Bosnia and Herzegovina,0.6714
Botswana,0.738
Brazil,0.6768
British Virgin Islands,1
Brunei Darussalam,1
Bulgaria,0.6714
Burkina Faso,0.846
Burundi,0.957
Cabo Verde,0.71006
Cambodia,0.438
Cameroon,0.918
Canada,1
Cayman Islands,1
Central African Republic,0.71258
Chad,0.786
Channel Islands,1
Chile,1
China,0
Colombia,0.732
Comoros,0.927
"Congo, Dem. Rep.",0.787
Congo,0.785
Costa Rica,0.6768
Côte d’Ivoire,0.522
Croatia,1
Cuba,0.6768
Curaçao,1
Cyprus,1
Czech Republic,1
Denmark,1
Djibouti,0.647
Dominica,0.6768
Dominican Republic,0.46
Ecuador,0.6768
"Egypt, Arab Rep.",0.947
El Salvador,0.803
Equatorial Guinea,0.738
Eritrea,0.55
Estonia,1
Eswatini,0.519
Ethiopia,0.282
Faroe Islands,1
Fiji,0
Finland,1
France,1
French Polynesia,1
Gabon,0.452
"Gambia, The",0.102
Georgia,0.6714
Germany,1
Ghana,0.874
Gibraltar,1
Greece,1
Greenland,1
Grenada,0.6768
Guam,1
Guatemala,0.914
Guinea,0.863
Guinea-Bissau,0.71258
Guyana,0.806
Haiti,0.805
Honduras,0.758
"Hong Kong SAR, China",1
Hungary,1
Iceland,1
India,0.563
Indonesia,0.881
Iran (Islamic Republic of),0.647
Iraq,0.762
Ireland,1
Isle of Man,1
Israel,1
Italy,1
Jamaica,0.6768
Japan,1
Jordan,0.762
Kazakhstan,0.6714
Kenya,0.875
Kiribati,0.608
"Korea, Dem. People's Rep.",0
"Korea, Rep.",1
Kosovo,0.6714
Kuwait,1
Kyrgyz Republic,0.705
Lao PDR,0.608
Latvia,1
Lebanon,0.647
Lesotho,0.71
Liberia,0.769
Libya,0.762
Liechtenstein,1
Lithuania,1
Luxembourg,1
"Macao SAR, China",1
Madagascar,0.932
Malawi,0.729
Malaysia,0
Maldives,0.921
Mali,0.659
Malta,1
Marshall Islands,0
Mauritania,0.69
Mauritius,0.738
Mexico,0.6768
"Micronesia, Fed. Sts.",0.608
Moldova,0.632
Monaco,1
Mongolia,0.608
Montenegro,0.6714
Morocco,0.354
Mozambique,0.823
Myanmar,0.779
Namibia,0.802
Nauru,1
Nepal,0.891
Netherlands,1
New Caledonia,1
New Zealand,1
Nicaragua,0.834
Niger,0.651
Nigeria,0.791
North Macedonia,0.6714
Northern Mariana Islands,1
Norway,1
Oman,1
Pakistan,0.64
Palau,0
Panama,1
Papua New Guinea,0.604
Paraguay,0.6768
Peru,0.472
Philippines,0.782
Poland,1
Portugal,1
Puerto Rico,1
Qatar,1
Romania,1
Russian Federation,0.6714
Rwanda,0.921
Samoa,0.608
San Marino,1
Sao Tome and Principe,0.429
Saudi Arabia,1
Senegal,0.269
Serbia,0.6714
Seychelles,1
Sierra Leone,0.936
Singapore,1
Sint Maarten (Dutch part),1
Slovak Republic,1
Slovenia,1
Solomon Islands,0.608
Somalia,0.63
South Africa,0.96
South Sudan,0.71258
Spain,1
Sri Lanka,0.68933
St. Kitts and Nevis,1
St. Lucia,0.6768
St. Martin (French part),1
St. Vincent and the Grenadines,0.6768
Sudan,0.63
Suriname,0.6768
Sweden,1
Switzerland,1
Syrian Arab Republic,0.63
"Taiwan, China",1
Tajikistan,0.936
Tanzania,0.896
Thailand,0.921
Timor-Leste,0.827
Togo,0.611
Tonga,0
Trinidad and Tobago,1
Tunisia,0.647
Turkey,0.857
Turkmenistan,0.866
Turks and Caicos Islands,1
Tuvalu,0
Uganda,0.824
Ukraine,0.765
United Arab Emirates,1
United Kingdom,1
United States,1
Uruguay,1
Uzbekistan,0.802
Vanuatu,0.608
Venezuela,0.6768
Vietnam,0.608
Virgin Islands (U.S.),1
West Bank and Gaza,0.647
"Yemen, Rep.",0.63
Zambia,0.511
Zimbabwe,0.954
