Afghanistan,AFG,41454761
Africa Western and Central,AFW,509398589
Angola,AGO,36749906
Albania,ALB,2745972
Andorra,AND,80856
Arab World,ARB,481667539
United Arab Emirates,ARE,10483751
Argentina,ARG,45538401
Armenia,ARM,2990900
American Samoa,ASM,47521
Antigua and Barbuda,ATG,93316
Australia,AUS,26658948
Austria,AUT,9131761
Azerbaijan,AZE,10153958
Burundi,BDI,13689450
Belgium,BEL,11787423
Benin,BEN,14111034
Burkina Faso,BFA,23025776
Bangladesh,BGD,171466990
Bulgaria,BGR,6446596
Bahrain,BHR,1577059
"Bahamas, The",BHS,399440
Bosnia and Herzegovina,BIH,3185073
Belarus,BLR,9178298
Belize,BLZ,411106
Bermuda,BMU,64698
Bolivia,BOL,12244159
Brazil,BRA,211140729
Barbados,BRB,282336
Brunei Darussalam,BRN,458949
Bhutan,BTN,786385
Botswana,BWA,2480244
Central African Republic,CAF,5152421
Canada,CAN,40097761
Central Europe and the Baltics,CEB,100175859
Switzerland,CHE,8888093
Channel Islands,CHI,167691
Chile,CHL,19658835
China,CHN,1410710000
Cote d'Ivoire,CIV,31165654
Cameroon,CMR,28372687
"Congo, Dem. Rep.",COD,105789731
"Congo, Rep.",COG,6182885
Colombia,COL,52321152
Comoros,COM,850387
Cabo Verde,CPV,522331
Costa Rica,CRI,5105525
Caribbean small states,CSS,3152394
Cuba,CUB,11019931
Curacao,CUW,147862
Cayman Islands,CYM,73038
Cyprus,CYP,1344976
Czechia,CZE,10864042
Germany,DEU,83280000
Djibouti,DJI,1152944
Dominica,DMA,66510
Denmark,DNK,5946952
Dominican Republic,DOM,11331265
Algeria,DZA,46164219
East Asia & Pacific (excluding high income),EAP,2137527754
Early-demographic dividend,EAR,3511076811
East Asia & Pacific,EAS,2384463611
Europe & Central Asia (excluding high income),ECA,249146208
Europe & Central Asia,ECS,924969865
Ecuador,ECU,17980083
"Egypt, Arab Rep.",EGY,114535772
Euro area,EMU,349670802
Eritrea,ERI,3470390
Spain,ESP,48347910
Estonia,EST,1370286
Ethiopia,ETH,128691692
European Union,EUU,448804042
Fragile and conflict affected situations,FCS,1058789534
Finland,FIN,5583911
Fiji,FJI,924145
France,FRA,68287487
Faroe Islands,FRO,54482
"Micronesia, Fed. Sts.",FSM,112630
Gabon,GAB,2484789
United Kingdom,GBR,68350000
Georgia,GEO,3715483
Ghana,GHA,33787914
Gibraltar,GIB,38471
Guinea,GIN,14405468
"Gambia, The",GMB,2697845
Guinea-Bissau,GNB,2153339
Equatorial Guinea,GNQ,1847549
Greece,GRC,10405588
Grenada,GRD,117081
Greenland,GRL,56865
Guatemala,GTM,18124838
Guam,GUM,166506
Guyana,GUY,826353
High income,HIC,1400465513
"Hong Kong SAR, China",HKG,7536100
Honduras,HND,10644851
Heavily indebted poor countries (HIPC),HPC,917304254
Croatia,HRV,3859686
Haiti,HTI,11637398
Hungary,HUN,9592186
IBRD only,IBD,4952574126
IDA & IBRD total,IBT,6858957145
