Country,Iron_Preg_Low,Iron_Preg_Base,Iron_Preg_High,Iron_WRA_Low,Iron_WRA_Base,Iron_WRA_High,Antimalarial_Low,Antimalarial_Base,Antimalarial_High,Fortification_Low,Fortification_Base,Fortification_High,WTP_Opp_Lower,WTP_Opp_Upper,WTP_HCFI_Lower,WTP_HCFI_Upper
Afghanistan,1.46,3.64,6.88,1.26,2.53,6.93,0.63,1.16,2.58,0.01,0.08,0.27,71.2,231.3,355.8,818.3
Albania,5.76,11.94,20.91,4.14,8.28,17.5,4.22,8.27,14.46,0.04,0.12,0.23,1362,3949.9,6810.1,15663.3
Algeria,2.64,6.15,10.21,1.95,4.07,9.62,1.5,2.94,4.97,0.01,0.05,0.17,1172.5,2301.6,4342.6,9988.1
Andorra,33.25,88.26,140.59,19.6,54.98,79.52,19.77,39.49,61.69,0.03,0.23,0.63,11338,28555.1,41992.8,96583.4
Angola,2.72,6.19,11.22,2.68,4.46,12.68,1.57,3.09,5.97,0.07,0.25,1.05,330,630.1,3000.4,6901
Antigua and Barbuda,20.73,63.48,101.23,10.52,37.19,53.9,9.04,18.07,27.74,0.07,0.26,0.64,6175.1,7171.1,19919.7,45815.4
Argentina,9.16,18.72,29.92,4.67,9.19,17.82,6.49,12.84,20.06,0.27,0.55,1.16,9282.4,12695.1,13650.6,31396.4
Armenia,5.65,11.76,20.53,3.77,7.55,16.29,4.12,8.08,14.12,0.21,0.31,0.47,5544.3,7579.5,7018.1,16141.5
Australia,43.79,109.33,171.12,24.96,65.71,94.75,27.36,54.69,83.5,0.12,0.25,0.50,49475.9,58589.9,65099.8,149729.6
Austria,17.8,57.37,94.49,10.08,35.94,51.18,8.2,16.37,27.23,0.26,0.38,0.58,41146.9,48438.8,52084.7,119794.8
Azerbaijan,8.68,17.73,29.17,4.82,9.63,19.09,6.28,12.41,20.16,0.12,0.20,0.30,2173.4,2949.6,7762.1,17852.8
Bahamas,31.72,85.42,133.95,18.45,53.08,78.08,17.32,34.63,52.66,0.46,0.87,1.83,12583.3,14785.4,31458.3,72354.1
Bahrain,20.36,62.55,99.53,12.48,36.06,67.88,8.99,18,28.39,2.07,2.56,3.70,8742.6,10250,30146.9,69337.9
Bangladesh,1.63,3.76,7.16,2.07,3.13,10.72,0.73,1.34,2.67,0.10,0.70,2.15,215.1,457,2688.3,6183.1
Barbados,21.93,65.95,105.45,11.83,39.76,57.58,9.99,19.97,30.74,0.47,0.76,1.39,9309.8,10928.9,20238.8,46549.2
Belarus,42.1,84.67,132.63,17.87,35.76,61.35,31.34,62.53,98.55,0.05,0.15,0.31,3155.3,4338.5,7888.3,18143
Belgium,17.8,57.38,94.57,10.06,35.89,51.02,8.2,16.37,27.23,0.03,0.08,0.12,40440.7,47430.5,49926.8,114831.7
Belize,5.29,11.05,18.25,3.42,5.8,14.96,3.52,6.92,11.15,0.66,1.00,1.77,2863.5,3981,6984.2,16063.7
Benin,1.64,3.92,7.22,1.83,2.86,9.85,0.75,1.44,2.75,0.09,0.52,1.64,104.2,208.5,1302.9,2996.6
Bhutan,2.45,5.31,9.59,2.1,3.25,10.91,1.33,2.55,4.46,0.10,0.66,2.04,498.4,961.3,3560.2,8188.5
Bolivia,3.03,6.67,11.49,2.05,4.15,9.9,1.82,3.51,6.02,0.05,0.45,1.01,972,1908.1,3600.1,8280.3
Bosnia and Herzegovina,5.87,12.19,21.34,4.16,8.34,17.65,4.31,8.46,14.84,0.41,0.55,0.80,4995.4,6887.6,7568.8,17408.2
Botswana,5.03,10.95,17.45,3.28,6.72,13.41,3.3,6.54,10.43,1.27,1.64,2.48,3792.1,5185,7738.9,17799.4
Brazil,2.29,5.1,9.34,1.74,3.5,9.1,1.27,2.41,4.46,0.56,0.88,1.64,6242.4,8471.8,8917.7,20510.7
Brunei Darussalam,23.39,68.45,109.25,12.84,41.54,59.06,12.04,24.06,37.54,0.21,0.72,1.94,5572.9,6687.4,37152.5,85450.7
Bulgaria,8.49,17.42,29.5,5.52,11.05,22.03,6.34,12.52,21.23,0.34,0.47,0.71,6847.5,9502.6,13974.4,32141.2
Burkina Faso,1.63,4.05,7.22,1.81,2.7,9.47,0.75,1.44,2.75,0.08,0.39,1.30,58.1,190.9,830,1909.1
Burundi,1.42,3.69,6.64,1.29,2.63,6.64,0.59,1.12,2.34,0.07,0.33,1.13,31.1,101,259,595.8
Cabo Verde,2.88,6.59,11.05,2.41,3.91,11.88,1.7,3.35,5.7,0.08,0.42,1.37,750.9,1464.2,3754.3,8634.9
Cambodia,1.94,4.27,8.19,1.9,2.72,10.1,0.98,1.81,3.48,0.11,0.74,2.27,475.1,915,1759.6,4047.1
Cameroon,1.87,4.61,7.95,1.56,3.25,8.1,0.93,1.81,3.31,0.07,0.38,1.23,172,344,1563.5,3596
Canada,39.08,99.85,155.87,20.73,57.29,81.82,23.63,47.25,71.64,0.40,0.61,1.03,45528.4,53301.5,55522.4,127701.6
Central African Republic,1.58,4.02,7.11,1.52,3.09,7.25,0.73,1.4,2.73,0.07,0.33,1.13,42.7,128.1,427.1,982.2
Chad,1.5,3.69,6.88,1.86,2.85,9.56,0.65,1.24,2.52,0.08,0.41,1.36,35.8,107.5,716.8,1648.7
Chile,17.56,56.88,91.77,8.97,33.71,45.91,7.47,14.93,23.08,0.22,0.36,0.62,10441.7,12284.4,15355.5,35317.6
China,4.95,10.25,18.09,3.01,5.88,13.61,3.42,6.7,11.66,0.14,0.57,1.55,4706.5,6487.3,12720.2,29256.5
Colombia,6.74,13.93,22.65,3.61,7.07,14.47,4.65,9.16,14.51,0.74,1.17,2.17,3643.3,4968.1,6624.2,15235.6
Comoros,1.68,4.21,7.43,1.52,3.18,8.15,0.79,1.53,2.96,0.09,0.62,1.89,267.3,504.9,1484.9,3415.3
Congo,2.91,6.59,10.97,2.61,4.31,11.57,1.72,3.39,5.6,0.04,0.22,0.69,476.9,370.9,2649.2,6093.2
DR Congo,1.59,4.11,7.92,1.48,3,7.66,0.75,1.45,3.59,0.08,0.40,1.34,274.5,98,653.7,1503.4
Costa Rica,8.6,17.6,28.41,4.41,8.68,17.22,6.08,12.03,19.01,0.32,0.71,1.60,2405.8,10024,13365.4,30740.3
Croatia,18.71,59.13,92.89,11.45,34.29,64.57,7.53,15.02,23.21,0.17,0.27,0.41,3342.7,10585.1,18570.4,42711.9
Cuba,4.78,9.96,16.83,2.98,5.81,12.8,3.19,6.25,10.23,0.48,0.90,1.89,1709.9,11114.5,9499.6,21849
Cyprus,47.14,116.37,184.78,29.33,74.75,113.74,30.1,60.15,94.76,0.07,0.17,0.33,15703.6,18588,32048.2,73711
Czechia,24.77,71.3,114.98,14.37,44.51,63.77,13.4,26.75,42.48,0.01,0.10,0.22,15519.2,18241.8,27226.6,62621.2
Cote d'Ivoire,1.71,4.17,7.52,1.48,2.78,8.04,0.86,1.67,3.13,0.09,0.55,1.77,447.6,472.4,2486.4,5718.7
Denmark,44.18,110.12,172.62,28.92,69.11,119.69,27.55,55.05,86.21,0.17,0.29,0.51,50842.5,59655.2,67790.1,155917.1
