Country,DailyIron_Preg_Low,DailyIron_Preg_Base,DailyIron_Preg_High,DailyIron_WRA_Low,DailyIron_WRA_Base,DailyIron_WRA_High,Antimalarial_Low,Antimalarial_Base,Antimalarial_High,Staple_Low,Staple_Base,Staple_High
Afghanistan,1.14,2.1,5.02,1.03,2.02,5.1,,,,,,
Albania,4.82,9.29,15.1,3.5,6.93,14.08,,,,,,
Algeria,2.3,4.5,7.62,1.71,3.48,7.77,2.83,5.61,7.31,,,
Andorra,32.17,87.04,119.93,,,,,,,,,
Angola,2.98,5.77,9.51,3.02,5.18,12.92,3.88,7.7,9.93,0.08,0.26,0.99
Antigua and Barbuda,21.91,67,94.71,11.06,38.32,56.56,,,,,,
Argentina,8.72,17.07,21.86,,,,,,,,,
Armenia,4.82,9.33,14.94,3.24,6.43,13.23,,,,,,
Australia,44.48,111.64,145.31,,,,,,,,,
Austria,38,98.71,132.96,,,,,,,,,
Azerbaijan,8.91,17.45,23.81,4.91,9.74,18.3,,,,,,
Bahamas,28.8,80.71,110.06,16.43,49.09,73.02,,,,,,
Bahrain,22.07,67.05,97.23,13.82,38.83,74.27,,,,2.01,2.48,3.59
Bangladesh,1.45,2.57,5.89,2.11,3.25,10.7,,,,0.11,0.74,2.26
Barbados,21.51,66.3,95.38,11.42,39,57.37,,,,,,
Belarus,44.02,87.74,100.46,18.61,37.17,59.17,,,,,,
Belgium,36.62,95.96,129.95,,,,,,,,,
Belize,4.66,8.98,12.92,3.19,5.38,14.16,,,,,,
Benin,1.46,2.67,5.99,1.77,2.76,9.51,1.03,2.01,3.29,0.1,0.57,1.8
Bhutan,2.34,4.31,7.8,2.1,3.29,10.78,,,,0.11,0.74,2.26
Bolivia,2.72,5.2,8.67,1.85,3.68,8.1,,,,0.11,0.74,2.26
Bosnia and Herzegovina,5.24,10.15,16.23,3.74,7.42,14.87,,,,,,
Botswana,5.09,10.07,13.69,3.33,6.71,12.48,7.99,15.93,18.51,2.01,2.48,3.59
Brazil,1.95,3.59,7.21,1.5,2.96,7.19,,,,,,
Brunei Darussalam,26.42,75.41,106.55,,,,,,,0.11,0.74,2.26
Bulgaria,7.63,14.93,21.79,4.92,9.78,18.6,,,,,,
Burkina Faso,1.41,2.66,5.72,1.77,2.66,9.22,1.08,2.11,3.39,0.08,0.26,0.99
Burundi,1.23,2.33,5.29,1.18,2.32,5.44,0.74,1.43,2.66,,,
Cabo Verde,2.52,4.9,8.28,2.29,3.7,11.33,3.13,6.21,8.12,0.09,0.51,1.65
Cambodia,1.7,3.02,6.3,1.85,2.66,9.77,,,,0.11,0.74,2.26
Cameroon,1.6,3.09,6.11,1.36,2.75,6.48,1.46,2.87,4.27,0.09,0.47,1.55
Canada,39.9,102.41,131.72,,,,,,,,,
Central African Republic,1.34,2.55,5.6,1.34,2.65,5.92,0.91,1.76,3.12,,,
Chad,1.34,2.46,5.7,1.84,2.85,9.32,0.83,1.6,2.88,,,
Chile,16.82,56.34,83.82,,,,,,,,,
China,4.93,9.47,14.13,,,,,,,0.11,0.74,2.26
Colombia,6.25,12.17,16.22,,,,,,,0.99,1.54,2.88
Comoros,1.42,2.72,5.77,1.33,2.69,6.48,1.07,2.08,3.45,0.11,0.74,2.26
Congo,2.31,4.46,7.8,2.3,3.72,10.6,2.73,5.42,7.16,,,
DR Congo,1.23,2.38,5.22,1.22,2.41,5.3,0.81,1.56,2.8,,,
Costa Rica,7.21,14.06,18.53,,,,,,,0.11,0.74,2.26
Croatia,18.14,59.01,84.5,10.97,33.43,64.54,,,,,,
Cuba,4.1,7.83,11.82,,,,,,,0.11,0.74,2.26
Cyprus,25.92,75.13,107.3,14.78,45.71,68.88,,,,,,
Czechia,30.55,83.79,115.5,,,,,,,,,
Cote d'Ivoire,1.48,2.78,5.83,,,,1.28,2.51,3.88,0.11,0.74,2.26
Denmark,45.13,113.06,148.46,29.07,69.51,121.61,,,,,,
Djibouti,1.36,2.47,5.55,,,,,,,0.11,0.74,2.26
Dominica,7.43,14.54,19.13,4.06,8.07,15,,,,,,
Dominican Republic,4.85,9.41,13.26,2.67,5.31,10.74,,,,0.11,0.74,2.26
Ecuador,3.71,7.11,10.97,2.81,5.59,11.14,,,,1.03,1.58,2.91
Egypt,2.17,4.08,7.28,,,,,,,0.09,0.47,1.55
El Salvador,1.4,2.53,6.12,1.64,3.25,7.52,,,,0.08,0.26,0.99
Equatorial Guinea,6.65,13.16,17.13,,,,10.99,21.93,25.15,,,
Eritrea,1.33,2.49,5.55,1.76,2.61,8.74,0.9,1.74,3,,,
Estonia,24.81,72.56,104.19,15.7,42.54,80.22,,,,,,
Eswatini,2.35,4.52,8.06,,,,2.75,5.44,7.56,0.08,0.26,0.99
Ethiopia,1.25,2.41,5.25,1.14,2.33,5.7,0.84,1.62,2.87,0.08,0.26,0.99
Fiji,3.65,7.01,11.28,2.41,4.78,10.16,,,,0.11,0.74,2.26
Finland,38.4,99.87,134.05,22.93,62.13,94.99,,,,,,
France,34.16,91.05,124.17,,,,,,,,,
