Country,Iron_Preg_Low,Iron_Preg_Base,Iron_Preg_High,Iron_WRA_Low,Iron_WRA_Base,Iron_WRA_High,Antimalarial_Low,Antimalarial_Base,Antimalarial_High,Fortification_Low,Fortification_Base,Fortification_High,WTP_Opp_Lower,WTP_Opp_Upper,WTP_HCFI_Lower,WTP_HCFI_Upper
Afghanistan,1.62,3.45,7.42,1.19,2.39,6.45,0.63,1.16,2.45,0.1,0.68,2.1,71.2,231.3,355.8,818.3
Albania,5.29,10.48,17.44,3.65,7.29,15.59,6.42,12.69,17.11,0.47,1.07,2.52,1362,3949.9,6810.1,15663.3
Algeria,2.76,5.86,9.86,1.85,3.88,9.22,2.83,5.61,7.31,0.08,0.35,1.23,1172.5,2301.6,4342.6,9988.1
Andorra,31.89,86.48,119.39,18.69,53.2,78.06,41.98,83.91,94.28,0.11,0.74,2.26,11338,28555.1,41992.8,96583.4
Angola,3.39,7,11.52,3.02,5.18,12.92,3.88,7.7,9.93,0.08,0.38,1.32,330,630.1,3000.4,6901
Antigua and Barbuda,21.91,67,94.71,11.06,38.32,56.56,23.56,47.11,50.95,0.26,0.88,2.37,6175.1,7171.1,19919.7,45815.4
Argentina,9.13,18.16,24,4.61,9.08,17.55,14.74,29.36,33.51,0.63,1.22,2.63,9282.4,12695.1,13650.6,31396.4
Armenia,5.31,10.56,17.37,3.4,6.8,14.79,6.53,12.91,17.21,1.57,2.08,3.28,5544.3,7579.5,7018.1,16141.5
Australia,44.48,111.64,145.31,25.72,67.28,99.06,65.9,131.76,144.21,0.65,1.24,2.64,49475.9,58589.9,65099.8,149729.6
Austria,37.64,97.99,132.25,22.4,60.62,89.47,52.44,104.84,117.14,1.48,1.99,3.22,41146.9,48438.8,52084.7,119794.8
Azerbaijan,9.37,18.59,26.05,5.05,10.08,19.74,14.23,28.31,33.89,1.39,1.92,3.16,2173.4,2949.6,7762.1,17852.8
