Country,change_median,change_low,change_high,DALYs_prevented_median,DALYs_prevented_low,DALYs_prevented_high
Afghanistan,0.13686478564180654,0,0.3527719872677063,-9950.219291528218,0,-27112.827482904304
Albania,0.2719121171090141,0.11983816789516694,0.4714808409699555,-830.8805580612463,-301.490058260622,-2073.5464876712226
Algeria,0.35006472832708824,0.17964927527462088,0.5076984519726973,-38165.84615392536,-12884.398325880209,-74020.70834681923
Andorra,0.22730767226880388,0.09926482753486379,0.4179980260805046,-4.822763549197552,-1.4370204196640517,-12.40641741459933
Angola,0.2906495654772816,0.05424705355185362,0.4774367467197417,-29994.02344750111,-3636.2216604398022,-69277.81639329433
Antigua & Barbuda,0.29598918548332614,0.12737922245777605,0.48637353900562996,-60.904409320471366,-20.67888788578839,-147.78705579049847
Argentina,0.2579489130322421,0,0.47585870168983563,-9360.95830469808,0,-29884.09328700271
Armenia,0.2776204667567538,0.11872962964237778,0.47731389892196974,-1197.5421611176519,-383.0347967974729,-2718.7786714062645
Australia,0.22434937957238302,0.1013003522352159,0.4205449860161687,-1969.6848024870383,-747.4449034312729,-5226.224886367679
Austria,0.23117986114503136,0.09998369100078928,0.4196462818022243,-476.11533868338756,-132.19437700050622,-1214.68875242467
Azerbaijan,0.3110182118346223,0.14431819429803114,0.485079888257789,-9830.23700046172,-3083.1777353939246,-19691.448433010493
Bahamas,0.32135209716762314,0.13451293296649186,0.5047512577848016,-344.118194349073,-104.10968994649947,-725.9945058691051
Bahrain,0.32038054259064436,0.13361189828973843,0.5047971243269072,-934.9841254521423,-307.86714073430227,-2153.970531834191
Bangladesh,0.1248066871982419,0.014626448856707585,0.33937149875601635,-64367.484784024506,-5764.449013699852,-219085.43138427785
Barbados,0.3057644482029488,0.12359859260954412,0.499323897208737,-199.9934529851931,-68.5548308582659,-439.52918567203284
Belarus,0.22873252049560766,0.09979109564617351,0.41962814834975803,-2761.899444858279,-1096.750163176824,-6253.513077959871
Belgium,0.23128138910923401,0.10898297966700507,0.42253312155967676,-705.3224806384519,-233.74729228945873,-1756.8252617157461
Belize,0.32042330079667336,0.14772346077926746,0.45032193331866666,-502.7605224044704,-162.92970416826142,-914.355654488325
Benin,0.3018993780268384,0.041259394360471685,0.47190117218616284,-19218.926997458213,-1975.8930005413051,-46042.463897481175
Bhutan,0.33190709372586213,0.1466056811062035,0.4984624463495454,-1132.2755219387323,-346.0841399083603,-2256.429385316055
Bolivia,0.2960827131676777,0.14043113847402827,0.48831353247661585,-6859.845700939766,-2397.7633395197263,-13729.022325574184
Bosnia & Herzegovina,0.2803383242889761,0.1318317419432872,0.4925025284050136,-1137.1382939612104,-409.09741689980984,-2875.646739916766
Botswana,0.345067402041329,0.14182469321400842,0.5346871003159782,-2229.4447257202555,-579.1881747343907,-4481.6365505984
Brazil,0.37197428964292284,0.24048126305788808,0.5335336948138208,-212615.7380512889,-105114.67978029084,-383579.3334442448
Brunei,0.22527447321886462,0.09270949906958964,0.4068161177728643,-62.190415081441465,-18.62719795895396,-158.13406271042845
Bulgaria,0.33564480842917493,0.15227363441716876,0.5148529613077695,-3394.994514458522,-995.2668387625686,-7060.578783380515
Burkina Faso,0.10185295776499495,0,0.3417521826683413,-9595.301427118451,0,-40494.75813844772
Burundi,0,0,0,0,0,0
Cambodia,0.029467493228872887,0.013900087002763946,0.2944429879380153,-1683.5180767136335,-610.6743530802108,-18689.919939156454
Cameroon,0.19784514478919274,0.030328279118966066,0.3980536667298627,-18741.953345540234,-2297.54525002396,-48885.12232682138
Canada,0.2310545394158015,0.09666912723828652,0.4211607638667091,-3478.5861436817386,-824.2655236757588,-11598.140224868876
Cape Verde,0.3323061699072615,0.14810325481716816,0.4967306641621182,-581.3462439982845,-193.31164442587576,-1113.4817398908046
Central African Republic,0,0,0.14331356587429517,0,0,-3304.591354492223
Chad,0.048172754809869364,0,0.23457425652771663,-3948.406077451975,0,-26067.026053725764
Chile,0.204440088163825,0,0.3885657246925253,-1223.5453281006899,0,-3010.662131771335
China,0.33309540031699,0.1486992470552127,0.5104279113517605,-423356.99989663233,-164596.2819118501,-760913.7538326813
Colombia,0,0,0.2879018491191788,0,0,-13176.630922883156
Comoros,0.22308489196973058,0,0.4465940315698643,-418.28688927655287,0,-1198.3768008305346
Congo - Brazzaville,0.3002149064388143,0.13411722827439734,0.4795478663788139,-6866.721018029444,-2466.8187336071323,-13387.829239560499
Congo - Kinshasa,0.03841078986050146,0,0.4097012236019062,-11289.729293064025,0,-145078.7503821795
Costa Rica,0.1828761515629663,0,0.41702220484078956,-582.4448681835754,0,-2145.077976207152
Croatia,0.23600743314345246,0.10963243486765421,0.4320595050526756,-932.2147483088738,-341.79760460872546,-2408.372397175218
Cuba,0.3533927512230923,0.1855592991947914,0.5178257618193584,-7546.335126261049,-2853.0238993610196,-13299.128039212606
Cyprus,0.22923919123989073,0.10633690057893452,0.4261177222020486,-90.10704649676947,-26.93150968112827,-205.6408015809029
Czechia,0.24077014898863602,0.11214959754744865,0.4577555405102784,-2476.9266799078578,-942.408892458885,-6697.088581090641
Côte d’Ivoire,0.33604505153471187,0.18827977253532063,0.4970790923928297,-39217.94771004954,-14746.170397325646,-70114.6077560763
Denmark,0.2265911040659758,0.09932745250630154,0.41414058612955323,-314.528990005687,-88.8503269593658,-713.6130562949021
Djibouti,0.31928710898986157,0.13548761424030017,0.49141246215791956,-937.5604454370475,-273.4053741548604,-2007.5886569349136
Dominica,0.3534960369271163,0.17755579709607677,0.5129993948816055,-63.8982399920054,-22.511119656913575,-131.0845174958651
Dominican Republic,0.2460103195973259,0.15694861334690235,0.3581772642633018,-7523.113212263324,-3505.6223325017004,-14326.439097091987
Ecuador,0.016357391947544795,0,0.42122522141375957,-200.52255706454434,0,-6081.607620644919
Egypt,0.22472523300707217,0.09902322846736648,0.4445485798131485,-31095.04046067116,-10678.092055912644,-84850.54225867358
El Salvador,0.21470203491378564,0,0.41982355123199305,-795.0746062115693,0,-1905.4264747048949
Equatorial Guinea,0.36789692227857607,0.17361654988659306,0.5274937489227982,-1956.3830975300334,-590.8579388670455,-3722.65493410991
Estonia,0.3067132188883818,0.13680484387240985,0.48009360990128963,-438.2212820769331,-143.2814441902086,-1019.03147310225
Eswatini,0.30392611964565897,0.1229615093484898,0.46306437288979835,-880.2392615909563,-281.800241247438,-1787.3755116318296
Ethiopia,0.060587755062910684,0,0.2115356496565163,-11690.562044688253,0,-47008.51627679358
Fiji,0.35459259699030665,0.17289177785488147,0.5116800868473647,-867.5469520910893,-290.9281328264971,-1846.7799211730073
Finland,0.2291364820664127,0.10883152948093314,0.42359651769743367,-276.72440911844797,-86.56189346194759,-717.745671197346
France,0.22693733350786144,0.10365344089219221,0.4211607638667091,-4383.697398277821,-1535.9781032529816,-10359.912118901535
Gabon,0.38292471407119427,0.26164734103391035,0.5473721257104693,-4137.249036686893,-2087.612595520632,-7848.44506692972
Gambia,0.24435750794282823,0.026997640977036736,0.47289304365676793,-3078.682343381881,-282.07047604933996,-7559.935802672209
Georgia,0.31981380425371886,0.157004622882292,0.4953235536275237,-1979.0677057512012,-675.2547871666184,-4097.245958456653
Germany,0.2429759097349363,0.11000368848352457,0.4612612838800711,-7259.845987574861,-1545.8240063098126,-24340.266759341688
Ghana,0.31027183442901063,0.13822702597785877,0.43098374495577013,-52182.34486645478,-15817.61113204926,-98123.07846400065
Greece,0.2309539856126571,0.09940398715385064,0.42065555366840907,-673.8565437379114,-206.22794400894279,-1804.3970041845216
Grenada,0.3665002956369298,0.22658761539227779,0.5152549160753698,-104.12524878541997,-45.171147605177616,-183.5849372483039
Guatemala,0.21553488378728203,0.0547980153925615,0.3224015712723468,-12534.013401500833,-2537.409656323472,-23898.794319401455
Guinea,0.24029779078774857,0.033884850822375016,0.3899724816822792,-12033.25893111591,-1515.86453680271,-24735.819661795093
Guinea-Bissau,0.1483446361994519,0.021639705326240235,0.38079060520222685,-1449.0725092963457,-169.24909434142424,-5221.168564180951
Guyana,0.24439733873166242,0.16179667992830046,0.35242675364574816,-580.0910251942078,-295.22716345391336,-1016.5649624185052
Haiti,0.3021966514405831,0.1003596681653441,0.49193584630529075,-20890.87415135991,-4269.154287607464,-43075.05434686439
Honduras,0.0511868061484676,0,0.10726258011415572,-567.8962979294556,0,-1389.3205993795405
Hungary,0.24142958181119734,0.10773122868882579,0.4628306605056014,-2687.9498768659337,-964.3717290859267,-7153.315028177227
Iceland,0.22999373785761434,0.10316570809634179,0.41996304138584856,-17.991080859492563,-6.348418439545256,-43.39342262670432
India,0.23634421093572017,0.13306676108543045,0.3417026859390172,-1582943.1704542218,-736551.5768242141,-2500464.315176292
Indonesia,0.10098103768280886,0.014494957565830191,0.33345667610485463,-39369.790058458835,-3931.821232075346,-175946.66004517014
Iran,0.22485605324867125,0.10116143498908764,0.42359651769743367,-44415.028087573024,-15462.123007019025,-93881.62239284132
Iraq,0.33252351908865896,0.16324362570571038,0.49229456033953545,-33192.68981485018,-9830.803329251172,-65951.54055358318
Ireland,0.23846491580091933,0.11041689859333957,0.45466104691042264,-268.32268989638686,-77.75521106421381,-814.5536676434946
