Country,change_median,change_low,change_high,DALYs_prevented_median,DALYs_prevented_low,DALYs_prevented_high
Afghanistan,0.25941658538518286,0.14391416044059593,0.420788422663095,-18011.395818265217,-7533.527099347758,-36663.10605698449
Albania,0.3385696450475345,0.19408705314623476,0.5161835068994958,-1097.8655667290043,-535.5454811921563,-2143.3301389842795
Algeria,0.35193278258942484,0.2105656533579839,0.5397301755023627,-36883.766994016136,-17358.755388693175,-74796.07192182646
Andorra,0.3666569717304192,0.21422147616042647,0.5417055707933006,-7.758104762715135,-2.6710202008190636,-16.467854457090883
Angola,0.35822915427585633,0.21961755255687843,0.5470621605178996,-38049.82170549833,-17987.84186167641,-70002.10824959763
Antigua & Barbuda,0.36754464644484364,0.2189480631720595,0.5382145909866616,-76.86221877682047,-38.338160412106554,-158.9747928831425
Argentina,0.3625353912622047,0.21258964697146177,0.5316784555773786,-14497.905591889688,-3718.9211714643075,-34592.794436636555
Armenia,0.3410283318307491,0.20848494508615745,0.5127594723586613,-1412.3556149380322,-688.0374796690512,-2895.9430251782073
Australia,0.3682090051340513,0.22589897165669004,0.5537448674664143,-3321.012236755658,-1219.7411988067333,-6944.824368870534
Austria,0.3694272621340965,0.21266984052244609,0.5578948440208557,-745.4592680013716,-256.4857291873349,-1696.6204079588485
Azerbaijan,0.3383211430937959,0.2040018902547924,0.5307666574470286,-10215.934977969,-4706.80103844312,-20156.784897740585
Bahamas,0.37003814595800993,0.21998618594966451,0.5337668579367211,-378.98564159405026,-185.16312493061167,-701.7774054571296
Bahrain,0.36941872608205817,0.22342990335848384,0.5498909566046926,-1179.8965051620398,-568.0156557658034,-2466.6432927934497
Bangladesh,0.2384285433349574,0.13900329350519933,0.35397385224915323,-116188.4214767389,-52099.83642350335,-233492.01625305103
Barbados,0.36963282176273005,0.22577073559029706,0.5541665376680162,-237.09026775022338,-120.88230932694186,-499.9685339749785
Belarus,0.3662594341753837,0.21875048774201564,0.5483443979106589,-4589.563186031162,-2072.304167816493,-8642.168366546724
Belgium,0.3663026605251063,0.21880041866419955,0.5485160407880922,-1199.8680634710072,-489.6405187685132,-2383.221121239213
Belize,0.3157425091171383,0.18414726903543344,0.46878304912267077,-487.55483588672587,-207.6191889324109,-915.9312364398526
Benin,0.36395560426937235,0.2154548958073971,0.5388550857269446,-24227.542089902883,-11902.331777878817,-46234.23080910647
Bhutan,0.3420150527256188,0.20582512449390028,0.5034418826811041,-1166.9010877672856,-519.205785418281,-2107.5987893648276
Bolivia,0.3554328777154826,0.21228653055447802,0.5258019341612418,-8251.39094671961,-4443.8855144091895,-15033.822628579564
Bosnia & Herzegovina,0.3577694381063597,0.21279431094126192,0.5341473642908641,-1541.1719470357823,-665.6837163064387,-3088.0037991935565
Botswana,0.3659364084662676,0.21722658126024816,0.5465337205614287,-2242.7070977931976,-919.5878596178305,-4384.470449618412
Brazil,0.3607513277844002,0.2166361222387737,0.5454318311204567,-211195.12713852493,-98957.04496712986,-392458.5664200157
Brunei,0.36380696576572913,0.21147358777905048,0.5397333160472989,-103.54077982606711,-38.49275001835358,-238.39088167424995
Bulgaria,0.3594718976085239,0.21000210004832515,0.5424286661204519,-3459.1382490641718,-1663.3770914853262,-7151.742380302318
Burkina Faso,0.2645369805699502,0.16876573533800338,0.3716641041256127,-24974.466277388023,-12525.35255173676,-45155.73516296204
Burundi,0.23028875559736728,0.13676518539789845,0.3426679351794791,-6544.40440732638,-3261.1913844086193,-12138.725019450992
Cambodia,0.18832215133481428,0.10122652120218993,0.309327626326191,-10538.55798882838,-4794.691199134588,-19702.706380630534
Cameroon,0.29393826432086056,0.17763421751171032,0.40752960499310414,-28991.221661296717,-15267.689427062269,-51399.54051483851
Canada,0.37000644511726755,0.2164732467004181,0.5571806589318435,-6299.180896056295,-1455.219852175085,-13675.728042049881
Cape Verde,0.3568831794295142,0.21121702742360957,0.5451739905060541,-603.7978547499232,-274.71441237810177,-1163.1627208222858
Central African Republic,0.24043848771563464,0.150431156146525,0.3485090649141093,-4077.9902039658764,-1975.8239867872637,-7524.604001205902
Chad,0.16853038463908446,0.10178343794346774,0.25382167593819743,-13523.46746232218,-5744.369101740639,-25377.19445367028
Chile,0.3514474274449013,0.20729715432774234,0.5151304268573432,-2092.1556289374275,-814.2177155223399,-4699.260176102711
China,0.3592066004268231,0.2075321303005408,0.551340571316835,-459021.95788017754,-246105.71879561085,-827247.5979945819
Colombia,0.2936687176872532,0.17656556797589407,0.42770977121638226,-10374.881131455322,-4783.849719876221,-21135.612660423347
Comoros,0.3462632808107048,0.2084527918584,0.5166990774971487,-660.6721869337139,-316.21883095866497,-1239.0603081271634
Congo - Brazzaville,0.3464465393191553,0.2114838457118951,0.5243696336429119,-7591.7638694755515,-3939.1937980843695,-13656.576329237565
Congo - Kinshasa,0.33090790564057615,0.19893968702441975,0.5166907352048112,-94795.2468890321,-45841.639808127344,-188993.57034212467
Costa Rica,0.29739345261514105,0.17580106778412496,0.4342980385617805,-947.3533186947097,-299.6766111165193,-2352.5845085627643
Croatia,0.37164245783193783,0.20973607743352618,0.5498917107259146,-1497.2631428593563,-727.596679353113,-3043.881766084549
Cuba,0.3565305607891609,0.20921740383442813,0.5397782937315753,-7617.63147614029,-3405.7598459642572,-15086.49898614062
Cyprus,0.36800231592533494,0.21818027920937452,0.5429873300351753,-158.65085000886364,-52.35068273316565,-339.8622070604703
Czechia,0.3730745556452668,0.22070339194072236,0.5525846563066953,-3909.4939987131575,-1889.5578470031826,-7862.683794701422
Côte d’Ivoire,0.3421230735423562,0.2052388983401462,0.49181016873965633,-39210.45014429865,-19169.87375175349,-70315.334101353
Denmark,0.3685265845441963,0.21724949380392447,0.5522201852482009,-533.7993101527925,-164.15329663144018,-1050.281744037578
Djibouti,0.33375198220837055,0.1986790170077031,0.5161457112349739,-974.4765907656425,-455.23173065745056,-1928.9420081726255
Dominica,0.35587110068296335,0.20930330899324096,0.5352734281547465,-64.85448351775331,-30.23181172021078,-121.45735915428668
Dominican Republic,0.23696452524402506,0.14127742492628945,0.34017282747569183,-7154.572461757232,-3500.738318659265,-13343.974026224778
Ecuador,0.3655001450220785,0.21163550119728491,0.534842837698424,-4259.363418669279,-2296.5666166059495,-8712.07053853287
Egypt,0.3238239960703182,0.19613617690561094,0.46081039304784926,-45504.99431292974,-21856.682019741562,-89834.94997114255
El Salvador,0.336506489950082,0.20063218103583322,0.5422686424239783,-1212.610282213765,-577.3468443676278,-2341.0470973537836
Equatorial Guinea,0.38192775841619164,0.22870163779120456,0.5545835489176519,-1998.8933354712422,-899.200022063777,-3567.3786510678033
Estonia,0.3693829494413571,0.21230189802766086,0.5460355619372397,-542.7572551086316,-252.12018403143597,-1029.0418888523034
Eswatini,0.3254946466010013,0.2017478756799293,0.4769537650824147,-899.7641122631812,-439.08963573259604,-1686.3884464475145
Ethiopia,0.19378527551321748,0.1159683915734917,0.2826534234832322,-38016.66436461611,-21318.956818888695,-62924.15762666166
Fiji,0.35888182222938103,0.21500148409743547,0.5347782425588771,-919.9359101126265,-410.4016215938493,-1723.8232340006846
Finland,0.37069546589517677,0.22148346142753378,0.5490933297321897,-456.09490366372745,-198.75111207429632,-976.5198422636996
France,0.3718641671924354,0.21397672759938907,0.5462288939442245,-7334.009490937635,-3330.5071961374156,-14049.246410835782
Gabon,0.37642938560189826,0.2252489219540559,0.5568593218350955,-4052.2813034827636,-2048.750837911621,-7426.535106854203
Gambia,0.3764356909784151,0.22859525373559328,0.540727551821608,-4866.261487196038,-2446.369774383456,-8901.109946586765
Georgia,0.3540158736348264,0.195658685431875,0.5369721736091977,-2174.344939914685,-1034.918129369493,-4273.997960706986
Germany,0.37395225930733683,0.21401384707492582,0.5417588756996019,-11621.239052220448,-2818.2747837395295,-28550.47372298724
Ghana,0.311899796185808,0.19468799392921982,0.4501661595332824,-51354.00249092367,-24488.64121869302,-92280.2813241636
Greece,0.3648306767471619,0.21833812044286174,0.5484447484361439,-1156.7022659517213,-428.7870707863965,-2722.634265076
Grenada,0.3581429597898942,0.20959907243729142,0.5211061611092805,-102.2239243915883,-48.55654385623881,-192.10748130547393
Guatemala,0.21498744784667068,0.12621864700589003,0.3233118268670216,-12901.44379809616,-6126.956347842414,-23517.731113644604
Guinea,0.2834795589046119,0.18050698586531216,0.41674783706333435,-14400.964162460305,-7523.152733566162,-25834.526515166137
Guinea-Bissau,0.2952145040060702,0.1794407389008417,0.4093338228161959,-3017.0287864628003,-1360.5051835163883,-5818.637857749384
Guyana,0.24453190762609078,0.14497183930086427,0.34518635953575716,-582.0372844892204,-285.9656154066425,-1133.653173713239
Haiti,0.31857434731653117,0.18559816733051535,0.4614738058166392,-21697.758101617008,-11281.04078619372,-39147.18162788187
Honduras,0.21620113715719158,0.12718572781901788,0.31884679791553466,-2378.5116559036887,-1065.3668602066618,-4389.553459608358
Hungary,0.3671704385536954,0.2186055103718976,0.5620798939761463,-4051.9222039261795,-1867.5512423789842,-8556.633352234032
Iceland,0.3724485073647399,0.21307747273754618,0.5551110986385687,-30.588726909802322,-11.774336619234758,-62.88880239555428
India,0.2318146718922457,0.1391263856531979,0.3408993010977726,-1578470.0543591036,-861350.5107612533,-2615168.3844013736
Indonesia,0.23354792962683185,0.1368309973216631,0.3351674167483317,-87350.0677912099,-37975.235017766936,-164798.8194237318
Iran,0.32490935674764965,0.1862313915232624,0.5193122393161786,-62893.39757490314,-30276.968397530614,-128582.47404713754
Iraq,0.35405383889707653,0.2107240253824131,0.5480364340294253,-34459.881706325614,-15981.196876918066,-71769.70706367135
Ireland,0.369146567576806,0.2168567190041268,0.5522164910112305,-419.82635334907377,-141.14373126706846,-914.9381389733833
Israel,0.3699310084636357,0.22531890211350242,0.5464904963610716,-1096.430766653784,-337.3600931582677,-2395.4167390883
Italy,0.3658715058542771,0.21057495249540056,0.5406087993763279,-5158.385981064447,-2157.4006167532993,-12123.839013267245
