Country,change_median,change_low,change_high,DALYs_prevented_median,DALYs_prevented_low,DALYs_prevented_high
Afghanistan,0,0,0.33886450455412165,0,0,-30671.05291850567
Albania,0.24057659796777486,0.10280198907487345,0.46697646362589984,-769.4694886762493,-268.9675483227867,-1640.819471394305
Algeria,0.2983684256210255,0.12432349228657531,0.5004967372507887,-32650.475158446425,-9798.145771406545,-74452.18693587434
Andorra,0.23689144629977238,0.09062510131170623,0.4384426594512261,-4.636475997517948,-1.4766252088603036,-12.877396743238501
Angola,0,0,0.42762380029890545,0,0,-57860.712921349266
Antigua & Barbuda,0.23841964903733992,0.09418639160342532,0.4351511382162753,-49.132189074804316,-17.808930757099045,-129.80790956004734
Argentina,0.26526697767899704,0,0.47715641460820213,-9789.104949779381,0,-35619.89582661759
Armenia,0.28046219999487837,0.10438548714486173,0.4704967554425906,-1209.9704953022601,-359.5513832815179,-2794.31983936243
Australia,0.23099071963373735,0.09371380161142238,0.42918841188594176,-1991.9747900032226,-674.5450486961137,-5274.9809421534
Austria,0.23624790751933394,0.0936833087148889,0.46093921881005356,-458.6115019609257,-127.29983329730575,-1188.226399420064
Azerbaijan,0.24434672802710772,0.0975933257040721,0.4412888523770207,-7151.14887503343,-2368.936750832908,-17485.4869756364
Bahamas,0.24270049553916928,0.09153843608434258,0.4537878715863406,-245.96740020756124,-85.98897197646716,-601.053033838546
Bahrain,0.23922810739542957,0,0.43955193731468095,-737.6557490627188,0,-1851.5821833948319
Bangladesh,0,0,0.10889807839600844,0,0,-58852.88613219511
Barbados,0.24416401596682064,0.1010912632628392,0.45792246421796506,-156.8758370540452,-55.736067233807105,-391.1798340810422
Belarus,0.2385463896035781,0.09577107375577358,0.43518766483293736,-2844.3213576857343,-1023.243542666365,-6576.618341657725
Belgium,0.23811875503209556,0.09807429536598128,0.4407670708800844,-744.972902169806,-254.85093942767406,-1732.8806816189835
Belize,0.2818450301227807,0.09796884415195212,0.4433267615065581,-435.40944272935224,-111.66327409115196,-909.0840366629537
Benin,0,0,0.3660762451042377,0,0,-28230.57033598793
Bhutan,0.19929917516890927,0,0.446169451506059,-709.9103862105005,0,-1846.734345763574
Bolivia,0.23720536768248027,0,0.461044941035464,-5553.102749048116,0,-13489.171767793387
Bosnia & Herzegovina,0.2730915154887511,0.10311875368114178,0.49342080634174573,-1151.9565370402993,-314.4852198651591,-2966.249685142914
Botswana,0.2878442321789425,0,0.5049266751399585,-1760.8555814396364,0,-4592.233303911981
Brazil,0.37553006054979415,0.21248923976752188,0.5541660800258588,-221948.31485166398,-101677.210058045,-418832.83554000215
Brunei,0,0,0.43955324935831536,0,0,-167.14981558886262
Bulgaria,0.3024851040419705,0.11637477982161624,0.5065279502349596,-2926.7100966820426,-871.7826184708256,-6514.948550706835
Burkina Faso,0,0,0.04736247097150936,0,0,-6643.197664177224
Burundi,0,0,0,0,0,0
Cambodia,0.02089425671657482,0,0.26403420184092635,-1161.8051763750373,0,-16757.35358726031
Cameroon,0,0,0.21689373265152562,0,0,-27246.20926429018
Canada,0.23593177074129984,0.07791709392861995,0.4339541109160582,-3639.4590423129957,-748.8467554065313,-11056.048925790798
Cape Verde,0.24467306352956059,0,0.46096868010055453,-420.91642219506286,0,-1054.2447068208037
Central African Republic,0,0,0,0,0,0
Chad,0,0,0,0,0,0
Chile,0.20787044402549631,0,0.3889924413108841,-1173.166208667705,0,-3542.0069870252323
China,0.24865758078726,0,0.4606954016461522,-316352.6827810597,0,-700003.258248502
Colombia,0,0,0.26589716537810204,0,0,-11575.401627931737
Comoros,0,0,0.32235769061902475,0,0,-802.4323653977495
Congo - Brazzaville,0.1611755907044674,0,0.3858807215765069,-3815.7161451968395,0,-9364.95840082973
Congo - Kinshasa,0,0,0,0,0,0
Costa Rica,0.16225060406299274,0,0.3825218894784893,-523.021524783456,0,-2083.1883890443837
Croatia,0.23452464719194638,0.09220669408686911,0.43460162028252924,-962.8084639625908,-368.88622943347224,-2486.0705908229374
Cuba,0.3590370168306337,0.18179700998835766,0.5416309906040649,-7665.306360994656,-2424.770662718454,-14138.720170066375
Cyprus,0.23346006548166548,0.09212328696637385,0.43395728537528494,-90.37416608139185,-21.473772538963306,-242.68586296534116
Czechia,0.23606172078452697,0.09369978508398331,0.4609686801005546,-2497.3414087162173,-813.0550799240482,-5925.6082826585925
Côte d’Ivoire,0.036594688113047336,0,0.3477724484967747,-4505.035521495374,0,-49040.960479522066
Denmark,0.22904295572650318,0.09742511371606392,0.43447451657730995,-312.5604874013008,-100.06115214243708,-806.3512616517819
Djibouti,0,0,0.40893015635261376,0,0,-1552.5659784438794
Dominica,0.2950573331941425,0.11618751787537987,0.5205967308472891,-53.4307287809475,-16.54663515075262,-117.88721652114826
Dominican Republic,0.23200659499982257,0.053075959802949324,0.34145549612928777,-7127.712991635823,-1145.0207046051844,-14064.523868989118
Ecuador,0,0,0.40880193105646395,0,0,-5581.918668081531
Egypt,0.16403755523622182,0,0.34172240533287607,-24039.088308912935,0,-58690.83399587505
El Salvador,0.012464591843651743,0,0.42760017965603847,-48.472874040573515,0,-1967.6437134244197
Equatorial Guinea,0.2004824264575905,0,0.4408347806087195,-1042.302637276537,0,-2912.0675492873797
Estonia,0.24881443276787452,0.10301692043068106,0.46709866736094596,-358.3034709659208,-116.99987650618533,-866.733047915419
Eswatini,0.1907638663086743,0,0.4131550887467914,-531.0228541935317,0,-1561.2275348965761
Ethiopia,0,0,0,0,0,0
Fiji,0.24564414321363254,0,0.4608251906606672,-601.5613204444248,0,-1576.477161504535
Finland,0.23113950074658102,0.09202529682234313,0.42772654835970114,-297.4725869168339,-77.60873293196505,-755.0934069750125
France,0.23504750966291454,0.09514034212075465,0.4416163272244727,-4360.207664319794,-1488.274190870921,-10360.158591029167
Gabon,0.30951671144255405,0.11945997147815228,0.5154608469489281,-3462.516450778368,-1104.1355049121485,-7152.193074686345
Gambia,0,0,0,0,0,0
Georgia,0.26597788280231005,0.1107214517838852,0.466022268951375,-1660.9988880656642,-548.2259964050845,-3917.962275403252
Germany,0.24789907159870272,0.09430981020874075,0.46568396581053895,-7919.319279870074,-1283.6673673001837,-24673.720571968326
Ghana,0.03846766798498476,0,0.3465091252674241,-7739.58512098089,0,-75905.38494091849
Greece,0.23214007490252242,0.09532453358647766,0.4341117110302491,-743.4716563153102,-189.3793889628273,-1917.7045940606733
Grenada,0.30408018774547757,0.12012646939718369,0.5076149517906992,-86.35911998666255,-28.07230941365076,-194.08033913411234
Guatemala,0.18604321042246127,0.010473571509270705,0.3085971367494293,-10744.04805651991,-529.1789404367587,-23277.314551134445
Guinea,0,0,0.17754367893956766,0,0,-11475.282691987759
Guinea-Bissau,0,0,0.17926686681448675,0,0,-2218.2620072289337
Guyana,0.2457712611011056,0.1329523469200593,0.353505260487435,-609.6215178899823,-260.6372201538168,-1143.7723250490264
Haiti,0,0,0.3439756403524518,0,0,-28357.28613924395
Honduras,0.026492345438978368,0,0.09125038175610081,-309.2064586072793,0,-1347.4763732980318
Hungary,0.23453888164830314,0.09083294218158089,0.44132961159818723,-2547.752754753979,-808.8869001148684,-6494.289970787153
Iceland,0.23308920574464165,0.09613911542362417,0.4412625935706173,-17.403312125865817,-5.505350844365156,-48.658125109083926
India,0.0820229113744787,0,0.29705780488787437,-556554.3155849646,0,-2318703.683120097
Indonesia,0,0,0.1096160156251941,0,0,-54719.52145501455
Iran,0.2283562840886622,0.09614859531984675,0.44155779686895874,-43129.46682309385,-14866.217875148839,-104507.35531841542
Iraq,0.25071189310898684,0.089965698765141,0.4429076467816019,-24121.312482643356,-7112.328269096877,-56556.974633114565
Ireland,0.23170412747215716,0.09449641258942916,0.43440384171097945,-270.0640272734372,-67.35856039436983,-698.4953722207177
Israel,0.23010980372446574,0.08649709498493774,0.44138240674653123,-609.9375562951482,-153.91523874444326,-1619.969727246787
Italy,0.23283133596111405,0.09583427691615971,0.4162546567552595,-3448.91879677464,-1028.4320286881318,-8026.375840666036
Jamaica,0.28975647195419585,0.11472505585569764,0.4881278721289186,-2343.549345660956,-721.4128293103989,-5323.281415471254
