Country,change_median,change_low,change_high,DALYs_prevented_median,DALYs_prevented_low,DALYs_prevented_high
Afghanistan,0.15020578100113943,0,0.3601368488306147,-10134.739707717516,0,-28505.902777473366
Albania,0.2616893572250303,0.11390261101989431,0.4743836989356465,-814.1507460647135,-287.76094535357834,-1859.3362057702982
Algeria,0.35004535080752885,0.17567189879065764,0.5187995854462806,-36912.516843857215,-13925.839176618545,-71709.8003449372
Andorra,0.22207063140147393,0.10354867452544703,0.43741124386798935,-4.78049424915214,-1.4008815612007146,-12.180009860993923
Angola,0.278047116098165,0.046925185889359046,0.49828720589960096,-28475.162746852664,-3544.621299920006,-75152.87680524922
Antigua & Barbuda,0.3054554954941029,0.11695528036016366,0.52848159338464,-69.71939677580438,-19.41821666932656,-153.40656438083283
Argentina,0.26411242213172514,0,0.486717815073803,-9578.890638170855,0,-33236.85140138299
Armenia,0.27380748551437495,0.11276395003879922,0.4861895985052166,-1168.0299567469049,-388.22348673393003,-2912.828160030951
Australia,0.22162810925983562,0.10026840060150052,0.44811104352258424,-1814.4996224169122,-677.2607921714532,-5189.453951113562
Austria,0.2176720400604783,0.10190209189588689,0.44408542339185847,-443.4110743480222,-160.49084502641358,-1308.5673915921193
Azerbaijan,0.3031236313735474,0.1293090701819281,0.501039400619768,-9394.842595590506,-2873.8415536205284,-20268.271135072064
Bahamas,0.3134570018772005,0.11971008109436228,0.5312338022613825,-340.67844634424193,-86.06981663439544,-745.6142850809539
Bahrain,0.3156433019876239,0.13240913380910807,0.5226038617595703,-1024.4865929538387,-286.77955165926284,-2301.6268903091645
Bangladesh,0.12115253924402727,0.011446990965185986,0.3416026956143495,-61015.13474102772,-4115.412711476633,-236995.69810250984
Barbados,0.29318948615814033,0.11990763038733745,0.508375283530438,-201.80954354051877,-55.83653911388602,-446.4518563152083
Belarus,0.22207063140147393,0.09628733055732104,0.432538676884222,-2643.7781221680807,-1043.2409943828125,-6389.442028817609
Belgium,0.22576599958716062,0.10346560847523219,0.45134072981248796,-664.8816478679503,-257.5956862619234,-1894.407648695166
Belize,0.31351471843791834,0.13075715167267232,0.46474156487437024,-476.9820653700547,-151.7282081638972,-888.6528641709127
Benin,0.2840567827544339,0.03409806762323099,0.5197639119610904,-19129.782717401602,-1591.6019301186577,-45582.715883918674
Bhutan,0.32773124653952146,0.13384823764577733,0.5016766912347138,-1133.2326273209958,-321.66161712754695,-2242.069683793311
Bolivia,0.2989021932680428,0.11211894136576794,0.5021640800101292,-6957.702490562323,-2172.6027137511605,-13845.438201188395
Bosnia & Herzegovina,0.2911429978656864,0.11179390478210391,0.504519904503291,-1187.852577673647,-333.3256898056099,-3022.475723877158
Botswana,0.3403206096032019,0.09112857606193664,0.5228074268133324,-2178.1198629036317,-360.44970164830556,-4227.060237838831
Brazil,0.3616151575872406,0.22633695795416414,0.5439096243885507,-213842.00042451342,-103215.20875391085,-373381.54939995985
Brunei,0.21522715364910838,0.09067456763913931,0.43740209234330063,-56.43636255722629,-16.757048815006602,-156.1180164929646
Bulgaria,0.3440971561889248,0.1543466337152855,0.5011755591470965,-3208.611520296011,-1046.0013375441445,-6578.33164582672
Burkina Faso,0.10013878663015931,0,0.3291467347311145,-9323.841065889006,0,-38708.470519362425
Burundi,0,0,0,0,0,0
Cambodia,0.02930230302783351,0.011906618464745368,0.31668036256403237,-1644.5474316432046,-525.7062387580258,-21261.425085478404
Cameroon,0.20638753371766674,0.026596558002246463,0.4144433233032754,-18700.675045596396,-2000.387393289958,-50558.59759908394
Canada,0.2269049565989727,0.09254015247860536,0.44844692465872654,-3516.0768376959177,-683.0846422616378,-12549.51313545128
