Country,change_median,change_low,change_high,DALYs_prevented_median,DALYs_prevented_low,DALYs_prevented_high
Afghanistan,0.26614089858919276,0.1479305299102445,0.4282475353616668,-18537.68917587987,-9089.570618128191,-35392.98398394588
Albania,0.34901906603399785,0.19492503039682943,0.5148846976557533,-1126.2990716111776,-567.9390538212614,-2203.416338839476
Algeria,0.3645776522005768,0.22124408231385004,0.5143650615356009,-39941.612181969904,-18443.42361608446,-72411.1913212553
Andorra,0.38075981060063724,0.2335948273896643,0.5327943743799441,-8.091292322462614,-2.623931821164462,-17.549498315978393
Angola,0.365730046466674,0.22522550685145123,0.5256173158443195,-38747.34172319049,-17423.685798186394,-72805.68686278464
Antigua & Barbuda,0.3758397928971533,0.21753531980554838,0.5408494679410738,-82.93090692143547,-39.59716337452083,-166.5473040908051
Argentina,0.3718994584296659,0.22057817994694284,0.5252897430758162,-14287.118573068361,-2491.8687493243224,-34395.46701113759
Armenia,0.3566347788793398,0.2007894116947423,0.5106181625137689,-1477.080993565412,-671.3475296464333,-2838.1822786063453
Australia,0.3763943168327303,0.23602123533802344,0.5381999897609744,-3429.1844918376974,-1380.1530202516617,-7165.780812916833
Austria,0.3811823400032456,0.23436833175143948,0.5297984966864605,-779.3910136253419,-251.84516661117775,-1740.39644923817
Azerbaijan,0.3526059643206052,0.2106703794648642,0.5224287099774869,-10663.180845332905,-5333.255555530634,-20186.544352456298
Bahamas,0.37511209112192595,0.23189084779324073,0.5271359479491416,-382.17106895119844,-172.3670495554324,-739.6291544246926
Bahrain,0.377103677925161,0.23201198788387523,0.5395268453056183,-1167.8522346482944,-516.8052395465138,-2365.6858919942506
Bangladesh,0.24082049069890266,0.14429185848813572,0.3594032160239932,-119906.93211351382,-56437.09634686726,-227989.38029217251
Barbados,0.38081760512176976,0.2316895627406961,0.5320064920174834,-260.19713356608617,-107.7224166502783,-475.71743967947407
Belarus,0.3793244641002781,0.22657004672275358,0.5244169088751091,-4587.97406043067,-1979.0145755770693,-9065.640154700113
Belgium,0.38315381618928185,0.22530695892195793,0.5373026298004352,-1225.489279175341,-518.091537590282,-2385.3530783293336
Belize,0.32109672935940675,0.19257245828021852,0.4655054978017541,-480.89843509038934,-233.48072038715918,-920.3460689079218
Benin,0.36485294097988863,0.21794902965897656,0.5183710659165176,-24456.56565773066,-12847.891159317727,-47394.77864790987
Bhutan,0.34897077288944633,0.21197488803834963,0.5130803954847546,-1214.4274588715389,-574.256407661486,-2454.062672599942
Bolivia,0.36676680950453333,0.22037470743202434,0.541964076449094,-8623.098534656814,-4198.6505758572885,-15429.485960784943
Bosnia & Herzegovina,0.37016832566180435,0.2175752626468836,0.5238768879995327,-1622.6919339065494,-708.884222286824,-2970.9403200326383
Botswana,0.37584790476947405,0.23147713240214587,0.5358706016798782,-2517.4093213313067,-1089.1301210079228,-4513.4812333737445
Brazil,0.37308616772201797,0.2122521386843619,0.525581012948252,-217999.14610548355,-103100.01254417343,-374884.7572575128
Brunei,0.3737874335943338,0.22646967768311932,0.5288946137599168,-107.13090757840693,-39.80909925327295,-241.75177808145756
Bulgaria,0.3698138781269956,0.22859639709563156,0.5322561609161485,-3712.1950821108894,-1549.0013183506837,-6980.257861560995
Burkina Faso,0.26619862013543083,0.17418084012255836,0.39838801798556,-25132.68105254969,-13663.216022602459,-50508.30951070616
Burundi,0.23702245302944042,0.1434707403048473,0.34016191060179124,-6913.885966387495,-3399.3036682360953,-12130.694322065758
Cambodia,0.1943033039579608,0.11026132591313073,0.326241983047217,-10839.095082048245,-4842.306278725935,-22570.401694156648
Cameroon,0.296935897540907,0.18860640601053805,0.4049124173940979,-29191.993240416916,-14300.459083908163,-53963.61276027085
Canada,0.3743189298417364,0.2273438542739033,0.5251192323298113,-6401.101132541784,-1513.2370502170775,-14520.196654094292
Cape Verde,0.36402550130004335,0.20825000758899836,0.5222627107618661,-638.4822815058878,-277.7930436973394,-1123.268403135459
Central African Republic,0.23873484341772783,0.15868079671880436,0.3418602766749294,-4266.340589372621,-2138.6139289129637,-7972.374000178486
Chad,0.17046783497782422,0.10820790554537411,0.2535735240970873,-14002.505543316263,-6366.1748380941235,-27837.591526245018
Chile,0.35912581611894473,0.20985127580154278,0.5091633175697409,-2143.2596153091163,-703.3029832445529,-5165.580743649387
China,0.3685637305636611,0.22273248503956403,0.5375212328940578,-472951.3869078454,-261901.81214085908,-803991.8306544938
Colombia,0.29957641271465163,0.18605671475449245,0.4282429776182654,-10576.312694986196,-4749.078016004082,-21410.4261885922
Comoros,0.357857904477057,0.22279142204375887,0.5117415464460235,-695.8297081004837,-305.0146693558391,-1340.4806632312634
Congo - Brazzaville,0.36070445591372347,0.22004653638783978,0.509119212357394,-8386.929399916431,-4047.773818308989,-14193.86270047098
Congo - Kinshasa,0.3385704099173217,0.19899559679372622,0.4991907215775702,-96965.29155957313,-45611.78287555882,-185548.58827641126
Costa Rica,0.30679302053998997,0.1838876665586362,0.44562600726169577,-1091.5742080007876,-331.93916981083714,-2492.282628831154
Croatia,0.3731004202812435,0.23051530761112923,0.5413708261895391,-1572.158238846389,-706.2472699070074,-2954.166762490385
Cuba,0.3674189454322396,0.21313117714190843,0.5284146503844396,-7694.7147023378775,-3579.8524495291417,-15928.315763630046
Cyprus,0.37653844459578467,0.21859997889883756,0.5428206881864819,-160.57857174149916,-49.81587067741467,-340.2717595352084
Czechia,0.3823123484134068,0.22795425772302758,0.530486291856126,-4012.0787557682975,-1881.9635964502738,-7443.230597958509
Côte d’Ivoire,0.3454149896107051,0.21951316594333362,0.4755654821621608,-40518.76376466206,-19965.13062112805,-70126.98250103586
Denmark,0.3760505990237514,0.228867536389049,0.5234704056096636,-506.1166773291777,-182.4779295831007,-1101.6364122832626
Djibouti,0.3418150612429205,0.19898863309343828,0.5096382426129616,-989.1078821483018,-455.05134532112857,-1963.8281341902234
Dominica,0.3687446658568786,0.2155815326826129,0.5255159092056324,-68.2924152276679,-29.919207619288944,-124.05774558112114
Dominican Republic,0.24164340443448837,0.1492833811915697,0.35441922221983285,-7568.6709987797,-3333.5517401979823,-13882.467624736279
Ecuador,0.37119581706599114,0.22424532259411747,0.5237264940740762,-4474.900174392667,-2121.833730024106,-8248.831630699164
Egypt,0.3330829300769935,0.1984528552648042,0.4802147962055344,-48633.19949547247,-21516.35627903312,-96078.0414696545
El Salvador,0.3518295961979747,0.20761602154636366,0.5212090726675058,-1283.5113249716244,-537.6889636150348,-2388.2901972961195
Equatorial Guinea,0.38851621081250953,0.24670243349569146,0.5430575156932052,-2042.197319996354,-966.1840243827784,-3736.487794697167
Estonia,0.3770341787313886,0.2341007304583506,0.5312309057976548,-529.2505859556381,-258.5933261813499,-986.8612373880743
Eswatini,0.3333790685624297,0.20743226471643386,0.46429637821540093,-960.4329259733144,-414.06571810927227,-1752.8695899723557
Ethiopia,0.19859321701241617,0.1194321299648502,0.2994798431447708,-39602.59775366822,-21785.973742235965,-66862.42978113462
Fiji,0.37102527258327944,0.22154453843139402,0.5454500572688055,-930.1915512310301,-412.02375528076095,-1777.611466052684
Finland,0.3756608000946249,0.2224642686478835,0.5347653658305366,-509.44306435070735,-182.11886294827428,-986.380922467019
France,0.38011773028474183,0.22757611310130077,0.5330752601911674,-7292.057784229879,-3159.9152557049347,-14658.143203143545
Gabon,0.3895149581422679,0.23709375976843192,0.541390370308667,-4172.777289046599,-1925.3123799702064,-7885.381008431541
Gambia,0.3888521611776443,0.2367366091722187,0.5335693439326679,-4992.712409368737,-2575.8007341086072,-8975.842775019903
Georgia,0.3663675002326706,0.22220002352628077,0.5247387916015112,-2348.572118407294,-1032.2296778339685,-4589.797170366411
Germany,0.3761697215683215,0.23118167726339092,0.5330387685318615,-12123.380237153575,-2765.1027773933224,-30612.843143121256
Ghana,0.31917246357551315,0.2032058050171944,0.4482896295403842,-54934.17472880614,-25627.864505572597,-97041.98551352897
Greece,0.37920269727808426,0.2280859659934055,0.5373959373347578,-1190.1759992004877,-356.6487441867142,-2660.4949234911487
Grenada,0.37102370217900155,0.21894146081255994,0.5226165816004189,-104.5732237952433,-48.4318790445594,-187.76089128758434
Guatemala,0.22053187536019891,0.1325527506332298,0.3329670713987015,-13331.883334166723,-6421.457693520076,-25337.831556171714
Guinea,0.291560654558284,0.19107458788145268,0.4076039168001197,-14595.680511827248,-7825.441175778042,-25205.000614990397
Guinea-Bissau,0.2988372157783119,0.1928349144179651,0.4137093860500952,-3206.250592021349,-1423.5914717509786,-5927.315085708822
Guyana,0.2455233130659802,0.14806790914411921,0.34917221137520305,-603.0432269647577,-278.7824137640912,-1102.1337914143107
Haiti,0.3237173803488165,0.1917048378607889,0.48152695029577675,-22339.099514658734,-9704.444547477857,-40487.93082946588
Honduras,0.21555438295288123,0.13348359162278312,0.33111975432962776,-2471.129713628734,-1115.8785456069654,-4668.481998875107
Hungary,0.38154200535374394,0.21834363103413618,0.5335784322513655,-4239.021155023292,-1826.3725310606949,-7830.324031864369
Iceland,0.37748870075322705,0.2298877232107418,0.5310215204474206,-32.33439113925721,-11.098882771554482,-65.05845690666634
India,0.23579189069376166,0.14453759685702008,0.34136762092782946,-1632161.98863998,-901704.4319370989,-2666859.0625529927
Indonesia,0.23730785358830114,0.1426507208659964,0.3540643873278588,-88381.46564882796,-42238.42004983125,-177114.71838799663
Iran,0.3334979247872475,0.19216594015999455,0.49704555981666054,-67742.67406784897,-31517.638817384155,-128365.24750691354
Iraq,0.36740437113164615,0.22808069652357732,0.5245081331071966,-36636.50581664792,-16667.74559486833,-65841.98318592265
Ireland,0.37937817631258114,0.23864992661785484,0.529911228170255,-431.64101714314216,-134.56999415520346,-964.2701373912714
Israel,0.3807863411210548,0.24079886474340492,0.5353350928184455,-1158.7316000764322,-364.65178546056774,-2586.5176530975687
Italy,0.3799015445157002,0.23392797801058082,0.5356285204658727,-5772.592656820028,-2341.339939369112,-11615.145433419164
Jamaica,0.3728829463729221,0.22278736514450548,0.5258129343893626,-2865.3818328471893,-1206.5759968290185,-5446.800687065905
