Country,change_median,change_low,change_high,DALYs_prevented_median,DALYs_prevented_low,DALYs_prevented_high
Afghanistan,0,0,0.33769352716727014,0,0,-29404.832276865865
Albania,0.23614236783369652,0.09882419948874507,0.4215433920409985,-778.2461207185888,-287.2260138157977,-1860.6378162886192
Algeria,0.2926350397708891,0.13059743041941949,0.49428389260167327,-32169.821253542967,-10120.898072550144,-74247.53950391228
Andorra,0.2300416560861261,0.08803876888313636,0.418861868500646,-5.024937031642836,-1.3616563411806006,-13.415520073549258
Angola,0,0,0.41230141629881156,0,0,-58858.05870508528
Antigua & Barbuda,0.23126437313948356,0.10112959227735956,0.40933686414615805,-50.53849872867545,-17.680766702814203,-123.59038927713067
Argentina,0.256605174582737,0,0.4858971527988354,-9293.481355838338,0,-31800.83456884345
Armenia,0.29329287170028395,0.11413664849375846,0.47280742028359724,-1234.8977250497303,-375.79256392476634,-2738.1827377868053
Australia,0.23479249620962467,0.09055176635329967,0.42739987440115634,-2029.2425135637159,-652.1227228635042,-4957.730945860094
Austria,0.2300416560861261,0.0963870934812442,0.4077114958720598,-461.00261987974693,-154.13014047440228,-1374.8980197065957
Azerbaijan,0.23220408406047144,0.09470442174209108,0.4298977240727418,-6871.070870082676,-2406.1075287021804,-16216.81628228672
Bahamas,0.24053290717234815,0.10401344103062612,0.43786251466127096,-248.0960471246559,-89.37408174223769,-658.3864252773175
Bahrain,0.2360217785929373,0,0.4151059962589347,-698.2086859718383,0,-1854.2610920831344
Bangladesh,0,0,0.11647947808928442,0,0,-67271.7880148546
Barbados,0.23695116461265125,0.10210107627888827,0.44747738637378565,-161.67537006047613,-53.56668392734057,-406.8782845714152
Belarus,0.23426445968736154,0.09647605108222526,0.40944672257518583,-2849.17021511563,-1058.1093177176442,-6854.2996179160145
Belgium,0.23363380806064998,0.09014892824309115,0.41817488482516013,-722.2029763573853,-297.34548251244405,-1993.614101223268
Belize,0.2761301459889921,0.10069401955351821,0.4733897700871136,-434.0650921269875,-116.03772976262239,-956.7093394244955
Benin,0,0,0.2846441834864089,0,0,-24453.009205905317
Bhutan,0.18373528500859476,0,0.42205992328946046,-649.2536719287446,0,-2007.2693904290495
Bolivia,0.23752147258106981,0,0.42279920793681786,-5487.406009191915,0,-12558.310686914432
Bosnia & Herzegovina,0.2793195122758027,0.10943835513795354,0.4847259592797693,-1172.159914750858,-384.20738989936734,-2800.529228462676
Botswana,0.2896166803911405,0.01235463309088868,0.5029736343447938,-1801.0400521930057,-35.717134627158515,-4674.697353844079
Brazil,0.3704300822553508,0.21878624116952458,0.5367777819327635,-214654.2178907639,-107675.94112605484,-409298.05946025305
Brunei,0.10895789017939711,0,0.4095040682802948,-30.44860231382981,0,-174.62700249627494
Bulgaria,0.29750734954652513,0.1184094260233767,0.48630680019641387,-2888.647844416866,-891.7507776555409,-6702.773015035267
Burkina Faso,0,0,0.08733210950554822,0,0,-11273.412557687714
Burundi,0,0,0,0,0,0
Cambodia,0.020266074663970037,0,0.2611628159870645,-1112.673013537289,0,-18029.266923815914
Cameroon,0,0,0.2069430824102299,0,0,-23716.502229293284
Canada,0.23086234107040032,0.09447371232416941,0.43004943201734397,-4149.868743692911,-918.6878455900943,-10777.040901563545
Cape Verde,0.24212408863255191,0,0.44984391010398017,-413.945395911652,0,-999.6572810714225
Central African Republic,0,0,0,0,0,0
Chad,0,0,0,0,0,0
