Country,change_median,change_low,change_high,DALYs_prevented_median,DALYs_prevented_low,DALYs_prevented_high
Afghanistan,0.09639236651992315,0,0.25513266810997715,-6734.978767179498,0,-23116.969447201445
Albania,0.11256080993231504,0.018624495318514435,0.2490480059000195,-344.56102216624527,-53.720009768626106,-990.2010280072855
Algeria,0.2276645804855038,0.10118002601592854,0.3899264621585282,-24434.92871930862,-9404.119888449262,-53113.35664883992
Andorra,0.1549956142937407,0.05614742132747747,0.31565971512313107,-3.0911718541087847,-0.7596299732282211,-9.313737839005507
Angola,0.23254722833172886,0.07482110111067933,0.3928914873916503,-23464.945524444156,-6587.7677907341495,-60369.50680813576
Antigua & Barbuda,0.19960304375253118,0.06235506686054387,0.3610026056505316,-44.99674309727442,-11.286858889678351,-110.01105523682463
Argentina,0.13493554858208964,0,0.291943819414362,-5426.665115692809,0,-18122.333120006995
Armenia,0.17298137879578668,0.03339568507345042,0.33089079161783674,-730.6772151492241,-130.8329120906565,-1853.3455622775282
Australia,0.1826152407174543,0.06922226734256483,0.34759831139682584,-1631.3843093143723,-496.1566554441001,-4446.119045894048
Austria,0.15400373110152954,0.05663460694964251,0.313449533431179,-312.2287787761471,-88.08168752272037,-933.8942737394613
Azerbaijan,0.1753931531127178,0.03922784849189764,0.31098069142635465,-5552.159053146359,-927.2451737463359,-11271.572265871744
Bahamas,0.2500747210199056,0.09870392177118979,0.4128560771402813,-258.5980414252364,-70.47891017129804,-590.6295262539037
Bahrain,0.21035920682260828,0.06598758471149378,0.36406531318358065,-665.2460549345994,-143.25293706718463,-1620.1689552911066
Bangladesh,0.10447502525381255,0,0.24446438456850575,-47300.19643489586,0,-151587.17285201617
Barbados,0.2123847484335698,0.07201069858227556,0.37458639720268117,-143.5691057080519,-40.01337627977149,-337.69882990412873
Belarus,0.08247201132226105,0.015298042793868769,0.20835617446681995,-1030.0618964677851,-156.23568983769792,-3289.6474475518253
Belgium,0.1465583262069401,0.05032177119812437,0.3032506993430625,-476.46279911299985,-134.5525939505007,-1237.3455353729935
Belize,0.180325475808423,0.0779824257948861,0.2984679291943121,-272.2543040769435,-84.38427787438195,-579.9626780709756
Benin,0.22870383905782538,0.016319958391355756,0.4135084545554965,-15465.271573561433,-863.5888575258768,-34594.52715464739
Bhutan,0.25903874189251175,0.10680182203907555,0.4178939762482366,-882.4329661931188,-294.3964481047609,-1978.312357888098
Bolivia,0.2292749377042248,0.010344650833762832,0.3955710662279767,-5377.563555732779,-228.74446605940446,-11861.934703319852
