Country,change_median,change_low,change_high,DALYs_prevented_median,DALYs_prevented_low,DALYs_prevented_high
Afghanistan,0.1328014510478862,0,0.2782244845384886,-8711.351563156455,0,-21896.80945694805
Albania,0.15559705599040308,0.056377720471038964,0.27528214426530323,-485.01722532998565,-133.23606843642392,-1008.7328123656158
Algeria,0.24505375949279587,0.11850110298477916,0.41857944090679483,-25102.98082284933,-10395.857990475533,-56247.027230391825
Andorra,0.1735375836283118,0.05121664047051344,0.3331332181912916,-3.519214724319861,-1.0067516797606628,-9.085996248418667
Angola,0.2714146286772283,0.11528901632099184,0.44894915871731367,-28206.489874740582,-9877.311343871601,-57404.66911472358
Antigua & Barbuda,0.23045469479519698,0.08198415750924246,0.38897410990956555,-50.57769315314013,-11.886595627394351,-106.84318212175361
Argentina,0.17787572357695364,0.06171303644951562,0.3236769493442216,-7042.362976097389,-753.3284055482983,-19162.6614538277
Armenia,0.22449562024352815,0.09727794324302294,0.34458082019625497,-921.6328942252558,-320.62648333546633,-1828.0234413061398
Australia,0.20091786938485579,0.066254519996322,0.3768165345897473,-1736.764953853742,-481.5357271224081,-4358.917908545266
Austria,0.17385383198293203,0.05468205870790161,0.3616716910008195,-349.37368857474326,-88.70589182434128,-1039.58821670815
Azerbaijan,0.2079322225357324,0.10393226719971893,0.3509845567078531,-6262.193892785257,-2758.8558977928024,-13210.523579353643
Bahamas,0.27427830444566126,0.12620300007649,0.4414558822401086,-281.18067768859464,-100.64690935684608,-564.0061787671744
Bahrain,0.23193153195060084,0.10278722901008422,0.37479392514008386,-708.9140690716265,-240.5490434808032,-1668.7390626681363
Bangladesh,0.15921195115136855,0.06290199555373842,0.24914970433754202,-78749.49712760112,-24584.173473674324,-150642.06701493158
Barbados,0.24643924368111902,0.10245370416466326,0.3881066891721427,-162.41745917829752,-48.20550553952486,-326.23136696601864
Belarus,0.0966765379247052,0.012346821693670254,0.2777865177166291,-1131.3217711570423,-116.3208047204709,-4315.918893817843
Belgium,0.1665770143571148,0.05636832462002725,0.34240706937770504,-511.73040429758885,-129.12478428772863,-1396.4232423949734
Belize,0.1943389780722718,0.08037092340039571,0.32166415816160265,-295.84165511715764,-109.24974000814542,-577.3910252756903
Benin,0.27099618974735884,0.13403773225560955,0.4444145889427815,-17601.200155900624,-6429.771761983921,-36976.71852071196
Bhutan,0.2721936182525654,0.13176713780373053,0.4410091113065851,-915.8677176965211,-361.09359182322515,-1859.4811303532654
