Country,change_median,change_low,change_high,DALYs_prevented_median,DALYs_prevented_low,DALYs_prevented_high
Afghanistan,0.1078420881816548,0,0.2804448233131947,-7364.145142971025,0,-22005.704095930323
Albania,0.11984224356889625,0.023787484306906026,0.2805265651335937,-408.55349181315887,-78.44415055338806,-1077.7311832581133
Algeria,0.23256957792503835,0.11377694664291613,0.4013836494498598,-25613.77669802466,-9142.229441095782,-55478.76380298482
Andorra,0.16091965194166546,0.055617923124446716,0.32685733710222586,-3.46670420796268,-0.9905753787806456,-10.215619179711188
Angola,0.2420776545211195,0.014649771311846133,0.4176229343183817,-25964.054413058286,-1395.0384844484192,-58176.46493394277
Antigua & Barbuda,0.19946838693851648,0.07274866634424808,0.37116251338802403,-44.50596659053855,-9.751302442846542,-108.3640185617344
Argentina,0.14687663481650712,0,0.3153978055036359,-6043.564424507431,0,-20398.2151190054
Armenia,0.18149437890866063,0.03644241784870425,0.3552357680245696,-794.8764924984107,-140.20016155919467,-1901.8259818176734
Australia,0.19440670832982077,0.07225779089122546,0.37565176207465906,-1680.440476508263,-507.2496094402717,-4442.2119783298185
Austria,0.16045843313950578,0.057676914416387906,0.3282223949136043,-324.66270113057124,-82.31071459292068,-1078.9089679748474
Azerbaijan,0.1830974940493722,0.032362716429278626,0.3410844400199028,-5964.661055961811,-826.3998486576983,-12995.090426903216
Bahamas,0.2513386541820243,0.09649102257913417,0.42790493274253705,-262.76557364057874,-76.88367180263688,-616.08638507765
Bahrain,0.21616394475498635,0.07290009164804438,0.37995032599231565,-691.4387469359306,-174.31240256544635,-1524.1237651588126
Bangladesh,0.11098938791419424,4.736938845729765e-4,0.2428969716760513,-56847.44573806331,-131.34063881309146,-161841.51630047173
Barbados,0.22004232102255894,0.07800512579502761,0.3969818482093185,-146.16513095583682,-37.9830213421131,-340.3193142877477
Belarus,0.08624296498114167,0.01533213510846349,0.2407691227805052,-1118.9877262721275,-150.20631957430422,-3372.274852839094
Belgium,0.15307128076326043,0.055344754833947456,0.31692830939670175,-485.66813591705545,-153.18465771237865,-1345.1891027611123
Belize,0.18341164306533944,0.08124916640020745,0.3230134154087949,-278.3053030127778,-96.35347766618095,-607.841369821162
Benin,0.2448313912037002,0.003910507047058072,0.4276916416512883,-16182.941531530734,-217.2438808945106,-37540.78307437
Bhutan,0.25572251708258836,0.11492417731309794,0.45055587719339185,-877.1869680140874,-288.60607723903274,-2056.8369357414485
Bolivia,0.23595430234682563,0.07631054527464158,0.4182579981840997,-5581.908673630337,-1238.4445970176164,-12686.154617756583
Bosnia & Herzegovina,0.16526005322623005,0.03550322972085265,0.3585740010009766,-733.8559344273917,-113.70468525038484,-1957.8314139413167
Botswana,0.18209025483544833,0.05926827994845052,0.3383789079960411,-1146.1766548212613,-314.02329654216226,-2830.3715283536812
Brazil,0.2262927836929033,0.11059747055482021,0.39079881091816193,-133709.05030853173,-57261.79666051854,-293308.81506446615
Brunei,0.21546305070876895,0.0810060905319058,0.38852089668938344,-58.054489265247256,-15.51351596599746,-148.46963306965606
Bulgaria,0.19900093303771274,0.05331229650228019,0.343056059838623,-2018.9718015792891,-406.12334742359093,-4487.152977174532
Burkina Faso,0.07194433769723271,0,0.20914966906374569,-6846.105099984707,0,-25751.824108069774
Burundi,0,0,0.0012710110161713748,0,0,-42.04732728146422
Cambodia,0.032037008781353196,0,0.1450339989596509,-1670.2558739384513,0,-9115.200175415908
Cameroon,0.1539205944340396,0.006200693730800865,0.29263225704489704,-15053.177044932963,-420.21688979381946,-36195.43107631079
Canada,0.13732611564377997,0.03267659219024679,0.28533924065398775,-2019.6077537186557,-385.7139042897569,-8298.755161248624
Cape Verde,0.256355771389687,0.1092130596409742,0.44059677558402705,-430.6687064108131,-146.1516368792229,-1002.9515953822348
Central African Republic,0,0,0.12155019934294728,0,0,-2638.766336828459
Chad,0.022565628332009348,0,0.1397769229284291,-1852.4831990246093,0,-14004.180732704206
Chile,0.05857433890175291,0,0.18186698176556937,-349.76485038170404,0,-1496.6161702652478
China,0.2713697137193313,0.1035619750035002,0.45656767112492075,-357647.5351699995,-110981.28376079132,-653801.6308370879
Colombia,0.00613826211372011,0,0.2561706955412715,-242.7431307660554,0,-11936.351887623237
Comoros,0.1661853095520528,0,0.37632481577575916,-323.22501562124387,0,-1049.8997280146477
