Country,change_median,change_low,change_high,DALYs_prevented_median,DALYs_prevented_low,DALYs_prevented_high
Afghanistan,0.12922845001531735,0,0.2730206193677078,-8779.76686454557,0,-21506.5416291496
Albania,0.14911848837535324,0.0568269879581094,0.2744623311670788,-483.6425249983065,-159.14522254526213,-1071.535274900409
Algeria,0.24132375054645078,0.10930788083605465,0.40429760762594136,-25658.471148657067,-8973.035412874013,-55202.47767686865
Andorra,0.16304580177988903,0.054594263277162554,0.31634583947308836,-3.5416751679430547,-1.0817300274856794,-9.339055201523882
Angola,0.26513390776661994,0.12718853818993212,0.44055247791441515,-28537.36186736087,-11443.240325297264,-60682.04123436619
Antigua & Barbuda,0.2264983468645707,0.08829394834077023,0.37455439481274605,-51.52715602996355,-13.650769409953758,-105.04698186797937
Argentina,0.17825912265904775,0.06381654113146272,0.3094698204403879,-7193.943368330301,-1017.5926913461028,-19538.620050937625
Armenia,0.21219810544358797,0.09859309391005706,0.3406871685680082,-898.9557539484574,-325.466232392656,-1724.6448392332193
Australia,0.19553993279409804,0.0679109790828533,0.3658156029671653,-1645.787485886222,-496.4453696716344,-4335.440975863699
Austria,0.17459942373793128,0.05835321719547983,0.3114373269834019,-332.38468502371586,-83.33519383180187,-1040.9292109270182
Azerbaijan,0.20294048424971664,0.09813075519706033,0.3292478480964871,-6190.257284706957,-2675.5006525897006,-11870.221166123858
Bahamas,0.2672003653540478,0.11134419740514016,0.4382992272836663,-288.77234286366615,-77.60226016906348,-556.0143271584385
Bahrain,0.23010116696024469,0.09957373049676574,0.38620522469049157,-745.362427153108,-201.73634083627522,-1545.8448057731025
Bangladesh,0.15164911320227004,0.0632821373438039,0.25683673684544167,-75604.82350361286,-25222.386375541675,-151033.69766113337
Barbados,0.240921217873191,0.09804164521768584,0.3961718680912511,-166.9375538060475,-48.83003955342598,-312.08634650247035
Belarus,0.09204012629388099,0.018603905765664765,0.2694792849625443,-1118.5887616043774,-139.24111338237464,-4448.269693772036
Belgium,0.16470350247924104,0.04968783481224417,0.3153412967846417,-495.8008412584077,-139.08961461910786,-1406.4925300394034
Belize,0.1797434444613963,0.08737257785496513,0.31043756068746686,-287.2775045913364,-101.28012435827998,-555.8550774608461
Benin,0.2620016787301094,0.11699895491734102,0.4171809966524678,-18006.48889902461,-7177.771647429468,-33686.1722270346
Bhutan,0.2650301567201121,0.1291290661020249,0.4265372288655362,-917.8672246274189,-328.3098276022027,-1912.7173049565415
Bolivia,0.2694896972926415,0.13223968915524117,0.42172547526706616,-6194.7346009677885,-2637.762942916382,-12209.360995504187
Bosnia & Herzegovina,0.2065553054261443,0.08088299111421797,0.35894786621025043,-947.7275174378872,-261.64298010966115,-1795.5993913911161
Botswana,0.197200342028402,0.09429467086819114,0.354192232617351,-1245.2212134734648,-520.1045122356561,-2529.083050551991
Brazil,0.23292071888923505,0.10356666652036245,0.3892975907425598,-132941.55164224698,-56535.29021893348,-264520.6346788158
Brunei,0.22172046089570283,0.07857341576605183,0.3882970234630614,-61.986230411781264,-17.061964723594667,-157.95437054877945
Bulgaria,0.21264594235475032,0.10573932191926522,0.3435827986980628,-2028.0609657228806,-811.3387132545367,-4074.342157172493
Burkina Faso,0.1264018957668051,0.0352613641706096,0.23010619689379935,-12435.068378566946,-2802.264188072274,-27678.23431933001
Burundi,0,0,0.1930680195059103,0,0,-6551.253631516234
Cambodia,0.07493731041938555,0.005427533154611964,0.169974287563222,-4136.304739103754,-272.4700990703698,-9554.37338677087
Cameroon,0.18583936822299219,0.08974823547655661,0.28403481001481545,-17872.64353782926,-7257.573826403972,-33931.67402663841
Canada,0.14533988158789063,0.036586843066207984,0.31588260013558495,-2206.620956383852,-375.65320720966207,-7855.321124634793
Cape Verde,0.2704881864346237,0.13161753026813375,0.43647224572756904,-452.5598414672311,-163.05418286207774,-950.6716849376988
Central African Republic,0.08196109813392954,0,0.20259875013209877,-1407.5042896679306,0,-4285.991485223168
Chad,0.07869008705828223,0.012557385925368213,0.15043503021009025,-6391.933684967793,-632.452809113652,-15177.429603602766
Chile,0.06030999497269118,0,0.19240705611669384,-346.42452788855667,0,-1362.3959970178587
China,0.29920572655475136,0.14440998643768652,0.46525955277333797,-381283.35542328336,-171919.83992219903,-634493.3471932282
