Country,change_median,change_low,change_high,DALYs_prevented_median,DALYs_prevented_low,DALYs_prevented_high
Afghanistan,0.11646139684420867,0,0.29260285521413393,-8014.333189809593,0,-25251.885560113915
Albania,0.14089132370101148,0.023315299531002327,0.3147881271159558,-467.62898828139964,-69.72588281338088,-1273.3212468905358
Algeria,0.26143247761499,0.12739804082301487,0.4526958495931508,-28611.771089503265,-11271.208015164098,-64247.4861550883
Andorra,0.16627449957809054,0.06375725195333613,0.3384861565075967,-3.4729099725664323,-0.9383678829298063,-10.470459422373608
Angola,0.2601220265218882,0.0860412595382495,0.45635542076873,-28079.638707248363,-8212.422662627747,-65026.22661467663
Antigua & Barbuda,0.22186395105356446,0.07510563487364111,0.41358340076587885,-49.92595113011316,-15.194671380410027,-123.43985174943764
Argentina,0.1676491690661799,0.022514076718868965,0.3492871611335904,-6602.25566019816,-735.0316427359055,-21172.1637288843
Armenia,0.199563827461211,0.032936598481512626,0.39082905468145257,-885.2505777881972,-111.56713676650021,-2211.672006472146
Australia,0.1915924631899425,0.07591487934046602,0.3811534314162495,-1714.9024712272658,-468.8479482140211,-4356.840143946461
Austria,0.16918758440890197,0.06252239348122242,0.3518997767847991,-355.77042933180223,-85.48719458926612,-1157.9150669153923
Azerbaijan,0.1985794558928764,0.03294171813699568,0.37051907116607624,-6427.375576258288,-789.4174309810372,-14420.013658161328
Bahamas,0.27711278905388803,0.1030589285956084,0.46883615790059174,-292.4998872061627,-67.91755066437722,-683.6974092248296
Bahrain,0.23773008758249592,0.0795882568184496,0.42641681633355155,-746.8216520367258,-197.3235465705828,-1676.2606894488774
Bangladesh,0.1254213331003367,0.0020350609987487447,0.29010568480976373,-64044.51288318416,-850.8196833039543,-177458.56162139893
Barbados,0.24150671342677454,0.08747302105087175,0.43845653930691353,-165.72032136656895,-47.77744328670475,-370.4862063880518
Belarus,0.0909475676203548,0.01591565296848847,0.2284203704766756,-1173.177233999323,-205.60759251056456,-3448.0866480731197
Belgium,0.16175687212384893,0.05454779282323191,0.34044722453701226,-501.62066675134247,-139.23870059791219,-1368.8777248685326
Belize,0.2208430376168642,0.10277336910667194,0.35741186787333307,-322.75190318076164,-145.9188352423424,-685.2911080316488
Benin,0.26200741633688585,0.010911454256723678,0.4602170717224467,-17317.410891544336,-650.4107253387566,-39824.97887140386
Bhutan,0.292528932461949,0.14331303659196765,0.47970553811431177,-1016.3413954286752,-354.29566214176305,-2124.4100821886964
Bolivia,0.2662640322432984,0.08695674228539736,0.4676312909132288,-6309.027025026073,-1697.4566582207956,-13021.637216593985
Bosnia & Herzegovina,0.18292989595612333,0.033785609128716865,0.3840701387972588,-807.0900970217494,-94.72274887957582,-2075.0783399164934
Botswana,0.22046436344416143,0.08202086279592087,0.38821538476999423,-1433.2576827991643,-439.58519782552406,-3289.538755086434
Brazil,0.25371515781127557,0.13550206986869023,0.4367086106701074,-149072.0493935098,-64725.23590225484,-306233.1096457511
Brunei,0.2184026545116426,0.07846408561499629,0.4101047116462445,-60.05488094944279,-16.94877056223023,-186.3848245215434
Bulgaria,0.22040853830472512,0.054604743328816825,0.3921359076415095,-2108.527425423541,-386.0520122021501,-4930.787831224561
Burkina Faso,0.0779907638492463,0,0.25029012346520413,-7143.208017091532,0,-30406.06769815022
Burundi,0,0,0,0,0,0
Cambodia,0.07878551213779836,0,0.1997969568757158,-4215.614939702446,0,-13358.575514472956
Cameroon,0.16602304462367123,0.003374141935454999,0.34452765217772974,-16200.728986439084,-240.86910980307485,-40472.04651246025
Canada,0.141765834462131,0.04911369033998474,0.31176430206915057,-2036.6577639182742,-484.26756960666603,-8748.078531675555
Cape Verde,0.27543283270128704,0.11714177155225801,0.4846219809103611,-506.9206260190744,-146.26752091172852,-1096.36859313084
Central African Republic,0.001609557215288645,0,0.13383084277257234,-23.53548221771598,0,-3006.596455347701
Chad,0.024331523053500278,0,0.16519088721103561,-2009.3314352156594,0,-16873.550501457143
Chile,0.06357214191029409,0,0.2047989910032842,-359.08084929082156,0,-1534.6649789049911
China,0.2973189551646379,0.137621777436914,0.5131371859096326,-383321.78190455865,-159413.00439829563,-772048.2633346413
Colombia,0.0042613793819890064,0,0.27639226422556123,-152.29923320996022,0,-12007.926614032747
Comoros,0.19319398699780094,0,0.4147279690819951,-386.08163663246785,0,-1034.564516442734
Congo - Brazzaville,0.1945985271512815,0.05802125785341092,0.3533032876922294,-4591.2443472566365,-1116.5161463107206,-9744.821092874134
Congo - Kinshasa,0.011581693479971207,0,0.432271065525436,-3116.038715715491,0,-153152.6212269383
Costa Rica,0.18542971220692234,0,0.37004333903631753,-655.5981664864828,0,-2052.651496586706
Croatia,0.17098839102259084,0.05879122022494375,0.37163351434891706,-709.4505113944356,-225.3735113725843,-1901.8333628026912
Cuba,0.26752809824676616,0.12790198044033346,0.4598017763692481,-5592.954745589298,-1962.6024383478195,-12428.967630352483
Cyprus,0.15631249476514286,0.06180809697321786,0.33324106279672117,-63.20140456986934,-18.894759096719643,-190.1558096767285
Czechia,0.1808833729112315,0.05780773478686302,0.36170164613966477,-1830.3622005022462,-583.0006983342574,-5545.220247636901
Côte d’Ivoire,0.2743035664081571,0.12416199542823042,0.4399504801253908,-31484.60389601122,-11508.778204975166,-61787.834868838545
Denmark,0.16327393288491512,0.055170746444334305,0.3322549691243804,-222.04279967483092,-57.73719913784826,-618.6165358816365
Djibouti,0.11887198940226279,0.0039762612884014555,0.24565480947399945,-370.24054594810787,-8.473430478063722,-887.0521742319056
Dominica,0.26214046118519135,0.11903469582720345,0.4532942475740578,-48.575758902779626,-17.64081029815908,-101.22286551001648
Dominican Republic,0.17561199683379886,0.087046200147929,0.2707611759702685,-5378.797502987249,-1986.3082831778352,-11073.102235801965
Ecuador,0.005379635058755729,0,0.39388796095751993,-68.08000926927252,0,-6635.267015442993
Egypt,0.1316889329149996,0.011325305421951317,0.3076768555825884,-20742.904779638076,-1123.6676340609633,-54242.65013668805
El Salvador,0.2039670937352412,0,0.40726199061064816,-758.4062439840177,0,-1912.9361709804912
Equatorial Guinea,0.24450197493450243,0.09397808033841648,0.40921575756834216,-1309.6157175031008,-345.1767990471169,-2695.8607750506594
Estonia,0.25269962677579727,0.07789371744008872,0.44271998527622053,-366.76754664006336,-94.41280204637101,-874.1752295827464
