Country,change_median,change_low,change_high,DALYs_prevented_median,DALYs_prevented_low,DALYs_prevented_high
Afghanistan,0.21124159464516643,0.1199076614755053,0.3537272381342234,-14684.633125122575,-6544.005608600187,-30788.961140885014
Albania,0.19918604735265677,0.10067660687305263,0.3403888513498087,-640.3365960179153,-263.2763755820312,-1228.0299896523427
Algeria,0.2692168585372674,0.1387897529386444,0.4187640535021958,-29246.08826668984,-11539.84964132585,-65268.233864968985
Andorra,0.2699541341011317,0.15500636763906933,0.4082568959399528,-6.042748305934486,-1.7457931448212567,-13.336347291477034
Angola,0.30054241125001957,0.17127637108034843,0.475313122832114,-31272.13425368673,-13923.109902446738,-65453.35518337114
Antigua & Barbuda,0.2618608077915511,0.1471410438832855,0.40863955384786405,-59.337286938890315,-23.952844126290476,-114.69487050517819
Argentina,0.2123333568243727,0.11504073236512924,0.3501387766966867,-7871.665109617426,-1952.3476462766066,-23283.689868911046
Armenia,0.23244333232335254,0.13063115815377546,0.377499114999459,-1000.4470274629075,-431.3375163138643,-1932.4800754737932
Australia,0.30086362777143105,0.17531543704758873,0.45833883389130653,-2647.030950633702,-1068.2694868978788,-5927.439310912876
Austria,0.2723792036758217,0.15076717544010404,0.42117666949133487,-570.9714451411736,-207.33066945315272,-1455.6946246857651
Azerbaijan,0.21448227815592036,0.11800573599319573,0.32657482171819946,-6481.257127168781,-2634.4891148229344,-13455.165289228857
Bahamas,0.3029451678942004,0.1834205408496526,0.4572341147687596,-324.51283977059455,-143.72290162885227,-626.0376485069695
Bahrain,0.2655036272589436,0.14619040192154353,0.40901495425485573,-805.4001596108725,-346.99873572955073,-1814.8541512521433
Bangladesh,0.181974564934286,0.10290216947963796,0.30245534472216656,-87737.7758519676,-39669.54422302829,-191528.12018761004
Barbados,0.2790502733700082,0.15953826597445592,0.42301458079284643,-187.45209107148838,-84.60990923516414,-376.54652867857595
Belarus,0.22622352383581157,0.12740292439132167,0.36554699635768806,-2901.452250096263,-1114.2512123631438,-5922.981885159052
Belgium,0.2621221779821216,0.15452303909612455,0.406582040270527,-813.7828469351878,-349.33721848005314,-1847.329608466145
Belize,0.2175733579952152,0.12443411068780896,0.3340753443994823,-328.348371424608,-139.5259654228082,-674.2754638516366
Benin,0.3024871519194745,0.16249208498986864,0.45027416659725894,-21029.45175498431,-8773.679393126295,-40100.81984062178
Bhutan,0.2968146312576331,0.17595666374377864,0.45520882318460854,-1021.2820315368283,-414.13819159705133,-2194.8620610954445
Bolivia,0.30156772790745134,0.16803180571645235,0.458029282384611,-6949.429296498408,-3315.568344617364,-13138.1166799357
Bosnia & Herzegovina,0.22967330403680752,0.13476254520345418,0.37260899850746276,-988.8188885046184,-448.90537280938634,-2223.5001298726975
Botswana,0.22319754811728215,0.1228720120596136,0.35846304710500865,-1390.7474329036393,-654.5629959613177,-2962.992433753615
Brazil,0.24939864161076072,0.1482399808214279,0.3930292126371751,-144333.65357022107,-72814.8771588658,-291829.38362207887
Brunei,0.3126708883466336,0.17508773336820008,0.4747478645622403,-87.75706462468214,-31.746357164392737,-200.85543558489726
Bulgaria,0.23297866302941656,0.12632282075420642,0.36349778957543727,-2160.026183359355,-1002.6503229309958,-4384.779641149103
Burkina Faso,0.1759597106536695,0.103862002170862,0.27048069382696754,-16471.29083872171,-7602.933648988516,-31677.02054632796
Burundi,0.2833958735618779,0.1781486743612416,0.40819721234131956,-8257.305053267082,-3859.0127041667106,-16752.029050693447
Cambodia,0.11276123318336659,0.05469316789147264,0.2030407453963415,-6125.60820292302,-2643.968971145238,-13964.988058010676
Cameroon,0.21435414051434457,0.13104824241000704,0.3311785604734592,-20648.228940257155,-8935.410448586044,-41319.57064329303
Canada,0.2383939602463662,0.1361626835721201,0.38466381261914523,-3976.73458111723,-895.084027868308,-10242.611247685678
Cape Verde,0.30096115007440416,0.16427117792437948,0.4573579101827518,-520.0947612458492,-214.88147514628096,-1022.0213009929704
Central African Republic,0.15743563824528162,0.09114912689930364,0.2580356546126272,-2723.1487058613493,-1200.629155523503,-5536.119404185854
Chad,0.10835846639424937,0.06004788209355916,0.18868922220364448,-8818.486801585292,-3753.1460061130765,-19190.279948230862
Chile,0.18540683212903128,0.092126309891291,0.3117460970628124,-1132.6679952991444,-365.9556120726031,-2754.0968798293593
China,0.32042048406670554,0.17897148808021193,0.48363638150615,-418946.4176604061,-219084.5129570755,-723493.0996881935
Colombia,0.22824522205073627,0.12785202272536964,0.36019442704313365,-8130.73752287517,-3424.0844287954737,-18300.954679889128
Comoros,0.2923400396229869,0.16779207725566517,0.45489353212935,-550.4189519331313,-220.9819847058986,-1152.9195592694086
Congo - Brazzaville,0.2211214736946171,0.11832184335063384,0.35477990416296473,-5042.304868956849,-2299.085207371619,-10302.350859881675
Congo - Kinshasa,0.2853879812218801,0.15431056927626738,0.45249625486251605,-82338.53525298627,-38662.6995679572,-173701.51010417793
Costa Rica,0.240479356758107,0.13667042255798884,0.36560734133390504,-827.9048918611668,-222.56249017841273,-1976.0345361223758
Croatia,0.26571144380901807,0.15422753821577107,0.4154195046393442,-1106.4908377077425,-502.438103360346,-2329.795751581535
Cuba,0.2757511661128681,0.15057559206535978,0.4246305031163679,-5961.675650735464,-2417.885407291054,-11752.840353563368
Cyprus,0.263722809693003,0.1472636402398617,0.42067638024396764,-103.61154245842192,-34.67974601405601,-248.57213864501364
Czechia,0.26686752106683087,0.15387612154917635,0.41262059619544966,-2898.0054719098753,-1154.5481122334993,-6004.082745949681
Côte d’Ivoire,0.27329762871711116,0.15910119870388376,0.41114433614846513,-31864.19223136115,-15646.894884708945,-58578.487410910195
Denmark,0.2706044378208132,0.16764630665295507,0.4169888767031946,-388.20932127450016,-119.29909210274116,-851.9767171331431
Djibouti,0.12634270917585594,0.06105636888434923,0.24624104526561677,-359.3186942856162,-147.65597003467172,-901.8419679760641
Dominica,0.2698381747613116,0.1506252654685159,0.4232059585792548,-47.912444046160104,-21.020118163475615,-98.71054119006742
Dominican Republic,0.1704360032925562,0.10126729591643917,0.26202636965965775,-5231.742325728843,-2269.0065935207563,-10426.813913233898
Ecuador,0.27610149235863546,0.16155042617206428,0.44227466839239693,-3425.6688584334106,-1495.6195697369865,-7285.271581468173
Egypt,0.18160598632060937,0.0943012103363759,0.31403060435265845,-25628.902747965192,-10205.716045230758,-53565.88290061122
El Salvador,0.3079394193038342,0.16645848058372156,0.4599819458380768,-1085.8825876148212,-471.6679296694997,-2293.9441725742236
Equatorial Guinea,0.24855058998271465,0.14863311630040713,0.39101191120023737,-1304.9603686591422,-590.5578750977222,-2617.37389660964
Estonia,0.28613825969712725,0.16420303793555185,0.43451984269130584,-403.7102635099257,-174.0934089287918,-833.0750144209813
Eswatini,0.2658017976081181,0.15746567194611402,0.3970484876910326,-751.3109089657066,-352.6617856582363,-1534.9712400613075
Ethiopia,0.13863565545190198,0.08192018141382147,0.23072261532381128,-27721.685922301927,-13239.26497779035,-52501.267657911616
Fiji,0.23126016806421068,0.1215453507545961,0.36950110086144516,-570.8544625128507,-252.66552763229882,-1169.9633159204093
Finland,0.2655395188904034,0.15850345364169124,0.4087137491107948,-354.505234884175,-133.1643724049229,-751.306673156198
France,0.2709865546660542,0.160491993458117,0.41833101245787147,-5354.6736833273335,-2338.0634975793355,-10542.06790016371
Gabon,0.27202680666529,0.14858140772895068,0.4222771426975382,-2903.0926366977237,-1363.5956524839592,-5779.471072796146
Gambia,0.3020526401326955,0.17585145319262377,0.4682850818161375,-3992.201702149133,-1775.267978065324,-7692.068367066843
Georgia,0.21680621185896737,0.1116404722727874,0.3438705721062305,-1365.8830750230427,-579.1661850111204,-3062.9360545487257
Germany,0.2686484090053407,0.1539234247234195,0.4191124941185997,-8835.92978231357,-2528.101003225488,-23243.557669140584
Ghana,0.2376630318221555,0.14291917592020778,0.3645184920738776,-41670.2151546415,-19070.457333995375,-81925.57581391721
Greece,0.26521189310193216,0.15934543632762802,0.4159761448391837,-804.5470758994948,-247.85544490107702,-1813.2887471486877
Grenada,0.3145364181835213,0.17297628106412694,0.479373763603265,-89.12418793140496,-39.46918886831974,-189.2508181248438
Guatemala,0.13694510139244315,0.06622840386448829,0.23560805948614078,-8230.901827397396,-3235.7087708964905,-15508.846553066804
Guinea,0.22056167458923337,0.12711750704293956,0.3414217583707579,-11250.478583589811,-5114.963304098909,-20885.539049473933
Guinea-Bissau,0.23667293104329307,0.13854281284174097,0.34761037656622135,-2483.3036967874104,-1026.609975659011,-4808.025716073969
Guyana,0.18399019273476402,0.09982973916322904,0.2778113035161722,-449.4816644464365,-208.87684607966162,-836.6474725188093
Haiti,0.2698431613630823,0.1591680839221422,0.4189290811445089,-18082.224769585686,-8666.665184922791,-36232.43567337513
Honduras,0.16637185780640873,0.0951241844779469,0.2702268832791977,-1941.2175313898556,-875.6273958686475,-3839.3118739828096
