Country,change_median,change_low,change_high,DALYs_prevented_median,DALYs_prevented_low,DALYs_prevented_high
Afghanistan,0,0,0.2557354324184362,0,0,-19765.280929307068
Albania,0.08557508364207853,0.018245968569941314,0.28231466484179046,-287.56901851989915,-63.34837660415499,-1148.7658812600382
Algeria,0.22960184024392488,0.07203713274558288,0.4045572567958797,-25594.366397554368,-5304.3428522949625,-56271.49522740829
Andorra,0.15275947299509407,0.049856933580105005,0.32597830983422127,-3.347275303946642,-0.8286438909041789,-9.694225416137202
Angola,0,0,0.4082907181759852,0,0,-54346.75114659262
Antigua & Barbuda,0.1459793442279747,0.05037560780054083,0.32075506840444634,-30.884772210013196,-7.378165066418053,-92.65231537176723
Argentina,0.14630440758202576,0,0.3178669046703431,-5827.256602152098,0,-20729.466251778245
Armenia,0.20316029330389268,0.039327561658191214,0.35580096381084314,-864.4444801637055,-136.34923164426448,-1971.0932109259445
Australia,0.18342782934861462,0.0692324383558813,0.3706655505346566,-1625.875712720123,-468.7269184707331,-4451.019855684255
Austria,0.1541042339184963,0.05602345468897274,0.3334960235403064,-316.9305430367961,-86.31423439098432,-973.7379647431703
Azerbaijan,0.08440314780443194,0.01788717361235695,0.2672719588218924,-2581.5787069625494,-438.9317141646717,-10908.150320829927
Bahamas,0.20100960586025196,0.07409702366217324,0.38695375224579387,-211.5032450873867,-63.68884991288121,-581.6086286789339
Bahrain,0.1479294222390533,0,0.3207811813987537,-507.02014588929114,0,-1473.9188831236893
Bangladesh,0,0,0.11061696676210184,0,0,-69060.79580911422
Barbados,0.1748322242361807,0.06338423794972387,0.35609494559490723,-114.82815976063426,-29.513567999691535,-300.14565729033797
Belarus,0.08367561881791413,0.005475245852086929,0.2085321404881858,-1067.2184772374112,-64.79371597838863,-2814.8128717758195
Belgium,0.1463172535112364,0.05262541578888624,0.3137385490237527,-461.0336242495723,-146.51448120143655,-1376.7048660752746
Belize,0.1978980109584807,0.04936301879780873,0.33740926530778165,-303.7822384955932,-59.67066618102752,-645.1355205009932
Benin,0,0,0.31524090907099206,0,0,-27411.18662737219
Bhutan,0.17673710444389196,0,0.3948334504707383,-592.9407067213617,0,-1739.4201047367983
Bolivia,0.20008045936475008,0,0.39498998382010264,-4544.238264435417,0,-11085.871541905623
Bosnia & Herzegovina,0.15848513358729044,0.02840603729466624,0.3492062193585533,-657.0890431339221,-108.12086361275892,-2031.2426782501266
Botswana,0.18401940086285867,0,0.3517007029964723,-1232.1342175524437,0,-2926.4863849223048
Brazil,0.24417143988679385,0.12682221262452334,0.40036391083207723,-144502.44561891703,-60374.069594242435,-274637.28589111974
Brunei,0,0,0.39440863241102525,0,0,-162.3922419764731
Bulgaria,0.20136061087801496,0.04088657463865213,0.3485116107431267,-2121.5454130612134,-298.96945082069806,-4731.7891107541045
Burkina Faso,0,0,0.07418761595118424,0,0,-8842.856727148588
Burundi,0,0,0,0,0,0
Cambodia,0.002883124122085682,0,0.17848193025803116,-151.17510030104677,0,-11913.815493231783
Cameroon,0,0,0.17848416205080037,0,0,-21660.67149709301
Canada,0.12484751861052454,0.03422492766522991,0.2775748046030441,-2034.5433212905864,-381.2850963913955,-7887.1580388117545
Cape Verde,0.20882396024055805,0,0.40303781653765364,-364.9670102645589,0,-914.6627996048053
Central African Republic,0,0,0,0,0,0
Chad,0,0,1.4629419853546788e-5,0,0,-1.7652531277540127
Chile,0.059481466549800785,0,0.17691383792895235,-359.62689025257487,0,-1457.4468171263438
China,0.23516835483042495,0,0.4195577834885187,-300780.76638095884,0,-587102.1929327664
Colombia,0,0,0.2414312492265333,0,0,-10367.529693094219
Comoros,0,0,0.3032825944913444,0,0,-742.6146368212949
Congo - Brazzaville,0.08479163934853419,0,0.25568804136482765,-1960.8825188214232,0,-7130.681744259711
Congo - Kinshasa,0,0,0,0,0,0
Costa Rica,0.15425663798453215,0,0.3327011220674127,-533.6061383092615,0,-1949.8161110045432
Croatia,0.15378952762029813,0.05121513157451645,0.32381799749232376,-640.0689337155513,-162.38636893187547,-1681.7291465630306
Cuba,0.2623862002070446,0.1254673287852397,0.4248785623953498,-5642.140073545957,-1738.537463561679,-11900.386245715015
Cyprus,0.146737500713706,0.05085220472005739,0.30719921095030917,-59.819644839093925,-14.951273410422457,-174.06428316451067
Czechia,0.153250601600527,0.04738936786925569,0.3236629942455073,-1615.2214314423368,-420.0546125094321,-4690.697075213433
Côte d’Ivoire,0.008941923151203339,0,0.3142920261209137,-946.9280204882962,0,-42720.6852234748
Denmark,0.15334924443941633,0.04676248971052869,0.3235706724304819,-223.2139134156763,-55.02913671716486,-585.3966126060599
Djibouti,0,0,0.09520433517655123,0,0,-340.0554719441792
Dominica,0.22406939542991955,0.07603642012323365,0.395024900457481,-41.16266824134436,-11.210922140335072,-95.4809038129004
Dominican Republic,0.16531067012113157,0.044752226490963165,0.2649979851283781,-5081.926543891992,-939.3822291878362,-10605.396283990853
Ecuador,0,0,0.35421475458488066,0,0,-5315.911140723792
Egypt,0.046845114092637516,0,0.1632996906313885,-7133.377031207005,0,-31071.500701112345
El Salvador,0.0043899023747683286,0,0.4004245754298502,-16.255037190922167,0,-1944.642996164548
Equatorial Guinea,0.13012062278291625,0,0.302740010855405,-720.828344120061,0,-2155.0064640559135
Estonia,0.18136881682100114,0.06929889027688757,0.36238050634837554,-255.23630217056092,-71.55919999011114,-725.0731310661367
Eswatini,0.16792440030171935,0,0.35501621816326273,-482.83281257776594,0,-1399.1727628633123
Ethiopia,0,0,0,0,0,0
Fiji,0.14906452962813369,0,0.3098181242713984,-375.26036668163374,0,-1051.429007440714
Finland,0.14404463696752334,0.04829099002986533,0.3114003070513366,-193.53662412563472,-48.29835768404957,-592.3493354115546
France,0.15371042874591795,0.04941664336414718,0.3336108749949079,-2970.519724098889,-901.7928089500131,-7822.57014770744
Gabon,0.229536301105478,0.07523933151803111,0.3996330292726957,-2579.187901390589,-605.4448128776025,-5408.259119499711
Gambia,0,0,0.01899217072920208,0,0,-280.13056446268615
Georgia,0.12513790285952053,0.03324706565801121,0.3247924662316626,-768.2278142500272,-169.95765349069353,-2567.420231090805
Germany,0.1766728081240298,0.053452295206571944,0.3397559040624207,-5458.369744187916,-757.8899055881079,-18691.759473370927
Ghana,0.008433072559081815,0,0.2573895655300137,-1514.05701386898,0,-59589.30694911897
Greece,0.1494752007474705,0.0382322789768586,0.30682250406697964,-469.51583025518835,-108.03974110597795,-1284.5425763580865
Grenada,0.2797979156847914,0.0880268005733167,0.4523751806011191,-81.73258662946776,-19.03062886979361,-178.096243107152
Guatemala,0.11650207347009045,0,0.21896543581671232,-7481.170290629561,0,-16294.563660399357
Guinea,0,0,0.18774543303471464,0,0,-10922.892486590665
Guinea-Bissau,0.0050069446333212775,0,0.1891119733931539,-60.881877352635456,0,-2638.3831064460824
Guyana,0.17825099398012617,0.08248965541232639,0.29528326276752925,-440.9618417908139,-164.3730485472377,-860.9371721030913
Haiti,0,0,0.3088115439957678,0,0,-25373.824024951704
Honduras,0.016177918988943333,0,0.06389812819247297,-175.62472021147778,0,-900.2795264246802
Hungary,0.14365063074754547,0.04384344081607542,0.32665449257863655,-1666.9904508705076,-355.9633548295008,-4200.059666144396
Iceland,0.15320159055756993,0.04891544940748354,0.30749338844087953,-12.654146631066997,-3.216185267856418,-36.171105019535254
India,0.07552522849280727,0,0.24572370417696143,-537195.4426033897,0,-1765140.7493330725
Indonesia,9.552225852025342e-6,0,0.09015775724117156,-5.747156671073753,0,-47417.32613123134
Iran,0.053528180283560545,0,0.19965602426350523,-10483.00194984286,0,-52703.495907257864
Iraq,0.09170467935853946,5.125137243376461e-4,0.25108318144864844,-8458.733666296699,-47.76732892547191,-32456.993457475313
Ireland,0.1571342825872225,0.0588773014532716,0.32607523050233356,-180.6097735076969,-45.20843887025193,-590.4742751460545
Israel,0.14463272584636733,0.05002870697710984,0.30241281154373784,-435.25094425074303,-100.84014739143213,-1226.667469306011
Italy,0.14371111731452202,0.052895898960983276,0.31733695835616726,-2188.7269637806744,-596.5522078054009,-5814.222010057726
Jamaica,0.1928780712449849,0.06609318041135485,0.3533807144199266,-1598.0218557646717,-407.6845254859017,-3516.1344192936967
Japan,0.20298685021537857,0.05361917330264896,0.39074300977834703,-10262.692210192545,-2024.9253447766996,-26566.325843399776
Jordan,0.09931586535390588,0.02115674331210919,0.25422153403282466,-3499.969366517593,-669.3901466986565,-11751.924568847851
Kazakhstan,0.13573898458410621,0.04066633028507463,0.32275048485149316,-7091.423476180829,-1762.2937084537714,-23571.861618600415
Kenya,0,0,0.21961660378111034,0,0,-27348.906620181595
Kiribati,0.27865657638739694,0.06511100954157086,0.4562061953437358,-141.8078044589842,-21.23325999848662,-276.9039383431453
Kuwait,0.09868155212488344,0.017798697635820173,0.2963611410595252,-962.3050261473509,-151.46480099534034,-3648.459582252598
Kyrgyzstan,0.2159318532487573,0,0.4145567528037753,-4288.660805900807,0,-9630.720534524911
Laos,0,0,0.04209286373486262,0,0,-1180.9791893358797
Latvia,0.14689201201412494,0.05026184904604398,0.3037728159509588,-339.9748461346626,-93.87222479766504,-861.3807037716912
Lebanon,0.04888213400511197,0,0.15282268714001712,-570.4191583063566,0,-1946.786714328483
Lesotho,0.005877251847042966,0,0.32329601381793605,-37.261873727712555,0,-2135.1978395689857
Liberia,0.10653475590964569,0,0.35289927744803995,-6055.97487182897,0,-22577.708540891344
