Country,change_median,change_low,change_high,DALYs_prevented_median,DALYs_prevented_low,DALYs_prevented_high
Afghanistan,0.20942860199401103,0.11428529125603451,0.35569337330384754,-15197.580608496672,-5842.77953620593,-29036.81144025848
Albania,0.1960586822861073,0.09881692849979298,0.3320524495713539,-637.9713171410376,-263.43450446868786,-1285.5052944867539
Algeria,0.26990617332280054,0.13765760320184886,0.4358928983254797,-28951.904593003303,-11040.955840229268,-64349.07246219613
Andorra,0.2699722177133747,0.15172734271345253,0.42961071163454645,-5.882257533984552,-2.0291872320099715,-13.779929441935714
Angola,0.30470635435484256,0.16897662034861968,0.4966328566160812,-32530.92110402702,-13176.79069184476,-71817.18163676355
Antigua & Barbuda,0.26347580203535054,0.14478687717547994,0.4206742424133074,-58.59780370243864,-25.17700099051115,-116.56669050622709
Argentina,0.21719843195385874,0.10748074537661621,0.3577186201790966,-8034.824637851476,-1709.0056323394847,-22336.581846010253
Armenia,0.23410008131263524,0.12876323194046588,0.36155022999768,-1005.3254989847253,-408.12936114130184,-2039.3032011088708
Australia,0.29877033187346913,0.16804677261065393,0.4597245001402838,-2791.0788084169144,-1024.3196019780053,-5672.211216793136
Austria,0.2703215076683734,0.15751894284237328,0.43038394700811283,-592.5340740952478,-169.8251396226915,-1374.271697177071
Azerbaijan,0.21629275007383938,0.10990890908313768,0.3478113728629911,-6614.946729219879,-2567.021817858573,-13370.389397617635
Bahamas,0.30828171152826944,0.1664757310337912,0.4734699511140001,-314.62516135764344,-138.39330985746736,-617.6133412063696
Bahrain,0.2658875413632492,0.1505705728701411,0.4228555572901219,-852.0769676138655,-363.38139495406597,-1852.0300561712263
Bangladesh,0.18414983104273325,0.104942560344841,0.28990872588583183,-92550.45588859176,-43467.017756494446,-190673.2173453655
Barbados,0.2796037584926907,0.15525804211689845,0.44625722631076575,-191.6187496306553,-79.70086763305441,-359.0654693863309
Belarus,0.2324838052209716,0.12318255152577319,0.37432621312549463,-2939.9333170869813,-1198.861760712382,-6023.738526768539
Belgium,0.26483151443505415,0.14582241439738836,0.4086061957378939,-838.6841261765306,-349.6307901025559,-1674.3917899040498
Belize,0.21189348267623237,0.11513379921119567,0.35360462620154876,-331.88361280463175,-139.47828290519595,-655.8858814021663
Benin,0.29610347882500154,0.15876906757709014,0.4629356768665153,-20307.75079282527,-9759.904261663989,-39597.522670612554
Bhutan,0.29428117582826285,0.16620226239570526,0.4579451973895504,-1022.0170896579032,-421.1440999835081,-2120.777228312269
Bolivia,0.29967859867193564,0.15987459830490125,0.48023972855736946,-6920.368161089467,-3221.8045526743813,-14396.915658568976
Bosnia & Herzegovina,0.22884427215620806,0.1280404929002429,0.3723141012479299,-995.3434007003723,-429.8964222628766,-2158.1161334030426
Botswana,0.2270984537350989,0.10797141341401931,0.35487178823164367,-1400.0203781844623,-557.3712633514307,-2976.0136078759792
Brazil,0.25194788858863965,0.13257267051495417,0.4188025334699088,-150388.81109599932,-63025.22566860241,-290529.8733530874
Brunei,0.310205425314536,0.18626091637605677,0.4766983038878491,-85.1734760938044,-30.606916395313156,-205.19321510375565
Bulgaria,0.23121254151059012,0.12791625568695836,0.3808317479007754,-2305.6696641172084,-866.886971428928,-4741.002526183785
Burkina Faso,0.1777053362552479,0.09978725785561701,0.2878743405300118,-17028.450714877763,-7532.205978514627,-33154.23186060137
Burundi,0.2883623702525016,0.18330774924025678,0.4123740002024718,-8478.682466281161,-4370.565948917475,-14950.70054724231
Cambodia,0.11546046357067805,0.05088193933622429,0.21654133151253324,-6503.430114008941,-2549.1666970643987,-13384.865571436016
Cameroon,0.21057469366239995,0.12269930397868258,0.326066129686049,-20501.886308033507,-9474.14395618481,-39926.591346345755
Canada,0.242841425553463,0.13970424335330064,0.3781804978216008,-4084.770498846493,-733.0247028530943,-9559.15956606834
Cape Verde,0.2917310241747013,0.15952130060116468,0.4830142804003602,-530.034401643604,-230.15659800196812,-1046.018330204008
Central African Republic,0.1604912288461175,0.09120930559206449,0.24751461602144934,-2828.0886496792073,-1263.9147460706963,-5614.367221745167
Chad,0.11058004752896652,0.058783486214674996,0.19250354290876803,-8775.908009698094,-3815.5473024857656,-19177.05288004597
Chile,0.18682793165159622,0.09521110107408247,0.31131449045601983,-1125.4017307805498,-411.6251630879103,-2688.30669392264
China,0.3200520611268379,0.18178381219024015,0.49547312862533366,-428056.25680147397,-216603.54814270386,-738061.9960515001
Colombia,0.23101189406792488,0.1294259690712079,0.35332720159932157,-8056.281328926145,-3629.240303706001,-15816.38218858707
Comoros,0.29059498550354446,0.16349907593290178,0.4613176281548523,-544.3004254008906,-230.62678599250864,-1240.225750899304
Congo - Brazzaville,0.222405000491707,0.11657669161814292,0.36781455099181115,-5045.686936417489,-2224.3584829272436,-10009.44623374426
Congo - Kinshasa,0.2828310075216446,0.14779371491244492,0.47290382191466257,-83297.97160629758,-35169.09384578321,-174656.8013125027
Costa Rica,0.24412054792414564,0.1324032919088676,0.38647204826917453,-850.4937971578538,-213.64899805037032,-2053.8378400710144
Croatia,0.2654307708953868,0.14444752825420143,0.4205124397429486,-1151.5335654826447,-437.42166249805535,-2300.842196903576
Cuba,0.27290189734603487,0.15017274527957747,0.43800543316408114,-5883.365594930954,-2214.6725122870544,-11503.975328421046
Cyprus,0.2657886335570586,0.14614905089943167,0.426410741193625,-108.62483919501724,-39.50408068556979,-268.4663510514641
Czechia,0.26333079073581,0.15403530730826356,0.42938314403580996,-2861.648258514232,-1146.4731212766437,-5584.893739745632
Côte d’Ivoire,0.2755920599767187,0.15879989068094277,0.42292087139436185,-32235.715821535538,-14421.533498879158,-59722.764117489634
Denmark,0.2673135024655876,0.1526055877354577,0.4302719856409755,-368.6321305414682,-138.13002267134354,-869.0447286568455
Djibouti,0.13391511333620865,0.0616211162065325,0.24278427509243444,-409.8645195944998,-127.73467090330074,-888.0804177243724
Dominica,0.26400839334542114,0.1429211611999841,0.4275793484362658,-50.989163957253254,-20.716374966405553,-102.80251385573479
Dominican Republic,0.1708269706013148,0.09703932341146293,0.2776390087322377,-5406.277578283174,-2435.956437448106,-10809.521363635695
Ecuador,0.27661804521329225,0.1531440855316486,0.4513032219935235,-3560.2822365353904,-1475.989673433297,-6841.867405184931
Egypt,0.1860891621364137,0.07797051712857504,0.3086236384971842,-26801.894800626273,-10025.70000891392,-56831.37610915756
El Salvador,0.2999449690370106,0.16387495890812886,0.4748154565633316,-1124.7527321315179,-515.976855516061,-2284.6780985073487
Equatorial Guinea,0.2547176477223445,0.1329333768823521,0.41186816357414746,-1339.8912290797668,-542.2483219966657,-2687.149980865399
Estonia,0.28504758120377616,0.16269570870483094,0.4431111542153273,-418.6492470868948,-170.0820209378217,-812.6539845116873
Eswatini,0.2610992624459316,0.15061711734304178,0.4078894687840969,-744.963045682391,-325.7130461730457,-1504.4904574819025
Ethiopia,0.13876909122945638,0.08338177654730125,0.22959888084301266,-28267.321224854226,-13968.644204678776,-54158.48244529188
Fiji,0.23318890236782558,0.12241784436281056,0.38873954764537216,-596.0981365601308,-267.7453553055724,-1159.1669934611978
Finland,0.26939334274034965,0.14475161143024662,0.43258616826765983,-345.5671318694035,-120.32793400595159,-777.3842687522363
France,0.26923382286046915,0.15474297672063372,0.43550087919383246,-5164.9031881202,-2257.650560682955,-10505.50089515248
Gabon,0.2714599313204318,0.15730669547445816,0.4309422173736132,-2947.881672684753,-1460.6202959523491,-5563.1856291539325
Gambia,0.3022941875186108,0.1675722016213564,0.47013945017909553,-3873.2535155161754,-1874.3705713791458,-7300.314151383365
Georgia,0.21461402341399524,0.1168516757316219,0.3634944912073451,-1396.7893506359644,-579.4575354258735,-2840.2992663415707
Germany,0.2746565729368635,0.15575851349471473,0.4157626961178265,-8475.926023507063,-2180.919377736423,-22196.559569887628
Ghana,0.23715442929076716,0.12940533634766144,0.3689556089415098,-41522.01327412686,-17680.51956929386,-80341.69899584887
Greece,0.2669584013571586,0.13629217359809692,0.42670976138834743,-864.8950992317759,-284.2858844221224,-1975.154750750775
Grenada,0.3142028438807307,0.16682063720725815,0.5058161415858853,-87.41341382709707,-36.96589156147985,-179.03559326714762
Guatemala,0.13324321643531242,0.0686773945015691,0.22348429674374373,-8021.542332947469,-3493.5450828527473,-17710.381485954193
Guinea,0.21867786928482358,0.125064389963623,0.3430559521993666,-11478.627606818147,-5386.225102637011,-20955.35849680892
Guinea-Bissau,0.23403361308390266,0.13141899727666856,0.35533043111020535,-2489.325953204059,-1105.4462539674764,-4985.56188110347
Guyana,0.18272483537830925,0.10672932821492051,0.2853536639480824,-456.2395420908915,-209.70893501687493,-846.3111035550858
Haiti,0.27296493050556814,0.1504876316977819,0.4254677547856748,-18344.9634163355,-8074.077682727435,-34153.09189560625
Honduras,0.16830927358019504,0.09175252567188506,0.26917417939937055,-1903.4408144578747,-854.6192570202178,-3759.9849145120966
Hungary,0.2672915878628501,0.15437414619110645,0.41601468066718206,-3032.153777059239,-1255.5905247517203,-6117.693434072854
Iceland,0.27460015300008345,0.14509118264172338,0.42596726078148134,-21.82608101479014,-8.673463351836688,-48.73366664253163
India,0.1721179625961745,0.09980518802828858,0.2691872507962544,-1201290.4455142226,-579480.9338531538,-2088956.045087471
Indonesia,0.16220770537648033,0.09149581946327333,0.26623823937967395,-61305.739138897305,-28351.343716785712,-113070.90584782773
Iran,0.15423395165327172,0.0732971710703357,0.3015927943694289,-29879.61733409224,-11355.787689287752,-68088.85834375522
Iraq,0.16915120680442414,0.07372521098410634,0.31778845893707347,-17497.712855795948,-6380.433793002336,-39865.61829116573
Ireland,0.2725604158066429,0.14670301875640207,0.43459306371684275,-333.2890740997742,-95.28559273432852,-731.0465528099644
Israel,0.26623313398776205,0.1622187646027716,0.4261108631867418,-798.6371515988305,-253.81020664261763,-1842.2084017885577
Italy,0.2617721595468254,0.1475390587372498,0.4178767326350082,-3845.911693781587,-1464.923251262751,-8500.311988664784
Jamaica,0.2409133911571184,0.12414591663437469,0.38729094141247766,-1959.4828781060523,-755.8913633213677,-3975.134875692041
Japan,0.3155318024926122,0.16966865597877867,0.49032071108481357,-15593.225232035935,-5763.8579477790245,-35026.636677736555
Jordan,0.21956039203062788,0.1146995779763596,0.3652365952465634,-7844.827236391795,-3465.6357729215247,-15470.548364845758
Kazakhstan,0.24491374238814684,0.14048315725055555,0.38845849419104106,-14166.857456171554,-5614.240345649914,-28215.126429524378
Kenya,0.24721045656507856,0.1422088665705618,0.37676804798557806,-27836.622397165353,-14117.552773287342,-46050.98993134681
Kiribati,0.30369159083564035,0.16696169442537562,0.4983984044292323,-146.53401728680723,-61.27818120680972,-287.88144601430054
Kuwait,0.20759264178035358,0.11689146670822771,0.35593199183365526,-2120.8255161422308,-877.9632494094952,-4650.701527324844
Kyrgyzstan,0.34148790609452034,0.20013509214504885,0.5249414736485285,-6938.582599201458,-3397.3867642334953,-12226.650075517444
Laos,0.142096221656999,0.08157510313933203,0.23855541145801923,-3104.9500801400172,-1464.6919336437268,-6330.978568694863
Latvia,0.2663798236125519,0.1491770930343219,0.4308821715194044,-616.67653410418,-271.38869432209304,-1221.2383098193707
Lebanon,0.1595698820931506,0.06301732053269211,0.2713892857348962,-1896.0964012578788,-648.9064047631362,-4133.611339512674
Lesotho,0.2854229135010591,0.15632733358680928,0.4328107146640835,-1570.3871905054316,-722.4057865469673,-2997.66805589844
Liberia,0.26420525881463874,0.14605986614293281,0.4139487740673735,-13229.37503180014,-5550.484543929804,-26141.316040887043
Libya,0.16396401212553857,0.07743775141919504,0.29724818068415637,-3047.112958830652,-1132.5507717725393,-6629.892381231686
Lithuania,0.2628070279006699,0.1443614344083954,0.42322135404992944,-920.9765634179385,-379.2271435127139,-1797.3594896076672
Luxembourg,0.27100610264315195,0.15109520367679768,0.4253517316395452,-40.1044081568305,-13.06334593031834,-91.8339550130832
Madagascar,0.17438790244017244,0.10193688179802558,0.2756947492911424,-14455.421488561027,-7113.510936862557,-28441.11730734574
Malawi,0.1567409524466274,0.08487195249399446,0.25065920881244486,-10584.00436417438,-4066.9864896412164,-21340.683901500728
Malaysia,0.304897286382912,0.1535940817568157,0.4672970457592776,-30883.694048832127,-11863.270950777465,-67583.40006467071
Maldives,0.3185356011456245,0.1644349028672853,0.5046355281218927,-775.1486213501929,-322.54070908886905,-1514.3414520821998
Mali,0.23942543806629718,0.13769033728638802,0.3733703907393712,-30564.1146949573,-13488.220847774071,-59051.64381196357
Malta,0.2704703826551803,0.15767820613009365,0.41977904256387216,-32.98340432736542,-10.245034260543605,-73.8985153790911
Marshall Islands,0.28325825931076665,0.15748143554649557,0.4662143002917025,-54.278199477750455,-22.934555726559395,-105.43359326900969
Mauritania,0.22241049337869973,0.12184520659787121,0.36028366907737014,-3495.3910142000827,-1551.1553414538005,-7599.873531785626
Mauritius,0.26531119258626507,0.1463455332236769,0.4234947445518863,-784.386523912825,-292.6181444552912,-1666.261479088337
Mexico,0.21630399472168782,0.12548755993459887,0.3504392621232965,-19118.45005280523,-9932.096147405207,-33817.80174045185
Micronesia (Federated States of),0.300573073757487,0.15810518885210245,0.4932763343881624,-96.6943681288372,-38.489028073098375,-196.99477577774047
Moldova,0.32486390984953206,0.18520510148354463,0.5099635495343962,-1809.6839636146542,-850.5695646548428,-3435.332099348386
