Country,change_median,change_low,change_high,DALYs_prevented_median,DALYs_prevented_low,DALYs_prevented_high
Afghanistan,0,0,0.27747464801402805,0,0,-20475.611387873865
Albania,0.08360267652516623,0.015249768064586916,0.2624435290612837,-271.7967929570143,-44.1276993405403,-1088.333438483384
Algeria,0.23011819246407977,0.0881872326354944,0.38783694478438685,-25658.928860308588,-7254.640097637984,-55111.604310926414
Andorra,0.1570101980431713,0.054061340790119754,0.33213602091056904,-3.391913372424227,-0.8692561840739602,-8.877057065646422
Angola,0,0,0.3921656147250538,0,0,-51366.059964509666
Antigua & Barbuda,0.14788964282397354,0.05242297121145859,0.3299531122272914,-32.03993176030069,-10.456621633774493,-91.03344993092679
Argentina,0.1472709130298681,0,0.3283693039245723,-5803.418159268123,0,-21969.963210152353
Armenia,0.20006603839176634,0.04000007602770491,0.36411617968228494,-908.2130596442655,-118.09646219305982,-1953.8788445746018
Australia,0.18899317618676353,0.07126383502490305,0.36957410964840604,-1592.0314645288254,-496.996180010775,-4348.1525270215125
Austria,0.16128156559980963,0.0552363493073931,0.3416528649109777,-330.41471286895285,-97.16301238070436,-992.4802514653697
Azerbaijan,0.08356854872444101,0.012841445175158553,0.25005463221905655,-2412.5369731651517,-364.54606041554973,-10231.150649101153
Bahamas,0.20691061268383865,0.07969596244789605,0.40848646121785104,-212.39468209311588,-78.03596167933739,-577.0309253929519
Bahrain,0.15223464759892236,0,0.3431862023803426,-458.3744385822581,0,-1347.3152765500324
Bangladesh,0,0,0.10326457902044296,0,0,-60718.93358051268
Barbados,0.17650547975056263,0.06211743747693665,0.37850664801781475,-119.19059888345186,-36.6792434349137,-318.0089877770099
Belarus,0.0851797288235383,0.014562850451699635,0.23203632089278378,-1060.2255053102158,-168.9773092453784,-3218.4577409957446
Belgium,0.15055505397274616,0.05450080664294238,0.3370791538664012,-484.0722425754293,-170.59559455327863,-1290.2979891585876
Belize,0.18942260754021709,0.05142545942990294,0.3206634532357484,-299.78357607506985,-68.20750706394351,-642.2671789873887
Benin,0,0,0.31020572114109113,0,0,-26062.834895136926
Bhutan,0.1736452677384821,0,0.4099566789407809,-624.89668148598,0,-1764.9142642049853
Bolivia,0.2023805689268467,0,0.41214865584681754,-4774.549899179547,0,-11865.783366628093
Bosnia & Herzegovina,0.1556761097359636,0.03285941473674541,0.3305686293318663,-685.2947974344827,-120.19118016620166,-1964.028287864783
Botswana,0.18561973153228695,0,0.36301909786179887,-1195.8157190641728,0,-2756.9567003156267
Brazil,0.2500974835036909,0.13429375150793255,0.3901786626631003,-150093.38278502566,-70949.54255773178,-286406.4271998379
Brunei,0.13708516714131797,0,0.39868662620252115,-46.952888297757426,0,-169.68967474503782
Bulgaria,0.19480800283978256,0.042168485732158555,0.35390386043373095,-2011.6155652031262,-308.2137379928409,-4376.258385661607
Burkina Faso,0,0,0.0939800036418825,0,0,-10519.454423065843
