"","Country","Population","Year","EV","EV_lower","EV_upper"
"1","Armenia","Mild anemia",2021,105120,64476,182231
"2","Armenia","Moderate anemia",2021,56719,33210,88357
"3","Armenia","Severe anemia",2021,3418,355,9646
"4","Malawi","Mild anemia",2021,2139329,943930,4282664
"5","Malawi","Moderate anemia",2021,844489,464519,1608993
"6","Malawi","Severe anemia",2021,15920,0,92184
"7","Armenia","Mild anemia",2030,99877.1926403679,51607.1629630882,195045.099901494
"8","Armenia","Moderate anemia",2030,49830.9572263506,21625.0834742935,89675.3383733997
"9","Armenia","Severe anemia",2030,2922.01042494291,-197.265449831986,10161.4232146632
"10","Malawi","Mild anemia",2030,2746966.64386509,1041411.53230094,5650365.17072808
"11","Malawi","Moderate anemia",2030,1021037.94772379,380195.102101908,2476340.49335138
"12","Malawi","Severe anemia",2030,19689.2070505868,-4704.95454765804,139494.840649717
