location_name year_id rei_name Prevalence Description
Afghanistan 1990 "Mild anemia" 449105 Observed
Afghanistan 1990 "Moderate anemia" 314522 Observed
Afghanistan 1990 "Severe anemia" 24229 Observed
Afghanistan 1995 "Mild anemia" 645906 Observed
Afghanistan 1995 "Moderate anemia" 467259 Observed
Afghanistan 1995 "Severe anemia" 36087 Observed
Afghanistan 2000 "Mild anemia" 637444 Observed
Afghanistan 2000 "Moderate anemia" 496034 Observed
Afghanistan 2000 "Severe anemia" 40466 Observed
Afghanistan 2005 "Mild anemia" 744306 Observed
Afghanistan 2005 "Moderate anemia" 587823 Observed
Afghanistan 2005 "Severe anemia" 48041 Observed
Afghanistan 2010 "Mild anemia" 886975 Observed
Afghanistan 2010 "Moderate anemia" 673805 Observed
Afghanistan 2010 "Severe anemia" 53422 Observed
Afghanistan 2015 "Mild anemia" 1068344 Observed
Afghanistan 2015 "Moderate anemia" 773322 Observed
Afghanistan 2015 "Severe anemia" 59710 Observed
Afghanistan 2020 "Mild anemia" 1252753 Observed
Afghanistan 2020 "Moderate anemia" 882856 Observed
Afghanistan 2020 "Severe anemia" 70043 Observed
Afghanistan 2021 "Mild anemia" 1296197 Observed
Afghanistan 2021 "Moderate anemia" 907990 Observed
Afghanistan 2021 "Severe anemia" 72454 Observed
Afghanistan 2030 "Mild anemia" 1693062.8811178585 Predicted_trend
Afghanistan 2030 "Moderate anemia" 1136716.0396154027 Predicted_trend
Afghanistan 2030 "Severe anemia" 94282.90906676043 Predicted_trend
Afghanistan 2030 "Mild anemia" 1730336.1966600863 Predicted_stable
Afghanistan 2030 "Moderate anemia" 1220841.0310613553 Predicted_stable
Afghanistan 2030 "Severe anemia" 98039.30952715782 Predicted_stable
Albania 1990 "Mild anemia" 222712 Observed
Albania 1990 "Moderate anemia" 93863 Observed
Albania 1990 "Severe anemia" 3696 Observed
Albania 1995 "Mild anemia" 211960 Observed
Albania 1995 "Moderate anemia" 91491 Observed
Albania 1995 "Severe anemia" 3721 Observed
Albania 2000 "Mild anemia" 181702 Observed
Albania 2000 "Moderate anemia" 79151 Observed
Albania 2000 "Severe anemia" 3248 Observed
Albania 2005 "Mild anemia" 155868 Observed
Albania 2005 "Moderate anemia" 67379 Observed
Albania 2005 "Severe anemia" 2641 Observed
Albania 2010 "Mild anemia" 141519 Observed
Albania 2010 "Moderate anemia" 57670 Observed
Albania 2010 "Severe anemia" 2004 Observed
Albania 2015 "Mild anemia" 138769 Observed
Albania 2015 "Moderate anemia" 51458 Observed
Albania 2015 "Severe anemia" 1526 Observed
Albania 2020 "Mild anemia" 132957 Observed
Albania 2020 "Moderate anemia" 46262 Observed
Albania 2020 "Severe anemia" 1292 Observed
Albania 2021 "Mild anemia" 131722 Observed
Albania 2021 "Moderate anemia" 45646 Observed
Albania 2021 "Severe anemia" 1280 Observed
Albania 2030 "Mild anemia" 120793.31692900817 Predicted_trend
Albania 2030 "Moderate anemia" 40451.00328896812 Predicted_trend
Albania 2030 "Severe anemia" 1192.3033040188345 Predicted_trend
Albania 2030 "Mild anemia" 117060.82760615248 Predicted_stable
Albania 2030 "Moderate anemia" 40465.44756679677 Predicted_stable
Albania 2030 "Severe anemia" 1088.1140118310993 Predicted_stable
Algeria 1990 "Mild anemia" 1755092 Observed
Algeria 1990 "Moderate anemia" 878043 Observed
Algeria 1990 "Severe anemia" 36697 Observed
Algeria 1995 "Mild anemia" 1919918 Observed
Algeria 1995 "Moderate anemia" 988867 Observed
Algeria 1995 "Severe anemia" 44878 Observed
Algeria 2000 "Mild anemia" 2141979 Observed
Algeria 2000 "Moderate anemia" 1100978 Observed
Algeria 2000 "Severe anemia" 51455 Observed
Algeria 2005 "Mild anemia" 2350550 Observed
Algeria 2005 "Moderate anemia" 1206587 Observed
Algeria 2005 "Severe anemia" 57029 Observed
