Country,change_median,change_low,change_high,DALYs_prevented_median,DALYs_prevented_low,DALYs_prevented_high
Afghanistan,0,0,0.2591629633983431,0,0,-16968.075110698057
Albania,0.1580688835771638,0.02115010939600584,0.49091547541851716,-516.8620131714399,-69.1578685424861,-1605.2214400436644
Algeria,0.43602297961646497,0.14513133489938,0.6186358573549461,-42010.163975783784,-13983.187726734885,-59604.64247008572
Andorra,0.18145736441685578,0,0.3604130479018249,-4.135776249788975,0,-8.214534187778392
Angola,0,0,0.42400260552576075,0,0,-39539.26693156953
Antigua & Barbuda,0.17129261335317955,0.02330944764176108,0.3444421457184923,-33.664651180140424,-4.5810756733782,-67.69424822449243
Argentina,0.1496756450923124,0,0.4788929436275065,-3275.475474286628,0,-10480.00889318627
Armenia,0.3760609148272266,0.1071369823696804,0.5193984285698467,-1520.94828071213,-433.3112791440614,-2100.6639576562557
Australia,0.2121178132154889,0.03014803962056822,0.40630172853191787,-1880.2914162864226,-267.2434684154936,-3601.610072251661
Austria,0.18078044983842395,0.02428549761759498,0.35936164469527904,-393.6315322586339,-52.879266798048214,-782.474404521145
Azerbaijan,0.12780036500175418,0.015045371119794265,0.5356066793756002,-3636.118730466391,-428.06415877412434,-15238.84128980222
Bahamas,0.21832040527532184,0.03124059380986406,0.4151902110497633,-203.12661499059107,-29.066435924260325,-386.2954635019659
Bahrain,0.17257613425485777,0,0.34648063232442,-485.81873038858157,0,-975.3769350952099
Bangladesh,0,0,0.12336832948121199,0,0,-57307.59873778887
Barbados,0.18677520135367262,0.02576337483255064,0.3686135866452851,-115.11123757108066,-15.878199779674498,-227.17987097176902
Belarus,0.10888035299374405,0.01381387107041056,0.23698299565243144,-1259.0215209098587,-159.73461222816124,-2740.3170857945483
Belgium,0.1708378436005622,0.023236546277658577,0.34371834855657996,-536.0179138377828,-72.90659257949488,-1078.4448472191996
Belize,0.39161575412066096,0.16494784148149222,0.5391913917969641,-543.0054964655174,-228.7131894313098,-747.630384468248
Benin,0,0,0.3854860863332907,0,0,-23946.012509854187
Bhutan,0.26771508747768735,0,0.5533467857446107,-790.0968290693997,0,-1633.07023489664
Bolivia,0.3059818652611316,0,0.5481911551264647,-6806.547117837573,0,-12194.476600076692
Bosnia & Herzegovina,0.38501808347017996,0.07292329227255656,0.5575033014813747,-1516.3113278774415,-287.192781030918,-2195.6074471778775
Botswana,0.38715313614423574,0.16015142209511551,0.5697063286813072,-2191.033046265052,-906.3528349591242,-3224.1641350364353
Brazil,0.4406702594870666,0.258583527306337,0.6031009019648257,-241542.70899050852,-141736.2871723867,-330575.1142580209
Brunei,0.18018005378003016,0,0.4142972353150695,-50.12302790069013,0,-115.25044781165192
Bulgaria,0.3928711609747234,0.11929282933085034,0.5557497082873336,-3429.8426309280476,-1041.4499007457018,-4851.804436040957
Burkina Faso,0,0,0.014799487492681033,0,0,-1354.694289177344
Burundi,0,0,0,0,0,0
Cambodia,0.015628528504048587,0,0.44050279088263566,-821.7908676479201,0,-23162.20928252702
Cameroon,0,0,0.1853569301166917,0,0,-17301.620120556567
