Country,change_median,change_low,change_high,DALYs_prevented_median,DALYs_prevented_low,DALYs_prevented_high
Afghanistan,0,0,0.26095831606515807,0,0,-20023.12723436681
Albania,0.15201185686024904,0.023842380444560694,0.48219873864765356,-452.0617059045262,-59.85460679616764,-2021.5008135252513
Algeria,0.4112441563638034,0.1306373492001785,0.5675459955860847,-41089.16211075241,-10610.672045764382,-77552.72884666453
Andorra,0.1804188731524865,0.028077894491670124,0.392142444863867,-3.7168506352327615,-0.6956446276597101,-9.425825860524247
Angola,0,0,0.4242813571434304,0,0,-53213.12712560212
Antigua & Barbuda,0.17030014247955294,0.02687197714888407,0.37559101318948246,-36.76410486405413,-5.609096124065148,-84.71809674009603
Argentina,0.2577859699403807,0,0.5061157610876182,-8015.149985329353,0,-29118.453338082036
Armenia,0.36011776976708887,0.052824534878181555,0.499013206423878,-1467.3400695074722,-164.19175458967027,-2577.158432674697
Australia,0.21094924904230367,0.034718644139755665,0.43929678388413973,-1784.9246719552434,-303.7523281331236,-4708.418985339969
Austria,0.17974497842531928,0.016882860195527375,0.3910550617560916,-363.80578205233314,-51.49922570183592,-909.9796482509182
Azerbaijan,0.13423905900834543,0.019697478165792617,0.48281212609853685,-3924.698749217343,-489.58897153826774,-17827.07139304461
Bahamas,0.21712712420640862,0.035970699295136285,0.448362072943034,-211.34768812053437,-35.50626233710874,-479.85363572437745
Bahrain,0.170690308958433,0,0.3777076559103642,-484.4848154481533,0,-1314.4624886959343
Bangladesh,0,0,0.12594153992124896,0,0,-67350.37642731104
Barbados,0.18571320875896513,0.028148339530431776,0.40061282535805515,-121.51869497475562,-16.8268872083017,-264.5602932412792
Belarus,0.10820207444426708,0.009420546417675448,0.2623013267032883,-1234.3728589987568,-156.41497974231615,-3328.9216824160385
Belgium,0.1698474653946634,0.02678823904865857,0.37483917907440406,-496.98909007501766,-73.29867825992474,-1283.3174794194638
Belize,0.375224682629953,0.10147104630947652,0.5032933810867256,-555.7573137534744,-115.16086673741532,-991.2762785954924
Benin,0,0,0.3365114532890476,0,0,-26390.812492034493
Bhutan,0.2780392943776835,0,0.5621366466596724,-866.7266347742204,0,-2282.876143848062
Bolivia,0.27603167585471905,0,0.5412989399102034,-6420.108549644514,0,-15651.199087926903
Bosnia & Herzegovina,0.3582119588138486,0.07074547013949002,0.5061828783251019,-1415.5474236394105,-176.7845948067313,-3178.903028376618
Botswana,0.36628606467191077,0.009212623490079546,0.5238860568467673,-2136.5434810077513,-44.50567712312654,-4116.292677800501
Brazil,0.4272825758662429,0.2510311467105319,0.5596391441372998,-241621.39651130413,-111289.37613237923,-419149.71498618345
Brunei,0,0,0.41686969754447034,0,0,-141.34242145377485
Bulgaria,0.37233715742996343,0.07835824341411136,0.5202650042403472,-3371.9479686722952,-623.5819621413742,-6231.6205349803795
Burkina Faso,0,0,0.10826608783339457,0,0,-11262.609418376505
Burundi,0,0,0,0,0,0
Cambodia,0.014328240711053937,0,0.4341793113846082,-714.9822145432408,0,-30507.093190874446
