Country,change_median,change_low,change_high,DALYs_prevented_median,DALYs_prevented_low,DALYs_prevented_high
Afghanistan,0.20904141847861574,0.08120290242370287,0.34933233587693646,-13740.559999957783,-5116.743896949313,-27465.348489425574
Albania,0.11463484424582025,0.015082225833869768,0.25294929138956257,-360.3138349919625,-43.3801959999268,-949.4939527920875
Algeria,0.19641102788605702,0.0438565894512551,0.35940600043954063,-19811.85777045753,-4122.117336893448,-50996.429485711415
Andorra,0.15288664832732715,0,0.3150813416184227,-3.1888617221799507,0,-9.33806045971887
Angola,0.24029014031907114,0.059120557639753823,0.4248872074887031,-24418.6302579043,-5476.808410872244,-53345.80234078699
Antigua & Barbuda,0.1503929719049234,0.014357654175439624,0.3233508239777863,-32.29558139770293,-2.928072842699456,-82.82616561123362
Argentina,0.11450689532948552,0,0.2535418261632309,-4512.400990084325,0,-14094.113842804207
Armenia,0.16733873432958843,0.0386308775795651,0.30699270205723234,-746.5218140357922,-116.87069234209476,-1604.9944508182462
Australia,0.19083939921895582,0,0.372083019887462,-1579.528797273239,0,-4570.901562605203
Austria,0.14802082262030397,0,0.327283483504437,-300.2160377223927,0,-885.9187272135852
Azerbaijan,0.1967369093707348,0.07129162178479875,0.3557410135197715,-6032.838820108389,-1780.07204189911,-12828.208375542732
Bahamas,0.19775302915458653,0.020361257894807715,0.3732529420879714,-189.88579537861256,-22.522810413616792,-492.4871085818458
Bahrain,0.14817973766747905,0,0.31406795609183585,-453.4740943765711,0,-1209.036530157262
Bangladesh,0.11658428436286333,0.03301868207819034,0.20687442715549592,-54587.71076714953,-13492.572207720143,-133435.57093833518
Barbados,0.16899349390530827,0,0.33829902652215643,-103.9181226756987,0,-274.80378712061406
Belarus,0.08518023374552702,0,0.21555113707892776,-1009.5504204778917,0,-3173.0994437602767
Belgium,0.14753846589494968,0,0.30912421273735874,-446.48733170634046,0,-1292.2918015048767
Belize,0.12445142095572956,0.02362375933689198,0.25532676786032826,-179.45529164889876,-31.897310470850737,-498.311473459273
Benin,0.21586450948960684,0.042660467486377224,0.39883709582396953,-14370.626032506618,-2664.7801750644585,-33800.350345852516
Bhutan,0.2206933220856505,0.03377377257662499,0.3914301914899363,-744.6608786704155,-82.68304303126442,-1683.774010682195
Bolivia,0.21194570520468947,0.04609493915140871,0.40926098494364593,-4935.52404944778,-927.5000248914022,-11256.66807595643
Bosnia & Herzegovina,0.16819108340247196,0.03233359590652455,0.315145589422163,-713.5456284789889,-97.6199485867486,-1697.647250622608
Botswana,0.1367185942897263,0.008707774774576708,0.2886292131590361,-812.7402068435326,-32.85852755805805,-2201.854175722118
Brazil,0.17445666875883195,0.024635763297719045,0.3236488621085515,-96877.77381256668,-11188.137384774087,-216127.9015272404
Brunei,0.19733215386025316,0,0.3872299366321306,-55.35834024502256,0,-144.7462166997365
Bulgaria,0.16453623011473956,0.035328385875380376,0.3087209881467399,-1563.3140055173676,-255.05699366321724,-3697.9275356706867
Burkina Faso,0.0820992563584923,0.02273419042300904,0.1498253766784464,-7742.2303158016,-1904.9847419661392,-17741.259853109812
Burundi,0.2073999090742654,0.07865899007440556,0.3261703467156886,-5874.786149448588,-2028.208904837534,-11736.236434811552
Cambodia,0.019347637961871025,0.008349257578607388,0.0742611226463055,-1055.5080744656043,-396.2160135669019,-4386.880747303478
Cameroon,0.12886786523954813,0.03166142569139047,0.24696162437842242,-12191.437352913672,-2661.1224338675624,-26736.267408712785
Canada,0.11504902479247922,0,0.2800455574886557,-1916.9364649054496,0,-6497.050607937946
Cape Verde,0.2235973227962677,0.052735216612409874,0.40601547620019257,-371.1761182864363,-92.03236164947728,-903.4133687499028
Central African Republic,0.09165519430847223,0.02700690799737906,0.1765545577785894,-1565.4493012323937,-404.4457656528056,-3582.3134253734543
Chad,0.08511647580512598,0.02737242222164165,0.16790300965826058,-6903.393652332503,-2098.595165456476,-17228.746695899226
Chile,0.05732368482399162,0,0.187218964483228,-333.75126579177186,0,-1405.9083230700812
China,0.3066328493996716,0.07571417124624696,0.501207824543486,-404066.7689919926,-76924.94559491471,-727916.2107347423
Colombia,0.12431022968664346,0,0.25432254065466137,-4210.879127446204,0,-11014.797365719662
Comoros,0.2046110643826911,0.035697726195505285,0.366448655362815,-371.84839923780714,-77.10988511645743,-868.957324420926
Congo - Brazzaville,0.13009891139628624,0.02521967044521791,0.27040942401661916,-2881.771630692807,-631.9721816474375,-7030.072549365216
Congo - Kinshasa,0.26859362124978026,0.07927243336569181,0.46228488057244044,-75750.17427208832,-20305.480989077045,-152968.1152728118
Costa Rica,0.1382931213362612,0,0.27564165180164923,-454.44967934334863,0,-1393.6932170433695
Croatia,0.15719852690201652,0.014251399328217921,0.30716535163582265,-659.2139182709216,-78.18002643368466,-1503.8476787035827
Cuba,0.18906601190769556,0.005696492461853901,0.37196032492840536,-3868.662947841969,-127.27121479765563,-8611.747086025931
Cyprus,0.14997825646483987,0,0.31778997291002364,-55.765552679785515,0,-176.67395216576563
Czechia,0.14637446789703795,0.01803198636532105,0.3199555395388977,-1531.5837957572403,-150.08312781942882,-4519.467838491352
