Country,change_median,change_low,change_high,DALYs_prevented_median,DALYs_prevented_low,DALYs_prevented_high
Afghanistan,0.0932456274519979,0,0.2737813937701187,-6451.976202489845,0,-23081.150193209338
Albania,0.14703779461968516,0.030992109178081866,0.30573677869884786,-470.33711409058765,-81.44695462279905,-1137.4526761556033
Algeria,0.21575124769504253,0.05075430716631525,0.3864126378096215,-21784.087888595044,-5772.218352815027,-50322.99601736233
Andorra,0.15827418995465853,0.012853303594759068,0.33074476840794503,-3.1189834775917493,-0.2725676348978457,-9.580179791326803
Angola,0.26445927739802233,0.010624393440789897,0.464435283721028,-27331.52427618659,-818.3557855996485,-63207.92387613401
Antigua & Barbuda,0.1600170904114721,0.020705436932638155,0.32386656328163543,-34.67203271655161,-4.085615892900781,-89.74883768695283
Argentina,0.13796788526987208,0,0.29554957521181585,-5145.152024951878,0,-19601.050638101515
Armenia,0.24955800828778207,0.06023388153203085,0.4029005597191597,-1056.5429159694013,-174.33089126339124,-2214.723991168636
Australia,0.1876827957245497,0.02581262360416189,0.3770101638502003,-1569.5107408768777,-231.89707226552312,-4499.999835285306
Austria,0.15689400310775206,0.02632819401218256,0.3280743029751385,-327.60707916974144,-58.8533175809117,-1004.4228479582
Azerbaijan,0.2856378924336003,0.0862368660101403,0.44660883259955403,-8795.738643708239,-1716.9496369436379,-17217.753009930133
Bahamas,0.20950473845459625,0.036385567794345236,0.40917516449240987,-213.42976385435708,-38.46930828810798,-525.3282957576866
Bahrain,0.1607085309127932,0,0.3533909309720765,-506.4110681072575,0,-1302.594858558715
Bangladesh,0.13180666404206937,0.010344571618932324,0.255585700801443,-65454.37568155621,-5049.772172227926,-156278.68728869004
Barbados,0.17663774216948475,0.03408800327529925,0.35477062956947886,-113.6221852161342,-21.33864873152176,-289.5027038490421
Belarus,0.08642230941275411,0.002130321998373815,0.27877709467050243,-1017.3949650637824,-31.611119766728244,-3905.2561608858714
Belgium,0.14927223369876524,0.024955592000074592,0.3138399605133752,-446.6935969150363,-65.94896121085792,-1434.7136243780958
Belize,0.14026085295833704,0.02817100145708415,0.2764260077718524,-207.441984995192,-35.75907368652878,-553.9854346664725
Benin,0.22345607884326463,0,0.4242891118400207,-14632.181438568015,0,-33102.40050104273
Bhutan,0.23744453975137114,0.007830908739475317,0.4263406263108489,-771.4975806168379,-30.32016724776756,-1854.3855941368918
Bolivia,0.23925220625565163,0.022079618599937456,0.4282891128787027,-5611.383187586423,-454.69512511587936,-12478.755231948358
Bosnia & Herzegovina,0.2473150537397584,0.08286279466357098,0.41502988111499584,-1040.7436143905586,-223.70478592396063,-2295.51570577407
Botswana,0.15648858418170353,0.004450282300786064,0.3340864248139753,-979.9007334204334,-24.857237331540013,-2524.2057533627885
Brazil,0.1847430450246318,0.044029291605404315,0.38864201791388636,-102818.68437640113,-26216.21790743885,-254672.3250121405
Brunei,0.20915771619979195,0,0.40535633312668595,-59.69734114698046,0,-160.48883870958494
Bulgaria,0.25124737499515987,0.11060624255614783,0.42930114807760833,-2378.7706751039677,-734.3771313012518,-5450.145178974124
Burkina Faso,0.07125263323305601,0,0.1856292925189743,-6531.980639885805,0,-20176.59646658452
Burundi,0,0,0.010165645980574286,0,0,-543.9396469236267
Cambodia,0.01743814012239507,0.005361721712159954,0.12323025370840077,-1031.8733411521862,-237.83636903742888,-7270.0352911168775
Cameroon,0.14408430749875453,0,0.3027812981049891,-13915.845010688507,0,-34396.85486058121
Canada,0.12464657736692311,0.014379276178270064,0.2936514683193824,-1976.888158252932,-230.4533217592408,-6586.676101570412
Cape Verde,0.23812622806409964,0.008961845994966534,0.43216441271320566,-397.43477107362065,-11.805368601647615,-979.8576525892939
Central African Republic,0,0,0.16761380175913188,0,0,-3641.279353156735
Chad,0.1185048623442124,0,0.27335911443301747,-9153.222207883744,0,-27209.874208575977
Chile,0.053753134038563785,0,0.2130386765349331,-314.815353040055,0,-1683.8495578856343
China,0.4485367052368502,0.1782238746714485,0.6110695844279325,-582544.0468692079,-193273.8922135841,-926595.9138922017
Colombia,0.06905271840829101,0,0.2711050556747979,-2356.4977644803403,0,-12395.405756812414
Comoros,0.1677953179884265,0,0.386675783557091,-301.2737985894614,0,-918.3081603949969
Congo - Brazzaville,0.14547108957257748,0.029266900897165375,0.31724169114943546,-3196.040765530239,-634.6679206470155,-8726.835562210146
Congo - Kinshasa,0.12986278062867465,0,0.43193485914893515,-39890.34967317498,0,-166063.77736037676
Costa Rica,0.15458533201084135,0,0.29551205655534224,-515.7616392546283,0,-1635.902594737189
Croatia,0.1565240881325941,0.03297592712113006,0.3363783008060983,-652.5380973200181,-113.56698141559984,-1795.2036047305119
Cuba,0.20415149695274593,0.004145472813064105,0.3905479582674058,-4155.2951622956425,-93.60261264066219,-11047.178977694872
