Country,change_median,change_low,change_high,DALYs_prevented_median,DALYs_prevented_low,DALYs_prevented_high
Afghanistan,0.12351918876882675,0,0.2919858168855888,-8545.124596569767,0,-25583.305097246222
Albania,0.12350044192545252,0.02252835312365952,0.26234118365390385,-392.79549274317026,-74.22775427708149,-971.5408347457862
Algeria,0.19485961799240828,0.024002753663572608,0.36578004882084664,-20605.282159285707,-2311.309971639898,-51971.48291841513
Andorra,0.15931279716575922,0.01380207788721488,0.3132901686052913,-3.2068167798773546,-0.19342848410876967,-8.74134534664042
Angola,0.23962692570813188,0.04102803639887113,0.4113438494793876,-25916.662083869844,-3761.211092938953,-57121.18620555664
Antigua & Barbuda,0.15619990807388623,0.01694950169325367,0.30151248044140777,-31.751271983106903,-2.8671423783775962,-82.46361322018167
Argentina,0.12654956534538417,0.005213358218135229,0.2816404330925723,-4716.621958221748,-116.38268923755956,-17047.62137972837
Armenia,0.17978662450491592,0.07876389369129175,0.32579907872343433,-786.1733936895923,-259.5701534587208,-1568.3432794720964
Australia,0.18869295862692412,0.01814953829103525,0.3640527950987779,-1588.812682588904,-101.90677524226743,-4096.233069188004
Austria,0.15651559922924468,0.011217075885712285,0.31410279005874947,-299.13755413284105,-25.084771603061,-1014.6975477153754
Azerbaijan,0.20317400459794635,0.09909479694617464,0.33978125203524895,-6071.470348960869,-2649.0730639937333,-13321.564935788967
Bahamas,0.19366117182868603,0.02785080867223382,0.3682317772543711,-189.14833385398657,-21.818615232570423,-519.9914423015817
Bahrain,0.1571802576856411,0.01832798798420504,0.31703623908617207,-478.9446460369895,-64.77247132137892,-1251.3583378896865
Bangladesh,0.11736699893244715,0.023417777233087408,0.21026324023494145,-57419.33983507633,-13795.899369771405,-129586.35307499321
Barbados,0.16897094324848932,0.025024506080359984,0.3333843860445662,-113.19460440879402,-12.805143344247778,-251.50786808313217
Belarus,0.0979563885790827,0.005804012305175077,0.2655412226795475,-1177.8128504710612,-75.03804728500043,-4580.321858127833
Belgium,0.14899588894029053,0.01672861971930799,0.29965393730098816,-490.36875045555394,-39.22319765899169,-1290.8273649678692
Belize,0.12418470684701126,0.022894966253501906,0.22957719686792435,-182.0904178231334,-30.010649460648615,-467.33152979458964
Benin,0.21643951167520142,0.008506681322012754,0.3918996807757334,-14030.138166767309,-511.9196003926725,-31053.31185077799
Bhutan,0.21942704089279308,0.027939364217283127,0.4051298137452498,-737.4813350582555,-101.604626352002,-1796.1848588132689
Bolivia,0.21834732929221495,0.04094150430910038,0.4023679574181405,-4987.8803137581235,-834.9685445285833,-11475.424130662785
Bosnia & Herzegovina,0.18161841733145984,0.07032239871935408,0.33431950646167075,-770.9197279554048,-249.19444467114948,-1750.9312031184916
Botswana,0.13865129242449034,0.006898403902783748,0.28270256451042813,-852.0966751359945,-43.33091232270683,-2165.4356378363177
Brazil,0.16808393928722987,0.044831864031194525,0.3190864137897451,-94725.12713104827,-20913.23711973478,-231435.4145577672
Brunei,0.2035927465424427,0,0.378192207670036,-56.31795546793492,0,-154.35564442738138
Bulgaria,0.18156986284720883,0.08135135223116115,0.330518836561233,-1711.8910822853582,-603.4558435118716,-3777.7328179986675
Burkina Faso,0.08029763137566162,0.002508856451891742,0.1523531605338383,-7787.601532629669,-144.23783147392226,-18524.607819968573
Burundi,0,0,0.19746407478137515,0,0,-7447.922397959423
Cambodia,0.01849886574372034,0.007513008381413105,0.07227630621617086,-1053.4142764572352,-367.6694040976256,-4062.241801400396
Cameroon,0.12738695024131919,0.018403929414665995,0.23535394902365694,-12198.890129782376,-1676.1774943345047,-27447.381446538842
Canada,0.12485318917237798,0,0.26671097739804184,-1916.5344937236068,0,-6324.817013807843
Cape Verde,0.22411698092401963,0.03966099418809073,0.3921366383252527,-384.8586452909101,-65.95557612147353,-865.9223171734109
Central African Republic,0.06627901306100356,0,0.16232828108353933,-1178.7141908362228,0,-3483.9482864137244
Chad,0.07971691527411953,0.0050848444485173195,0.17820933273116313,-6315.628739187188,-190.32394173936981,-15888.597254630467
Chile,0.05868045726850167,0,0.1766448284744696,-323.2587919796838,0,-1366.239244685736
China,0.35810925964206775,0.17516364147184307,0.5279800879340829,-459126.75754584087,-201684.51962778854,-801939.3953259191
Colombia,0.13161801901291992,0,0.26031870433813303,-4465.8379952369705,0,-11629.396725011084
Comoros,0.2030228322568437,0,0.35479936191239847,-371.33096655389124,0,-792.7902134537151
Congo - Brazzaville,0.1295552680090824,0.021911241874696664,0.2874997272605093,-2882.64428884468,-483.7248940378413,-7790.203687091954
Congo - Kinshasa,0.23868332244093166,0,0.41630014090542605,-67587.62543225782,0,-148674.4876380258
Costa Rica,0.151131824858965,0.0014676749890271496,0.29544895995113213,-497.54729963436455,-4.880755249575821,-1543.955288456637
Croatia,0.15469491617106415,0.013997727122215115,0.31761951661626725,-639.080420876408,-77.87191780765545,-1594.8986525136816
Cuba,0.19642946014748308,0.017016190062508506,0.3793665909252367,-3943.7032623620426,-384.82080664294494,-9272.063981557554
Cyprus,0.15170245394849677,0.012946597025320472,0.3107592817220672,-56.74899380901965,-3.2897226208991825,-178.06077083162018
Czechia,0.1476375567708384,0.01678022637877698,0.3092606440400671,-1549.2887580812046,-130.49365224719938,-4169.8623776969525
Côte d’Ivoire,0.19573477577775433,0.031017084928184755,0.3438580091106944,-22304.032791213474,-2614.673217969267,-47651.629091072755
Denmark,0.15345456787977657,0.011935101127397076,0.3051546952867206,-209.71027999776857,-14.333499334298454,-571.2274671926857
Djibouti,0.07698393043438673,0.014758467556728484,0.20324743243171145,-227.74560949768284,-41.568939536988225,-658.6373135957721
Dominica,0.18448760179757026,0.03178062763073736,0.3431641756257999,-30.413748196280416,-5.479979987940548,-70.68767716259134
Dominican Republic,0.0821584968018261,0.025338262934961244,0.15731118684063672,-2440.011491752517,-638.0403145905485,-5458.213924515009
Ecuador,0.19463644057574742,0,0.3745185930113036,-2282.3897694201414,0,-5451.8751871601335
Egypt,0.09563055290131767,0.01649737489398871,0.21224594596892885,-14451.992305587293,-2066.078697145815,-37014.82038948569
El Salvador,0.22031843909792725,0.0017987927116393924,0.3979378328829689,-795.4148782310269,-3.421595163056356,-1955.8527288620817
Equatorial Guinea,0.1646531933717016,0.023997072208759362,0.30417074876367145,-847.2043575163327,-130.5612981997917,-2088.0246546640687
Estonia,0.17543240361045784,0.012039994914717099,0.34110378054320667,-239.98512378134342,-26.559153412469602,-624.514468247819
Eswatini,0.1726137854724544,0.03474742066698032,0.3019439699041043,-473.74330668854304,-88.50168743804907,-1168.3817989732684
Ethiopia,0.10485846587896899,0.016821129981942528,0.20662516506533593,-21355.63392875863,-2933.3847853835173,-44623.26647918538
Fiji,0.28693288014987095,0.1616294943375575,0.4246614840440881,-757.0503794734635,-308.72488200400045,-1391.5601150355737
Finland,0.1463537274266855,0.01650069729964839,0.3110706210473968,-180.68661315898726,-19.316334386635756,-557.7670930669993
France,0.15437820694516835,0.014663351425563919,0.31750476562248336,-2833.1615110747716,-254.12116754384084,-7285.516908411126
Gabon,0.19134955703418038,0.04073386394929415,0.34642367304901767,-2018.0826921319467,-405.0696203716684,-4392.421287389248
Gambia,0.2276118237136091,0.02395442921763484,0.4014723821623255,-3014.500412645131,-287.61077640012337,-6424.7229013229035
Georgia,0.17996723165078815,0.08225577798018388,0.3118869853066488,-1124.3914128974393,-391.70126034639185,-2395.9136065327216
Germany,0.15597405706038533,0.010812270822620146,0.31482156980732956,-4932.172913283681,-390.2668329291906,-15358.584893216126
Ghana,0.1440042841943977,0.015807530977451145,0.28136904890424014,-24785.081780928944,-3170.9333162669373,-57352.97643369676
Greece,0.15001476492802884,0.015444142281773309,0.3066847197818497,-441.0463679411944,-46.942536006451924,-1264.0499722586342
Grenada,0.23782958804214016,0.027269050450728704,0.42121336100687684,-67.34664580112423,-8.54849751906489,-146.61206899672482
Guatemala,0.042324515331462746,0.007542427422303578,0.1086798837772659,-2444.2911000854583,-412.2622424362353,-7805.482461712498
