Country,change_median,change_low,change_high,DALYs_prevented_median,DALYs_prevented_low,DALYs_prevented_high
Afghanistan,0.2872765134977518,0.1527444614366695,0.4329800497249646,-19321.136685239828,-8716.64016122936,-37401.42541703617
Albania,0.17153872367975365,0.05475845546612456,0.32082459034654554,-537.6574018208792,-158.14467458160692,-1218.0089981442216
Algeria,0.232211007649351,0.07553960786118812,0.38457611617639753,-24255.463474051223,-6894.592301390762,-52257.65376648698
Andorra,0.18140668255114922,0.052376574916035,0.3678449118023836,-3.6205635194986137,-0.9397007403598547,-10.19726169594973
Angola,0.286748113663588,0.10875847407703465,0.48557970065720324,-30044.81040189986,-9140.577175011034,-67535.17947082926
Antigua & Barbuda,0.17455052102241822,0.04124519390894384,0.33779713977151093,-36.520016679779886,-8.727518005624507,-84.96311975765693
Argentina,0.14912131247001648,0.04051501297771324,0.3038829459863001,-5370.898405143396,-812.3135813835195,-18019.17772760267
Armenia,0.25436502227499913,0.12504915625495444,0.40814446130142723,-1096.3867169682458,-452.5520896479732,-2216.865464467705
Australia,0.21561649627310087,0.061117336128291885,0.40287525439143657,-1750.724585011529,-371.02661194018197,-4468.095475800112
Austria,0.17769738194926116,0.048418132989520586,0.35564094156811443,-350.72796834082317,-73.2793246719608,-936.3789540034454
Azerbaijan,0.303921199759399,0.1729826222551879,0.4574828301256412,-9151.826089847349,-4178.608365363299,-17787.496427972215
Bahamas,0.22312738850966835,0.06475875119461348,0.3989067298225263,-218.0976110714625,-51.13533981351664,-507.05062409402586
Bahrain,0.17860237908675675,0.035256362770110204,0.34848430796416013,-553.1369972423157,-87.30874583230131,-1317.3167392134396
Bangladesh,0.15629761246592178,0.05650981061238488,0.2785046440299677,-75815.68279007336,-21040.146452159253,-171257.47332361763
Barbados,0.19165111135106241,0.04060751705494768,0.378505685352713,-122.29281122748122,-30.97350756962795,-304.04122984425976
Belarus,0.2583258882211592,0.12665856624564967,0.39719107924491975,-3014.611512343422,-1365.5494225886123,-6251.243735442899
Belgium,0.17198307524309764,0.03184699046377578,0.35607912967588934,-525.2069716276854,-111.27370201804148,-1254.1824119046223
Belize,0.1449336353222826,0.04707971355746949,0.298455268344545,-206.40900267945563,-60.80087999382873,-511.02789981765187
Benin,0.2497640294835622,0.07959357768391179,0.4327830572308155,-16498.007472227302,-4527.586232636848,-36562.01939060179
Bhutan,0.25001486360958547,0.08472449891601606,0.44047987850802406,-835.9365138524988,-242.29638020282897,-1948.7457035763734
Bolivia,0.2657888963708125,0.09235277184016173,0.448122296568873,-6056.106122001134,-2120.9332501083354,-12958.646001252398
Bosnia & Herzegovina,0.265651340661732,0.1342215721912473,0.4235692462983316,-1101.6206645244845,-443.5918806398934,-2272.0592630669103
