Country,change_median,change_low,change_high,DALYs_prevented_median,DALYs_prevented_low,DALYs_prevented_high
Afghanistan,0,0,0.2827053778262899,0,0,-21990.22222907905
Albania,0.08003126515391762,0,0.234805846898146,-265.41655927889474,0,-882.1811358515862
Algeria,0.19913932083129687,0.03681619199844173,0.4246384702102549,-21291.575819607984,-3855.122433220888,-55386.57852482096
Andorra,0.15422683708963097,0,0.3708934137872887,-3.3711201787455547,0,-9.28797586150436
Angola,0,0,0.33830580470726296,0,0,-42415.42707005096
Antigua & Barbuda,0.15075609673585644,0.03077628881590757,0.3619361924264458,-33.015267955974835,-5.481116801852756,-95.91425834515096
Argentina,0.13014762394872287,0,0.3263969563968385,-4626.11701316942,0,-18164.208441975243
Armenia,0.24759577085568066,0.04406003122706003,0.433233919994006,-1072.2114311230432,-131.25249086287155,-2308.83914686148
Australia,0.19065053916586816,0.0417458435329929,0.42521791945010695,-1615.3812642151588,-301.31842188370314,-4699.798411468448
Austria,0.16104439361662498,0.016708754025158694,0.36069857931055305,-306.6787171684459,-24.164574400106773,-972.3857831259837
Azerbaijan,0.09942279438395948,0.011189952145274686,0.4254569935092878,-2966.957332379423,-162.64823069978704,-15737.60737215432
Bahamas,0.19854013672631654,0.044149840431220944,0.426466121118831,-196.93633907304135,-38.60797175697561,-575.0772008912606
Bahrain,0.14787780958593422,0,0.35456939656230335,-457.31738037183527,0,-1330.8373361992221
Bangladesh,0,0,0,0,0,0
Barbados,0.17358730901724645,0.024546790788890743,0.3653066656716212,-113.30088764860554,-18.714404000862555,-303.59442110304786
Belarus,0.0835802290805788,0,0.24345910138431204,-938.7582792317107,0,-3386.1655392033135
Belgium,0.14943468277376226,0.02917406159528773,0.36973464553499713,-445.99399165002603,-69.52405704446782,-1313.3838561908672
Belize,0.13266104095425574,0.003694474072541244,0.29756880711212197,-201.81206934782546,-3.911635832577833,-570.8778197928762
Benin,0,0,0,0,0,0
Bhutan,4.3607532862025e-4,0,0.4215650784425728,-1.7504556964095173,0,-1746.0934154308993
Bolivia,0.007974559618820449,0,0.4341078794493846,-115.95707046430198,0,-12797.672016555722
Bosnia & Herzegovina,0.2263515349348458,0.02134646925577728,0.40031652380889116,-1028.354446141645,-90.03276339039732,-2317.3396936379568
Botswana,0.13458789797238152,0,0.32769643485087613,-849.1845048762323,0,-2528.3148219878212
Brazil,0.17682840908214248,0.02457107046870512,0.3812138577565613,-108855.79883213673,-16687.80505754745,-268362.24495137506
Brunei,0,0,0.4144569288316972,0,0,-151.14487462953127
Bulgaria,0.23312355796832018,0.04139283964306363,0.41168493702802317,-2237.6443701091634,-289.2982443318235,-4953.821677053307
Burkina Faso,0,0,0,0,0,0
Burundi,0,0,0,0,0,0
Cambodia,0,0,0.09774831377562676,0,0,-5828.931867734798
Cameroon,0,0,1.013400519029647e-4,0,0,-15.502461783884637
Canada,0.1252702996337325,0.010517480830285761,0.32421789110801075,-2029.2744507286252,-137.37918280130935,-7979.032224815837
Cape Verde,0.07379861942039595,0,0.43652190069907365,-134.42064785125092,0,-949.2899954725734
Central African Republic,0,0,0,0,0,0
Chad,0,0,0,0,0,0
Chile,0.05668810743879473,0,0.20242911390248816,-332.05484173403784,0,-1420.0880801823084
China,0.2734246032222346,0,0.5474642667428444,-356151.20597801305,0,-771287.7019316154
Colombia,0,0,0.24924407318073585,0,0,-11850.128826976961
Comoros,0,0,0.16050898972521974,0,0,-526.449387008612
Congo - Brazzaville,0.10287391685380601,0,0.2900622961906919,-2299.2508173080823,0,-7642.744588136333
Congo - Kinshasa,0,0,0.3250098303715723,0,0,-112992.17687724702
Costa Rica,0,0,0.2720822574173766,0,0,-1332.8872426956186
Croatia,0.15181397789999057,0,0.3669274720790675,-620.6389040353049,0,-1673.4550440542741
Cuba,0.002989317374878415,0,0.38136915207718886,-77.18539489780233,0,-10053.328278397514
Cyprus,0.15001245661046614,0.022035303952721193,0.33398485150624974,-55.773883247314956,-8.715629242058297,-195.62897236612716
Czechia,0.15203593776693125,0.030804443184367418,0.3535630461877514,-1548.8769654150283,-227.63970941890585,-4781.546652660286
Côte d’Ivoire,0.025412972495365935,0,0.3539374716205381,-3380.31517177308,0,-48350.295376304166
Denmark,0.15232093095611482,0.02886806529903333,0.38324286877739555,-202.78412290255983,-34.924437012476595,-583.6983285584774
Djibouti,0,0,0.08943226821898473,0,0,-281.3197839825558
Dominica,0,0,0.39148343255347945,0,0,-81.83102741832259
Dominican Republic,0.08496443603672943,0.01097918918655382,0.196687018666502,-2680.274291010086,-357.0340148426222,-7060.3300749604505
Ecuador,0,0,0.38341525260789383,0,0,-5826.117767707495
Egypt,0,0,0.21455440405759862,0,0,-35752.709101629625
El Salvador,0,0,0.39093995997709086,0,0,-1608.164916833479
Equatorial Guinea,0.03807638197779005,0,0.3544059948937295,-171.8983273341853,0,-2244.255061305783
Estonia,0.17934724013542858,0.031446230978556845,0.40638120325996047,-253.9300678388073,-44.697203283390365,-606.9181078361704
Eswatini,0.0969740542872897,0,0.3535045397351799,-284.39635769560664,0,-1254.4043507709334
