Country,change_median,change_low,change_high,DALYs_prevented_median,DALYs_prevented_low,DALYs_prevented_high
Afghanistan,0,0,0.2630179383268116,0,0,-21422.12307928673
Albania,0.1356111737656239,0.011864127209661339,0.3247092266379794,-431.5074216189946,-33.50755926448382,-1157.3297190916376
Algeria,0.22550798231714714,0.040478279162008975,0.41713640043822897,-23480.765107064784,-3416.2590351382687,-54115.435285145024
Andorra,0.16241299237357257,0.014981622598376558,0.3239886684301565,-3.43688158588197,-0.42086989431617555,-9.960191135474506
Angola,0,0,0.3875564260299283,0,0,-59040.62539295115
Antigua & Barbuda,0.15776002809173967,0.029190256066813667,0.334657226529355,-32.71772934257778,-5.767814981281635,-86.33860844270316
Argentina,0.13810092468276636,0,0.3106623351044702,-5371.901891880412,0,-18121.78106181875
Armenia,0.2594729398930757,0.08315959113860213,0.42477597497311026,-1064.5683596342144,-330.2726028446675,-2117.206865168734
Australia,0.19954423103747407,0.03650766750929934,0.36604072858309517,-1722.5863818749413,-280.2122210251758,-4443.878925752379
Austria,0.16276045429983627,0.028277232600681018,0.34059061064143,-318.00740773175136,-54.61149357417588,-888.8500728490222
Azerbaijan,0.18965066788641438,0.012200223687968048,0.4495847782108138,-5732.609189543968,-244.76952541630368,-17970.129844993946
Bahamas,0.2142466444339724,0.04518266471480322,0.4005383437109651,-208.21477039180343,-43.47690660541758,-537.1668911601678
Bahrain,0.1656437565366079,0,0.3299564600099727,-497.9832559665458,0,-1340.0614896886777
Bangladesh,0,0,0.11393038011054282,0,0,-73481.36155992541
Barbados,0.17655055634139272,0.027531925130830817,0.3720696336103617,-114.76743363339591,-19.688125670976707,-333.95738865943315
Belarus,0.09063519364511968,0.0017888648193122914,0.2389032653519904,-1096.7797599636315,-32.082102243043636,-3417.3873444779783
Belgium,0.1598292548456471,0.026891235189209967,0.3247748754614529,-498.136571798909,-73.39688520688055,-1320.9367773448919
Belize,0.14295281263996723,0.02840475143940067,0.31063432110844774,-214.03488159866038,-48.57551283432681,-588.35328101703
Benin,0,0,0.3294331040864509,0,0,-33923.26296862006
Bhutan,0.1898449527196689,0,0.41446788607813795,-618.7123337610642,0,-1837.8502798900486
Bolivia,0.23300357258580306,0,0.4130843061564565,-5437.613613996751,0,-12639.15410050738
Bosnia & Herzegovina,0.2550375722166913,0.0634528262962373,0.41682453413181275,-1053.6859493730403,-168.63475494215746,-2338.4744661349255
Botswana,0.15292965510947584,6.30579396554481e-4,0.31273319548100836,-936.1212052019421,-2.6386051815769087,-2552.7779268293543
Brazil,0.19297632833170286,0.0393472828584497,0.36543792705165967,-107833.81720047205,-17764.74841733374,-276291.8367462602
Brunei,0,0,0.40197694115677396,0,0,-157.15495703730153
Bulgaria,0.2538331719677718,0.08148524500309515,0.4310243252871214,-2435.7602320459814,-558.9702656977277,-5174.900003196455
Burkina Faso,0,0,0.08742866855652996,0,0,-10128.157547713467
Burundi,0,0,0,0,0,0
Cambodia,0.011931362661017613,0,0.11675250781449226,-641.7432046019203,0,-6895.820558719942
Cameroon,0,0,0.18506128949594985,0,0,-22508.769883765148
Canada,0.1364523748687391,0,0.29240816714931966,-2083.5007873505497,0,-7624.989190160232
Cape Verde,0.23512509099935086,0,0.4483452756194213,-390.7181726832657,0,-869.785910794294
Central African Republic,0,0,0,0,0,0
Chad,0,0,0,0,0,0
Chile,0.05961639446822323,0,0.17943113952135692,-334.539868411719,0,-1357.0845346909891
China,0.3349288230379395,0,0.608765932398427,-408895.18013893446,0,-913990.6544903582
Colombia,0,0,0.2429552826578559,0,0,-10326.5028735323
Comoros,0,0,0.31715989120151766,0,0,-747.18995981119
Congo - Brazzaville,0.09551403762046087,0,0.29526526279027854,-2077.1525190933407,0,-7338.040830191788
Congo - Kinshasa,0,0,0,0,0,0
Costa Rica,0.16101236253971077,0,0.33513993890159643,-524.0286151705003,0,-1653.8644816052133
Croatia,0.16867988700769976,0.024928388009461615,0.33221782867269267,-656.4605858358907,-91.91463105909655,-1718.8143218520659
Cuba,0.20568003674643504,0.045167202368424995,0.39279829402067823,-4406.12522045769,-924.2621052621349,-10263.285246512278
Cyprus,0.1523361354364794,0,0.3200832360957226,-62.45564530451645,0,-182.94085453983905
Czechia,0.16531114061634206,0.027476683933832444,0.33845071024551676,-1685.241097572216,-281.46481442094574,-4349.311156422814
Côte d’Ivoire,0.029785137325425773,0,0.3404255701957773,-3642.5068415417045,0,-52621.49385327059
Denmark,0.15907908303945445,0.02692196463635825,0.3333704691988827,-205.15616262540152,-28.624348589008314,-610.7590175967376
Djibouti,0,0,0.19024456630074504,0,0,-859.4351806411445
Dominica,0.1998559496198128,0.031769038317810576,0.38670300956316045,-35.77701432066675,-5.674439661952912,-79.82249846815357
Dominican Republic,0.08680650403344449,0.016474609225277114,0.1853445498308266,-2651.4377549788624,-631.2428360563822,-7034.804400526982
Ecuador,0.001441149388912732,0,0.3947790606514548,-21.625770759825173,0,-6359.416427708183
Egypt,0.07233414912321898,0,0.2567152827728107,-10238.679696457883,0,-48445.6870796106
El Salvador,0.042222902286394866,0,0.40267735664796156,-157.07149415594267,0,-1859.1891116527347
Equatorial Guinea,0.1469899719333882,0,0.33025789898935776,-720.1972279887234,0,-2016.6361639313648
Estonia,0.1834826858351346,0.02416566684371107,0.3542389770202482,-261.6474552953196,-41.313283238300535,-601.6204793543056
Eswatini,0.17481153799569762,0,0.3438584145219467,-487.23220343307173,0,-1218.4838191018932
Ethiopia,0,0,0,0,0,0
Fiji,0.2867440514228119,0,0.5502451767083644,-704.3360339670867,0,-1817.8485024989752
Finland,0.16281453131638135,0.028407629235644574,0.3157824180028231,-199.84086647598747,-34.36738836991415,-561.2305177856925
France,0.17029358731591698,0.025587145918315957,0.3310728818899621,-3057.1576236636993,-553.3648649308074,-8335.279302891506
Gabon,0.2061559550803097,0.01641158712090063,0.38768615430959374,-2213.889856750481,-151.9809695531189,-4918.477955925865
Gambia,0,0,6.477285748326304e-4,0,0,-13.063019669784339
Georgia,0.2452235701245945,0.03981143491119467,0.40211276506120613,-1545.813349218246,-191.24840935114628,-3236.085600313349
Germany,0.17244925685306614,0.032604434371049686,0.35048893921094487,-5483.360305163686,-590.9745007273948,-16080.86450963986
Ghana,0.07251288570116073,0,0.2969971596936442,-12516.716982904589,0,-62735.734399761306
Greece,0.15742305274788143,0.0233779157903457,0.315483816391425,-467.2957482759293,-57.65293834108163,-1269.7633171070374
Grenada,0.25540483943960524,0.00752363601344939,0.46322285648612455,-72.24457532706096,-1.8693729076218861,-167.5606510999931
Guatemala,0.049743526057155735,0,0.18005708094381928,-3001.7856598891813,0,-12230.143915274373
Guinea,0,0,0.18994867001559673,0,0,-11329.488104498974
Guinea-Bissau,0,0,0.19954598912797333,0,0,-2538.66549923066
Guyana,0.12031027978823063,0.027078119494170792,0.2520874601227965,-289.81996124776697,-67.05854105247708,-721.6742346578933
Haiti,0,0,0.32086889603667335,0,0,-27854.911848902128
Honduras,0.025224370097508428,0,0.17891293356189722,-257.18921024809197,0,-2496.147536513818
Hungary,0.1613430621364892,0.026612562809383424,0.335280218909141,-1707.8831358670914,-277.06054755468335,-4817.742660946278
Iceland,0.15782494394976768,0.024849400106127656,0.31586207073776135,-11.934071334746637,-1.5921799251476876,-37.823199492078345
India,0.08471909071824868,0,0.20989556924205038,-568403.6847165944,0,-1501493.9782112136
Indonesia,0,0,0.14537059441943398,0,0,-68244.70626230437
Iran,0.10874206856615268,0,0.3107554066580094,-20972.209757549615,0,-70887.24587922482
Iraq,0.12040741879528932,0.012201630420329788,0.27810579490877435,-11642.625856964616,-1093.3822409973932,-32874.97978949398
Ireland,0.16569451720367812,0.03327128986103987,0.3483560578765398,-189.57971470465813,-29.976659575195864,-540.5146483719789
Israel,0.14973806079092336,0.0102700129607756,0.32203070886660856,-401.121526733498,-34.62978880541167,-1340.4429472897511
Italy,0.15419874311662368,0.026368085936180907,0.3196304210970867,-2200.256411198804,-375.1155483242047,-6977.175076713984
Jamaica,0.1659163772921196,0.005281275599072735,0.36313030964038623,-1281.0155409012038,-37.99143763086782,-3271.195437152396
Japan,0.21267050566755116,0,0.39992849470333014,-10104.02180712226,0,-26602.575763868666
Jordan,0.11967204310594438,0.022579655359351143,0.30930334492848727,-4002.6225890505684,-589.4514719849624,-12165.52225577001
Kazakhstan,0.24326068408635082,0.041361895529401116,0.410321024667237,-13910.931052816475,-1956.3609430939307,-29095.233861454293
Kenya,0,0,0.24906777208399075,0,0,-28216.328460758512
Kiribati,0.25874675693948257,0.002159885020433839,0.46626627822272637,-115.37812607398635,-0.8698340345269019,-254.3131453282374
Kuwait,0.09980913506335856,0.013139668386090358,0.26076395310766104,-1017.0816302112507,-120.07865431916242,-2813.8466891540884
Kyrgyzstan,0.23519172763628587,0,0.43804349849931584,-4394.879364610288,0,-10518.97821857271
Laos,0,0,0.0857138933242221,0,0,-2154.252687528015
Latvia,0.15581206129888167,0.03180801166734874,0.3297248360240704,-352.13996359644045,-66.8222675549435,-983.4614946429431
Lebanon,0.05130592466909775,0,0.15988090294777021,-554.2441527166598,0,-2105.7489397928725
Lesotho,0.0664606007147498,0,0.37565043551684574,-410.77375505526106,0,-2558.420981192321
Liberia,0.057126570532675766,0,0.34103589875200996,-2704.829595835523,0,-20987.720601593388
Libya,0.11359992889318823,0.009204711647180043,0.30353027570676944,-2029.8093526947569,-186.67307226260874,-6228.829643406628
Lithuania,0.1601848062791269,0.03024461259981163,0.3114627197992118,-514.701927560109,-98.68126157899309,-1391.374012016936
Luxembourg,0.15926799484885928,0.02856991668569351,0.33577776163801354,-22.008351885003655,-4.29842435595584,-73.79992920106788
Madagascar,0,0,0,0,0,0
Malawi,0,0,0.0689163077492586,0,0,-5598.11657164348
Malaysia,0.419931015373738,0.08954578943538334,0.6215961596983349,-43487.66782682907,-6574.59590498083,-91041.07162159024
Maldives,0.24893005119774714,0.05788372676063153,0.43274230845584094,-596.4017791534693,-119.3842590273659,-1220.7785972817053
Mali,0,0,0.19482558532428326,0,0,-25386.18420686013
Malta,0.15588482846923551,0,0.33066019211107656,-17.717794870145376,0,-50.74813538498606
Marshall Islands,0.4449864756922221,0.21228811521865637,0.6154872376803923,-81.53285947927836,-29.38088783658711,-146.02930678375336
Mauritania,0.0934781361949868,0,0.2695322339826067,-1462.8888350883071,0,-4953.312543297874
Mauritius,0.2083921983487299,0.043412014389560036,0.3917850420106227,-571.4487214042456,-117.12769909802702,-1402.7061588578376
Mexico,0,0,0.17632123806019342,0,0,-16538.792683879634
Micronesia (Federated States of),0.24743198898942237,0.004145555996336259,0.4383109694536357,-75.29116698614295,-1.114657526792008,-175.4727549301803
Moldova,0.2375256524357266,0,0.47166792179285516,-1247.788007786873,0,-3264.6782692691754
Monaco,0.1670138000306765,0.026926911387141886,0.3463674885913035,-0.9266128930553528,-0.1369728561033657,-2.680670750317243
Mongolia,0.2577672488021284,0.07318691514899213,0.46211902247083203,-2961.2600829833755,-647.4811873466364,-6628.963410939925
Montenegro,0.21407654017367028,0.024064783653337245,0.39526081024651805,-170.29172118150805,-13.332489161276614,-410.4910482811903
Morocco,0.2539540816461883,0.06855785694591965,0.4441721410399828,-22404.77029850676,-4715.841604605809,-51707.60955681069
Mozambique,0.062066621572628704,0,0.3006048211109471,-19294.524863794126,0,-106711.63646285677
Myanmar (Burma),0,0,0.3371764094485177,0,0,-87152.26697821116
Namibia,0.10512104950638523,0,0.31338342193538554,-427.0649557527313,0,-1467.2195937452238
Nauru,0.2169567650228284,0.04791832714435179,0.40481319711678687,-7.04376044135385,-1.4985115332862613,-16.46719483250914
Nepal,0,0,0.1484853352917983,0,0,-18330.00060066894
Netherlands,0.16058080799651459,0.026675667977531996,0.3231765884457587,-579.2741611400202,-84.01256437021907,-1645.0653301497048
New Zealand,0.19751507975014612,0.03067387620785824,0.3832002427136565,-372.60075880110617,-61.829881309127366,-981.5809894685553
Nicaragua,0.0491289147958831,0,0.4165332671358769,-425.3858392403836,0,-4422.669923635626
Niger,0,0,0.026667190434218342,0,0,-2548.0304131050398
Nigeria,0,0,0.2251570939926071,0,0,-255936.4256200115
North Macedonia,0.23642257447710513,0.04845589808329568,0.4295086824377039,-765.8840506026656,-118.65796663395903,-1766.3386140497812
Norway,0.15444252581208803,0.027190103986087257,0.3100106980774544,-190.9218508581455,-28.618664331123604,-469.6470439377831
Oman,0.015199041474333923,0,0.13655734378632123,-94.52961297231968,0,-1018.9919709842836
Pakistan,0.021692772519854416,0,0.22784947906770064,-24771.12161534885,0,-332015.7008326937
Palau,0.4347338556101569,0.1728205660916378,0.6154494136154408,-17.057479701520833,-3.893194444191956,-31.8082837470579
Panama,0.09553833717024232,0,0.2554472230473954,-333.1569158367091,0,-1456.1207427848276
Papua New Guinea,0.0014021617592967425,0,0.3715039158496483,-75.23015812987069,0,-18840.858740533953
Paraguay,0.06164979757615985,0,0.19569159217456553,-966.4724211477742,0,-3512.1304666451233
Peru,0.06234813530741229,0,0.20491467307198655,-2469.998509892681,0,-10066.218198884162
Philippines,0.06659020236979019,0,0.20461597526270364,-21113.442852086504,0,-71910.57786736528
Poland,0.1612546635856797,0.025439181730985395,0.3191895661650747,-7039.5869937884745,-1150.1197587757072,-18449.514244022757
Portugal,0.16482904862274128,0,0.3396388833959856,-498.51039886561784,0,-1440.6046184365148
Puerto Rico,0.17285653714581783,0.03167668899646479,0.33899057211052486,-784.0210680921225,-101.14540877131397,-1931.7435980730015
Qatar,0.20974735296868405,0,0.3937053100368369,-686.2013537730202,0,-1551.5932304317555
Romania,0.13530892170025816,0,0.29160661467588056,-3174.9747245040753,0,-8382.026482994755
Russia,0.20100467539507236,0.018739084360321432,0.3699814059754133,-42208.29433967803,-2781.340370823327,-95508.07520838168
Rwanda,0,0,0,0,0,0
Samoa,0.26103426824345516,0.0034503770421485183,0.45979868131705676,-133.45608384653886,-1.6768518622767346,-278.27675063301916
San Marino,0.163171319772349,0.027785440814038987,0.31492999224124624,-1.211956455266106,-0.20620251661783826,-3.6958967892557864
Saudi Arabia,0.14043282365022047,0.02414687161583408,0.3073914704876957,-11504.435708578741,-1921.8277419499195,-34364.500240779416
Senegal,0.07015344663330203,0,0.25407401369504795,-5340.790300857479,0,-28271.012407604936
Serbia,0.23404808922104803,0.04100475757223181,0.4057855538470759,-2535.8592811203744,-317.92136476334207,-5532.777346164502
Seychelles,0.2020364887350798,0,0.3965961681017897,-43.74099779042293,0,-109.03364054272613
Sierra Leone,0,0,0,0,0,0
Singapore,0.20813950046010943,0,0.3923152312460424,-874.1294017874147,0,-2872.4077383468352
Slovakia,0.15985908971000612,0.026516043909728917,0.34029171009596426,-1012.066588359743,-167.2571086566337,-2841.2183226373136
Slovenia,0.18726500656616077,0.03605544231973959,0.36215682442083363,-315.9790147194957,-66.45170220648048,-790.8298364014596
Solomon Islands,0.12125577328515863,0,0.3501514724869156,-275.3475056999066,0,-1091.1539913584218
Somalia,0,0,0,0,0,0
South Africa,0.11896977383905377,0,0.30872071300507087,-20548.138611443086,0,-60047.982723409004
South Korea,0.20710707487310892,0,0.4045614181850237,-3403.453559720375,0,-8656.567055875654
South Sudan,0,0,0.34829165157805364,0,0,-11763.009851399143
Spain,0.15233924650380443,0.0243858511327761,0.31774061380544133,-1637.4530550074605,-177.70457035146308,-4560.464278061244
Sri Lanka,0.0914573433650268,0,0.2574845494968747,-5194.925543372279,0,-17791.121636095184
St. Kitts & Nevis,0.18915246657465806,0.03765937011983178,0.36435759730613637,-28.223293136168294,-5.188814529025589,-69.29255632931039
St. Lucia,0.13869881463797484,0.02373603758686982,0.2939746192276367,-69.79926245621482,-12.514352776431629,-184.71489504813906
St. Vincent & Grenadines,0.17129835893425072,0.013743461699742426,0.36227943931663414,-55.64903136196088,-2.6861792224419716,-145.09111312466078
Sudan,0.18747150345511204,0.04199238406219113,0.45389892738189014,-26923.18352206637,-5121.189942656851,-83919.71659727719
Suriname,0.22150614883115066,0.038531289251183334,0.4182386267436589,-388.83978503409094,-65.7308399741119,-867.8108973204683
Sweden,0.156088956968883,0.02381581009981646,0.3221019112569558,-348.30640820722715,-50.214015918603124,-920.3125537625568
Switzerland,0.16415120549817433,0.028747662253531734,0.33013005888605185,-643.4896549729733,-53.94681538738475,-1951.7887943048177
Syria,0.07005272069068752,0,0.23882005407914775,-2731.6296622727477,0,-10577.645042681279
São Tomé & Príncipe,0.2243284813300198,0,0.40608897790073695,-163.8061381314338,0,-389.78825592520485
Tajikistan,0.23218852708375481,0,0.42557501432562916,-7460.021665589322,0,-16611.594126439937
Tanzania,0,0,0.11264909687955968,0,0,-30229.687198394586
Thailand,0.22029435908977651,0,0.4476647109358489,-31483.152330364268,0,-77371.34313811954
Timor-Leste,0,0,0.3374555845792242,0,0,-914.7740199226209
Togo,0,0,0.1401553815349477,0,0,-6977.564484799703
Tonga,0.2471977915784197,0.05003099529344255,0.5710368466241896,-58.56616026201672,-10.056358452723169,-194.38536656494762
Trinidad & Tobago,0.12550427522277163,0.018827793710372055,0.2893442223737753,-401.47896724515886,-60.429299472695824,-1185.9167349051186
Tunisia,0.12225683555936992,0,0.27700200534095815,-3119.2493188172684,0,-8348.524460375174
Turkey,0.2333434167665215,0.04166740825998933,0.41697776376329576,-41337.511249167925,-6279.743243531009,-92172.28603253044
Turkmenistan,0.17992817920152449,0.06954044492084024,0.31553282788280385,-2476.784000848156,-818.4332492483023,-5322.6365085651305
Tuvalu,0.3705552541258257,0.06975161403645265,0.5949840938455955,-12.443581247075867,-1.8751003227870995,-27.35168135880864
Uganda,0,0,0,0,0,0
Ukraine,0.24473351749398486,0.05229219034243839,0.45055421434796084,-17585.846410972877,-3577.2319099251235,-40530.4756630206
United Arab Emirates,0.1349449880631393,0.022240949120363795,0.3028152818441145,-2121.6671468422937,-305.4237617332211,-5930.768509009974
United Kingdom,0.15418140882220221,0.0208941478044267,0.3267926484777884,-2988.8738611987474,-342.2297158623886,-7485.487501167628
United States,0.10039770583083926,0.012043167889156561,0.25908579740838944,-18173.46608021101,-1815.2829639198064,-57152.26764042595
Uruguay,0.13484166985043877,0,0.2913308490368391,-265.221520084448,0,-885.6519038727131
Uzbekistan,0.3074852716533624,0.0734803552504492,0.5112389146423815,-57921.083341613885,-11343.620878519856,-112720.36635034313
Vanuatu,0.14934583070651192,0,0.4163560909733551,-164.36660786614564,0,-573.874826167726
Venezuela,0.21520034955382306,0,0.43282545101700426,-6264.277128660435,0,-17667.975052720038
Vietnam,0.08393614801516995,0,0.21744149927669354,-18475.500342403815,0,-58110.515735699526
Yemen,0.002351835649014044,0,0.35499011844678874,-768.5851683591609,0,-111088.65389791298
Zambia,0.005488649700313249,0,0.17915140028714185,-392.80570876466663,0,-14523.127784354967
Zimbabwe,0.04205652432360135,0,0.22260623394831588,-1963.8615341501682,0,-13439.250932917877
